,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
YK Pathan,0,1,0,1,0,0,1,3,0,1,10,333.33
STR Binny,2,1,0,0,0,0,0,3,0,1,1,33.33
PV Tambe,4,3,1,0,3,0,0,11,0,1,17,154.55
SK Trivedi,3,4,1,0,1,0,0,9,0,1,10,111.11
SR Watson,1,2,1,0,2,0,0,6,0,1,12,200.0
SW Tait,2,0,1,0,2,0,0,5,0,1,10,200.0
JP Faulkner,1,4,0,0,1,0,1,7,0,1,14,200.0
P Awana,5,2,0,0,2,0,0,9,0,1,10,111.11
PP Chawla,3,2,2,0,0,0,0,7,1,1,6,85.71
Azhar Mahmood,1,3,0,0,2,0,2,8,0,1,23,287.5
Sandeep Sharma,0,1,0,0,0,0,1,2,0,1,7,350.0
P Kumar,0,3,0,0,0,0,0,3,0,1,3,100.0
R Sharma,2,2,0,0,0,0,0,4,0,1,2,50.0
AM Nayar,5,1,3,0,1,0,0,10,1,1,11,110.0
AG Murtaza,0,1,0,0,0,0,0,1,0,1,1,100.0
AD Mathews,3,1,0,0,1,0,0,5,0,1,5,100.0
AB Dinda,2,1,0,0,0,0,0,3,1,1,1,33.33
R Rampaul,4,1,1,0,0,0,0,6,1,2,3,50.0
R Ashwin,0,2,0,0,0,0,0,2,0,1,2,100.0
JA Morkel,3,0,1,0,0,0,0,4,1,1,2,50.0
MC Henriques,0,1,0,0,0,0,0,1,0,1,1,100.0
M Kartik,4,4,1,0,0,0,0,9,0,1,6,66.67
J Syed Mohammad,1,1,0,0,3,0,0,5,0,1,13,260.0
CH Gayle,2,1,1,0,1,0,0,5,0,1,7,140.0
R Vinay Kumar,2,2,0,0,0,0,0,4,1,1,2,50.0
