,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Trivedi,1,3,1,0,1,0,0,6,0,2,9,150.0
RP Singh,1,2,0,0,0,0,0,3,0,1,2,66.67
PP Ojha,0,2,0,0,1,0,0,3,0,1,6,200.0
AB Dinda,1,2,1,0,1,0,0,5,0,2,8,160.0
NLTC Perera,1,1,1,0,0,0,0,3,0,1,3,100.0
JD Unadkat,3,3,1,0,0,0,1,8,1,2,11,137.5
BA Stokes,1,1,2,0,0,0,0,4,0,1,5,125.0
PP Chawla,1,1,0,0,0,0,0,2,0,1,1,50.0
J Botha,0,1,0,0,0,0,0,1,0,1,1,100.0
KK Cooper,1,2,1,0,0,0,0,4,0,1,4,100.0
AA Chavan,1,1,0,0,1,0,0,3,1,1,5,166.67
TA Boult,3,4,1,0,2,0,0,10,0,2,14,140.0
CR Woakes,3,0,1,0,0,0,1,5,0,1,8,160.0
R Bhatia,2,4,0,0,1,0,0,7,0,2,8,114.29
L Balaji,1,3,3,0,0,0,0,7,0,1,9,128.57
B Lee,1,2,0,0,0,0,0,3,0,1,2,66.67
JA Morkel,1,2,0,0,0,0,0,3,0,1,2,66.67
DJ Bravo,0,2,0,0,1,0,1,4,0,2,12,300.0
R Sharma,3,1,2,0,1,0,1,8,0,1,15,187.5
MN Samuels,1,4,0,0,1,0,1,7,0,1,14,200.0
CJ Jordan,1,1,0,0,1,0,0,3,1,1,5,166.67
P Kumar,1,1,2,0,0,0,1,5,0,1,11,220.0
DS Kulkarni,1,1,1,0,0,0,1,4,0,1,9,225.0
SL Malinga,1,2,2,0,0,0,0,5,1,2,6,120.0
MM Patel,0,1,0,0,0,0,0,1,0,1,1,100.0
JO Holder,0,1,0,0,0,0,0,1,0,1,1,100.0
M Morkel,2,1,0,0,0,0,2,5,0,1,13,260.0
NM Coulter-Nile,1,1,0,0,0,0,0,2,0,1,1,50.0
SP Narine,1,1,0,0,0,0,0,2,1,1,1,50.0
