,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Imran Tahir,0,6,0,0,1,0,2,9,0,1,22,244.44
SN Thakur,0,1,0,0,0,0,0,1,0,1,1,100.0
DT Christian,0,3,0,0,1,0,0,4,0,1,7,175.0
BA Stokes,0,2,0,0,1,0,0,3,0,1,6,200.0
JD Unadkat,2,0,0,0,0,0,0,2,1,1,0,0.0
A Choudhary,5,1,1,0,0,0,0,7,0,1,3,42.86
P Negi,3,3,1,0,1,0,0,8,1,1,9,112.5
TM Head,1,3,0,0,0,0,1,5,0,1,9,180.0
S Badree,1,1,0,0,0,0,1,3,0,1,7,233.33
YS Chahal,5,1,1,0,0,0,0,7,1,2,3,42.86
MJ Henry,0,1,0,0,1,0,0,2,0,1,5,250.0
MM Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
Sandeep Sharma,0,2,1,0,0,0,0,3,0,1,4,133.33
Z Khan,1,1,0,0,0,0,0,2,1,1,1,50.0
KH Pandya,1,4,0,0,1,0,0,6,0,1,8,133.33
R Vinay Kumar,1,1,0,0,3,0,0,5,0,1,13,260.0
HH Pandya,2,1,0,0,0,0,1,4,1,1,7,175.0
MG Johnson,0,1,0,0,0,0,0,1,0,1,1,100.0
B Kumar,3,4,0,0,1,0,0,8,1,2,8,100.0
Mohammed Siraj,2,1,1,0,0,0,1,5,0,1,9,180.0
S Kaul,2,1,0,0,0,0,0,3,1,1,1,33.33
A Nehra,1,0,0,0,0,0,0,1,0,1,0,0.0
KV Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
