,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JA Morkel,4,2,0,0,2,0,0,8,0,1,10,125.0
MA Starc,0,1,0,0,0,0,0,1,0,1,1,100.0
VR Aaron,4,2,0,0,1,0,0,7,1,1,6,85.71
M Muralitharan,1,4,0,0,0,0,2,7,0,1,16,228.57
YS Chahal,8,4,2,0,3,0,4,21,1,3,44,209.52
AB Dinda,0,3,0,0,0,0,0,3,0,1,3,100.0
TG Southee,4,0,1,0,1,0,2,8,0,2,18,225.0
JJ Bumrah,7,4,4,0,0,0,0,15,2,3,12,80.0
MJ McClenaghan,5,3,1,0,2,0,0,11,0,2,13,118.18
A Choudhary,3,0,0,0,2,0,1,6,0,1,14,233.33
S Badree,1,1,0,0,0,0,0,2,0,1,1,50.0
P Negi,1,1,0,0,0,0,0,2,1,1,1,50.0
Sandeep Sharma,8,5,0,0,2,0,0,15,0,2,13,86.67
MJ Henry,2,3,1,0,3,0,1,10,0,1,23,230.0
AR Patel,5,6,1,0,2,0,1,15,1,2,22,146.67
R Tewatia,5,7,0,0,0,0,0,12,0,1,7,58.33
Swapnil Singh,2,3,3,0,0,0,1,9,0,1,15,166.67
MM Sharma,0,1,0,0,1,0,0,2,0,1,5,250.0
P Kumar,1,4,0,0,1,0,0,6,0,1,8,133.33
DS Kulkarni,2,2,2,0,1,0,3,10,0,1,28,280.0
MS Gony,4,0,0,0,1,0,1,6,0,1,10,166.67
S Kaushik,5,3,0,0,2,0,1,11,0,1,17,154.55
DR Smith,1,1,0,0,1,0,3,6,0,1,23,383.33
SB Jakati,1,5,1,0,0,0,0,7,0,1,7,100.0
A Chandila,2,1,0,0,0,0,0,3,0,1,1,33.33
SW Tait,4,0,0,0,1,0,0,5,0,1,4,80.0
SK Trivedi,1,1,0,0,0,0,0,2,1,1,1,50.0
B Kumar,1,0,0,0,0,0,1,2,1,1,6,300.0
MG Johnson,7,1,1,0,2,0,0,11,0,2,11,100.0
KV Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
R Vinay Kumar,2,0,0,0,0,0,0,2,1,1,0,0.0
SL Malinga,3,4,0,0,1,0,1,9,0,1,14,155.56
KH Pandya,1,2,0,0,0,0,0,3,0,1,2,66.67
S Aravind,3,1,0,0,0,0,0,4,0,1,1,25.0
STR Binny,0,1,1,0,0,0,1,3,0,1,9,300.0
SR Watson,0,2,1,0,0,0,0,3,0,1,4,133.33
R Dhawan,4,2,0,0,1,0,0,7,0,1,6,85.71
L Balaji,1,2,0,0,1,0,0,4,0,1,6,150.0
