,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
M Morkel,9,4,1,0,2,0,0,16,1,4,14,87.5
JR Hopes,1,3,0,0,0,0,0,4,0,1,3,75.0
IK Pathan,10,6,2,0,1,0,0,19,0,4,14,73.68
Y Nagar,1,1,0,0,0,0,0,2,1,1,1,50.0
P Kumar,7,5,1,0,0,0,0,13,0,2,7,53.85
A Kumble,3,2,0,0,0,0,0,5,0,2,2,40.0
JH Kallis,5,2,0,0,0,0,2,9,1,3,14,155.56
DW Steyn,11,3,1,0,5,0,0,20,1,4,25,125.0
A Mishra,4,7,1,0,1,0,0,13,0,2,13,100.0
DT Christian,0,2,0,0,0,0,0,2,0,1,2,100.0
MS Gony,5,3,0,0,4,0,0,12,1,2,19,158.33
Azhar Mahmood,4,4,0,0,1,0,0,9,0,1,8,88.89
Sandeep Sharma,5,3,0,0,2,0,0,10,0,1,11,110.0
P Awana,7,2,2,0,2,0,0,13,1,2,14,107.69
S Kaul,3,0,0,0,1,0,0,4,1,1,4,100.0
SMSM Senanayake,4,3,0,0,0,0,0,7,1,1,3,42.86
L Balaji,5,2,0,0,0,0,0,7,0,1,2,28.57
B Kumar,5,1,0,0,0,0,0,6,0,1,1,16.67
KV Sharma,6,1,0,0,2,0,0,9,0,1,9,100.0
DJG Sammy,1,0,1,0,1,0,0,3,1,1,6,200.0
SW Tait,3,0,0,0,2,0,0,5,0,1,8,160.0
MM Patel,2,1,0,0,2,0,0,5,0,1,9,180.0
SK Trivedi,5,6,0,0,1,0,0,12,1,2,10,83.33
AC Voges,3,4,0,0,0,0,1,8,0,2,10,125.0
SK Warne,1,10,0,0,1,0,0,12,0,2,14,116.67
KW Richardson,2,5,0,0,1,0,0,8,0,1,9,112.5
DS Kulkarni,4,1,0,0,1,0,0,6,0,1,5,83.33
JP Faulkner,0,5,1,1,1,0,0,8,0,1,14,175.0
PV Tambe,3,7,0,0,0,0,0,10,0,1,7,70.0
R Bhatia,1,3,1,0,0,0,0,5,0,1,5,100.0
STR Binny,1,0,0,0,0,0,0,1,0,1,0,0.0
A Symonds,3,1,0,0,2,0,0,6,1,1,9,150.0
Jaskaran Singh,3,2,1,0,0,0,0,6,0,2,4,66.67
Harmeet Singh,2,1,0,0,1,0,0,4,0,1,5,125.0
Kamran Khan,2,2,0,0,1,0,0,5,0,1,6,120.0
SR Watson,5,0,0,0,1,0,0,6,0,1,4,66.67
YK Pathan,1,4,0,0,1,0,0,6,0,1,8,133.33
AJ Finch,2,2,1,0,0,0,0,5,0,1,4,80.0
FY Fazal,0,1,0,0,0,0,0,1,0,1,1,100.0
Z Khan,5,3,0,0,2,0,0,10,0,1,11,110.0
JJ Bumrah,6,0,0,0,1,0,0,7,0,1,4,57.14
CJ Anderson,2,0,0,0,1,0,0,3,1,1,4,133.33
A Nehra,2,3,0,0,2,0,0,7,0,1,11,157.14
MM Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,3,2,0,0,0,0,0,5,1,2,2,40.0
DE Bollinger,1,0,0,0,0,0,0,1,1,1,0,0.0
B Lee,5,0,0,0,0,0,1,6,0,1,6,100.0
UT Yadav,3,1,1,0,1,0,0,6,0,1,7,116.67
MA Starc,8,1,1,0,0,0,0,10,0,1,3,30.0
JA Morkel,3,2,0,0,1,0,0,6,0,1,6,100.0
VR Aaron,2,1,0,0,0,0,0,3,0,1,1,33.33
AB Dinda,1,0,0,0,0,0,0,1,1,1,0,0.0
WPUJC Vaas,6,0,0,0,1,0,0,7,0,1,4,57.14
RP Singh,5,1,0,0,1,0,0,7,1,1,5,71.43
DAJ Bracewell,0,1,0,0,0,0,0,1,0,1,1,100.0
S Randiv,1,1,0,0,0,0,0,2,1,1,1,50.0
MG Neser,2,2,0,0,1,0,0,5,0,1,6,120.0
PP Chawla,6,5,0,0,2,0,0,13,0,1,13,100.0
