,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AN Ahmed,3,2,1,0,3,0,2,11,0,1,28,254.55
SL Malinga,40,18,1,1,6,0,0,66,1,8,47,71.21
Harbhajan Singh,42,30,1,0,4,0,5,82,3,8,78,95.12
MM Patel,10,7,0,0,7,0,3,27,2,3,53,196.3
RG Sharma,0,2,0,0,0,0,1,3,0,2,8,266.67
KA Pollard,6,14,2,0,5,0,3,30,0,4,56,186.67
J Botha,8,4,0,0,3,0,1,16,0,2,22,137.5
A Singh,2,1,0,0,0,0,1,4,0,1,7,175.0
Pankaj Singh,5,1,1,0,1,0,0,8,1,2,7,87.5
NM Coulter-Nile,14,4,1,0,2,0,1,22,0,2,20,90.91
UT Yadav,18,8,0,0,2,0,3,31,2,7,34,109.68
CR Woakes,3,0,0,0,0,0,0,3,1,1,0,0.0
TA Boult,3,1,1,0,0,0,1,6,0,1,9,150.0
B Kumar,40,12,1,0,12,0,7,72,1,11,104,144.44
P Kumar,53,20,2,1,13,0,4,93,1,10,103,110.75
Sandeep Sharma,30,9,1,0,5,0,4,49,4,7,55,112.24
BE Hendricks,0,1,1,0,0,0,0,2,0,1,3,150.0
Anureet Singh,5,4,0,0,0,0,0,9,0,2,4,44.44
R Dhawan,0,3,0,0,0,0,0,3,0,1,3,100.0
A Nehra,14,7,0,0,2,0,5,28,1,5,45,160.71
IK Pathan,17,9,1,0,6,0,5,38,1,5,65,171.05
YA Abdulla,7,3,1,0,2,0,1,14,1,2,19,135.71
PP Chawla,20,21,4,0,5,0,9,59,1,9,103,174.58
VS Malik,2,1,0,0,0,0,1,4,0,1,7,175.0
RS Bopara,3,4,1,0,0,0,4,12,0,2,30,250.0
DP Nannes,8,1,0,0,1,0,0,10,0,2,5,50.0
AB McDonald,3,2,0,0,2,0,2,9,0,1,22,244.44
A Mishra,6,13,0,0,2,0,4,25,0,5,45,180.0
R Bhatia,9,14,1,0,3,0,6,33,2,6,64,193.94
Z Khan,26,6,1,0,5,0,1,39,3,8,34,87.18
DJ Bravo,15,19,1,0,2,0,4,41,2,6,53,129.27
DW Steyn,27,8,5,0,7,0,2,49,1,8,58,118.37
MS Gony,9,6,1,0,6,0,7,29,1,3,74,255.17
J Yadav,3,1,0,0,0,0,0,4,0,1,1,25.0
DL Vettori,0,1,0,0,0,0,0,1,0,1,1,100.0
MF Maharoof,1,1,0,0,1,0,0,3,0,1,5,166.67
PJ Sangwan,4,2,0,0,3,0,1,10,0,2,20,200.0
PD Collingwood,1,4,0,0,0,0,0,5,0,1,4,80.0
RR Powar,5,7,0,0,0,0,1,13,0,2,13,100.0
AB Dinda,5,13,0,0,2,0,2,22,0,3,33,150.0
M Morkel,25,7,0,0,6,0,5,43,2,7,61,141.86
JR Hopes,1,0,0,0,1,0,0,2,1,1,4,200.0
RJ Harris,9,2,0,0,3,0,2,16,1,3,26,162.5
P Awana,16,10,2,0,8,0,3,39,2,4,64,164.1
Azhar Mahmood,7,12,2,0,1,0,0,22,1,3,20,90.91
AM Nayar,2,4,0,0,0,0,2,8,0,2,16,200.0
DJ Hussey,1,4,0,0,0,0,0,5,0,2,4,80.0
CH Morris,24,4,0,0,6,0,2,36,3,6,40,111.11
YK Pathan,29,16,3,0,4,0,5,57,0,5,68,119.3
AD Mascarenhas,8,1,0,0,1,0,3,13,0,1,23,176.92
SK Warne,8,6,0,0,2,0,1,17,1,2,20,117.65
Kamran Khan,9,1,0,0,6,0,4,20,2,3,49,245.0
MM Sharma,11,6,2,0,2,0,0,21,0,3,18,85.71
R Ashwin,36,15,2,0,3,0,3,59,4,8,49,83.05
S Badree,6,4,0,0,0,0,1,11,0,1,10,90.91
SK Raina,20,13,0,0,3,0,7,43,1,4,67,155.81
RA Jadeja,7,2,1,0,5,0,3,18,1,3,42,233.33
A Chandila,11,7,2,0,3,0,0,23,0,3,23,100.0
JP Faulkner,4,10,0,1,1,0,0,16,0,4,17,106.25
S Sreesanth,2,2,0,0,2,0,1,7,0,2,16,228.57
SR Watson,15,7,0,0,3,0,0,25,2,6,19,76.0
DJ Muthuswami,3,0,0,0,2,0,1,6,0,1,14,233.33
Imran Tahir,3,3,0,0,1,0,1,8,0,1,13,162.5
JP Duminy,6,2,1,0,2,0,1,12,0,2,18,150.0
AD Mathews,9,8,0,0,2,0,0,19,1,4,16,84.21
B Lee,12,6,1,0,9,0,1,29,1,4,50,172.41
JH Kallis,19,12,1,0,5,0,2,39,2,5,46,117.95
SP Narine,23,16,1,0,4,0,1,45,2,5,40,88.89
LR Shukla,3,0,0,0,1,0,0,4,1,1,4,100.0
IC Pandey,2,2,0,0,5,0,0,9,0,1,22,244.44
MR Marsh,4,3,0,0,1,0,5,13,0,1,37,284.62
AG Murtaza,2,1,0,0,3,0,5,11,0,1,43,390.91
AJ Finch,0,0,0,0,1,0,4,5,0,1,28,560.0
LJ Wright,6,6,0,0,1,0,1,14,0,1,16,114.29
BCJ Cutting,9,3,0,0,2,0,2,16,1,2,23,143.75
DJ Hooda,2,0,0,0,0,0,1,3,1,1,6,200.0
JD Unadkat,2,6,1,0,2,0,3,14,0,2,34,242.86
AC Thomas,6,5,1,0,2,0,0,14,0,2,15,107.14
JE Taylor,0,2,0,0,0,0,0,2,0,1,2,100.0
M Manhas,0,1,1,0,0,0,0,2,0,1,3,150.0
R Sharma,4,3,0,0,2,0,5,14,1,3,41,292.86
JA Morkel,6,13,0,0,0,0,1,20,0,3,19,95.0
DE Bollinger,4,5,0,0,0,0,2,11,0,3,17,154.55
KJ Abbott,1,2,0,0,2,0,2,7,0,1,22,314.29
KC Cariappa,3,4,0,0,2,0,2,11,0,2,24,218.18
AR Patel,13,4,0,0,1,0,8,26,2,2,56,215.38
R McLaren,10,9,2,0,6,0,4,31,0,3,61,196.77
JO Holder,1,1,0,0,0,0,3,5,0,1,19,380.0
SMSM Senanayake,4,7,0,0,1,0,0,12,0,1,11,91.67
L Balaji,14,8,0,0,3,0,3,28,0,3,38,135.71
RN ten Doeschate,1,1,1,0,0,0,1,4,0,1,9,225.0
KW Richardson,1,1,0,0,0,0,0,2,0,1,1,50.0
PV Tambe,4,1,0,0,2,0,0,7,1,1,9,128.57
R Tewatia,4,1,0,0,0,0,0,5,0,1,1,20.0
RP Singh,17,5,1,0,3,0,3,29,1,4,37,127.59
P Parameswaran,0,0,0,0,3,0,4,7,0,1,36,514.29
R Vinay Kumar,3,0,0,0,0,0,0,3,1,1,0,0.0
S Dhawan,0,1,0,0,0,0,0,1,0,1,1,100.0
V Pratap Singh,0,4,0,0,0,0,0,4,0,1,4,100.0
Anand Rajan,4,1,0,0,1,0,1,7,1,1,11,157.14
A Ashish Reddy,0,1,0,0,0,0,0,1,0,1,1,100.0
SW Tait,9,3,0,0,3,0,0,15,0,1,15,100.0
SK Trivedi,6,6,1,0,0,0,1,14,0,2,14,100.0
AD Russell,13,8,1,0,4,0,4,30,0,4,50,166.67
AS Rajpoot,3,1,0,0,0,0,0,4,0,1,1,25.0
Shakib Al Hasan,6,5,0,0,2,0,4,17,0,2,37,217.65
GH Vihari,0,1,0,0,0,0,0,1,0,1,1,100.0
I Sharma,5,0,0,0,2,0,2,9,1,2,20,222.22
NLTC Perera,1,1,1,0,0,0,0,3,0,1,3,100.0
PJ Cummins,5,8,0,0,0,0,0,13,0,3,8,61.54
GB Hogg,4,1,1,0,0,0,2,8,2,2,15,187.5
