,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Zampa,2,4,1,0,2,0,1,10,0,2,20,200.0
R Ashwin,4,4,0,0,1,0,0,9,0,1,8,88.89
AB Dinda,1,2,1,0,1,0,0,5,0,2,8,160.0
NLTC Perera,0,1,0,0,2,0,2,5,0,1,21,420.0
PP Chawla,3,1,0,0,1,0,0,5,1,1,5,100.0
GB Hogg,2,2,0,0,1,0,0,5,0,1,6,120.0
HV Patel,0,2,0,0,0,0,0,2,0,1,2,100.0
MA Starc,2,1,0,0,0,0,0,3,1,2,1,33.33
GJ Maxwell,1,1,0,0,0,0,0,2,0,1,1,50.0
AR Patel,3,2,0,0,0,0,0,5,1,2,2,40.0
B Kumar,0,6,1,0,2,0,0,9,0,3,16,177.78
MJ McClenaghan,4,5,0,0,3,0,1,13,0,2,23,176.92
R Vinay Kumar,4,3,0,0,0,0,1,8,0,1,9,112.5
JJ Bumrah,2,6,0,0,0,0,0,8,0,2,6,75.0
S Aravind,1,2,0,0,0,0,0,3,0,2,2,66.67
YS Chahal,3,1,1,0,1,0,0,6,0,1,7,116.67
SR Watson,2,5,3,0,1,0,0,11,0,3,15,136.36
Iqbal Abdulla,1,3,0,0,1,0,0,5,1,2,7,140.0
HH Pandya,3,3,2,0,1,0,0,9,0,1,11,122.22
Harbhajan Singh,5,6,0,0,1,0,0,12,1,2,10,83.33
MG Johnson,2,2,1,0,1,0,0,6,0,2,8,133.33
KH Pandya,1,2,0,0,1,0,0,4,0,1,6,150.0
Mohammed Siraj,0,2,0,0,1,0,0,3,0,1,6,200.0
S Kaul,0,2,0,0,0,0,1,3,0,1,8,266.67
SP Narine,2,2,0,0,1,0,0,5,0,2,6,120.0
NM Coulter-Nile,3,3,0,0,1,0,0,7,1,2,7,100.0
CR Woakes,1,2,0,0,2,0,0,5,1,2,10,200.0
R Rampaul,0,0,2,0,0,0,0,2,0,1,4,200.0
RP Singh,0,1,1,0,0,0,0,2,0,1,3,150.0
RA Jadeja,0,2,0,0,0,0,0,2,0,1,2,100.0
JP Faulkner,1,1,0,0,0,0,2,4,0,1,13,325.0
DJ Bravo,5,4,6,0,3,0,2,20,0,2,40,200.0
PV Tambe,1,0,1,0,0,0,2,4,0,1,14,350.0
DS Kulkarni,0,1,0,0,1,0,0,2,0,1,5,250.0
DR Smith,0,1,0,0,0,0,3,4,0,1,19,475.0
P Kumar,1,3,1,0,0,0,3,8,0,2,23,287.5
VR Aaron,1,1,0,0,1,0,0,3,0,1,5,166.67
MM Sharma,4,6,2,0,0,0,1,13,0,3,16,123.08
Sandeep Sharma,2,4,2,0,0,0,1,9,1,2,14,155.56
MP Stoinis,0,1,0,0,0,0,0,1,0,1,1,100.0
UT Yadav,3,2,0,0,0,0,0,5,1,2,2,40.0
PP Ojha,3,1,0,0,0,0,0,4,0,1,1,25.0
SL Malinga,1,0,0,0,0,0,0,1,1,1,0,0.0
Kuldeep Yadav,0,2,1,0,0,0,0,3,0,1,4,133.33
B Stanlake,0,1,0,0,0,0,0,1,0,1,1,100.0
Imran Tahir,1,1,0,0,0,0,1,3,0,1,7,233.33
AD Mathews,0,2,0,0,1,0,0,3,0,1,6,200.0
DW Steyn,1,0,0,0,0,0,0,1,0,1,0,0.0
M Morkel,0,2,0,0,0,0,0,2,0,1,2,100.0
Anureet Singh,2,2,1,0,0,0,0,5,0,1,4,80.0
BA Stokes,0,0,1,0,2,0,2,5,0,1,22,440.0
