,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Basil Thampi,3,4,1,0,1,0,1,10,0,2,16,160.0
PJ Sangwan,3,1,0,0,0,0,0,4,0,1,1,25.0
JP Faulkner,8,4,2,0,2,0,3,19,0,3,34,178.95
R Dhawan,6,2,0,0,0,0,1,9,1,1,8,88.89
AR Patel,7,8,2,0,3,0,4,24,1,4,48,200.0
L Balaji,1,2,0,0,0,0,0,3,0,1,2,66.67
MG Johnson,8,1,1,0,0,0,0,10,0,2,3,30.0
GJ Maxwell,12,5,2,0,0,0,0,19,0,2,9,47.37
VR Aaron,8,0,0,0,3,0,0,11,1,4,12,109.09
STR Binny,2,0,0,0,1,0,0,3,0,1,4,133.33
DJ Hooda,2,1,0,0,0,0,0,3,0,1,1,33.33
PV Tambe,4,6,0,0,4,0,1,15,0,2,28,186.67
CH Morris,7,1,1,0,2,0,1,12,1,1,17,141.67
DS Kulkarni,4,4,0,0,0,0,2,10,0,2,16,160.0
TG Southee,1,1,0,0,1,0,1,4,0,1,11,275.0
M Morkel,9,2,0,0,1,0,0,12,1,2,6,50.0
SP Narine,7,6,0,1,0,0,0,14,1,4,9,64.29
AD Russell,5,4,0,0,0,0,1,10,0,1,10,100.0
PP Chawla,6,4,1,0,3,0,1,15,0,3,24,160.0
UT Yadav,0,1,1,0,0,0,0,2,0,1,3,150.0
Shakib Al Hasan,1,3,2,0,1,0,2,9,0,1,23,255.56
YS Chahal,5,3,1,0,0,0,1,10,1,2,11,110.0
Yuvraj Singh,2,4,0,0,0,0,0,6,0,2,4,66.67
AB Dinda,0,2,0,0,0,0,0,2,0,1,2,100.0
MA Starc,1,1,0,0,0,0,0,2,1,1,1,50.0
HV Patel,1,1,0,0,0,0,0,2,0,1,1,50.0
SR Watson,5,4,0,0,2,0,1,12,0,2,18,150.0
TM Head,1,0,0,0,0,0,0,1,1,1,0,0.0
RA Jadeja,3,2,1,0,1,0,1,8,0,3,14,175.0
IC Pandey,4,3,2,0,0,0,2,11,0,2,19,172.73
R Ashwin,4,7,0,0,1,0,0,12,1,2,11,91.67
SK Raina,3,7,1,0,2,0,2,15,0,2,29,193.33
BW Hilfenhaus,0,2,1,0,0,0,0,3,0,1,4,133.33
MM Sharma,3,2,0,0,0,0,0,5,0,3,2,40.0
KK Cooper,6,2,4,0,2,0,1,15,0,1,24,160.0
MJ McClenaghan,4,0,0,0,0,0,0,4,1,1,0,0.0
Mohammed Siraj,2,2,0,0,0,0,1,5,0,1,8,160.0
S Kaul,0,4,1,0,0,0,1,6,0,1,12,200.0
Rashid Khan,1,2,0,0,0,0,0,3,0,1,2,66.67
B Kumar,6,4,0,0,1,0,1,12,0,2,14,116.67
MC Henriques,0,0,0,0,1,0,0,1,0,1,4,400.0
KC Cariappa,1,1,0,0,0,0,0,2,0,1,1,50.0
Sandeep Sharma,3,3,0,0,3,0,1,10,0,2,21,210.0
JJ Bumrah,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,0,1,0,0,1,0,0,2,0,1,5,250.0
SL Malinga,4,0,0,0,1,0,0,5,1,1,4,80.0
A Zampa,3,1,1,0,0,0,0,5,0,1,3,60.0
Washington Sundar,1,0,0,0,0,0,0,1,1,1,0,0.0
NM Coulter-Nile,1,0,0,0,0,0,0,1,0,1,0,0.0
Kuldeep Yadav,1,2,0,0,0,0,0,3,0,1,2,66.67
A Nehra,7,0,0,0,1,0,0,8,1,1,4,50.0
DW Steyn,4,0,0,0,0,0,0,4,1,1,0,0.0
BA Stokes,2,1,0,0,0,0,0,3,0,1,1,33.33
Imran Tahir,1,1,0,0,0,0,0,2,0,1,1,50.0
JP Duminy,4,3,0,0,1,0,0,8,0,1,7,87.5
Mohammed Shami,1,1,0,0,1,0,0,3,0,1,5,166.67
JD Unadkat,2,1,0,0,0,0,0,3,1,1,1,33.33
