,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
P Kumar,3,1,0,0,0,0,0,4,0,1,1,25.0
PC Valthaty,2,2,0,0,0,0,0,4,0,1,2,50.0
BA Bhatt,2,1,0,0,0,0,0,3,0,1,1,33.33
SJ Srivastava,1,1,0,0,0,0,0,2,0,1,1,50.0
RJ Harris,1,1,0,0,0,0,0,2,0,1,1,50.0
AD Mascarenhas,1,1,1,0,0,0,0,3,0,1,3,100.0
Harmeet Singh,3,0,0,0,0,0,0,3,1,1,0,0.0
DT Christian,2,0,0,0,3,0,0,5,0,1,12,240.0
DW Steyn,0,2,0,0,0,0,0,2,0,1,2,100.0
A Mishra,2,4,0,0,0,0,0,6,0,2,4,66.67
I Sharma,2,1,1,0,1,0,0,5,0,1,7,140.0
PP Ojha,7,2,1,0,1,0,0,11,0,2,8,72.73
JP Duminy,1,0,0,0,0,0,0,1,1,1,0,0.0
YK Pathan,1,2,1,0,1,0,0,5,0,1,8,160.0
B Lee,2,0,0,0,0,0,0,2,0,1,0,0.0
Iqbal Abdulla,5,2,0,0,0,0,0,7,0,2,2,28.57
JH Kallis,2,1,0,0,1,0,0,4,0,1,5,125.0
Shakib Al Hasan,3,5,0,0,0,0,0,8,1,2,5,62.5
R Bhatia,4,5,0,0,0,0,0,9,1,1,5,55.56
SP Narine,0,1,1,0,0,0,0,2,0,1,3,150.0
MM Patel,1,1,0,0,0,0,0,2,0,1,1,50.0
KA Pollard,1,0,2,0,0,0,0,3,0,1,4,133.33
A Chandila,6,3,1,0,1,0,0,11,0,1,9,81.82
SR Watson,1,1,0,0,0,0,0,2,0,1,1,50.0
SW Tait,2,2,2,0,1,0,0,7,0,1,10,142.86
J Botha,2,1,0,0,0,0,0,3,1,1,1,33.33
SK Trivedi,1,2,0,0,0,0,0,3,0,1,2,66.67
