,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
M Muralitharan,8,6,2,0,2,0,0,18,0,3,18,100.0
JA Morkel,9,11,1,0,1,0,0,22,1,4,17,77.27
T Thushara,0,1,0,0,1,0,1,3,0,1,11,366.67
CH Gayle,1,1,0,0,0,0,0,2,0,1,1,50.0
J Syed Mohammad,1,1,2,0,0,0,1,5,0,1,11,220.0
P Parameswaran,4,2,1,0,0,0,0,7,2,2,4,57.14
A Mithun,1,1,0,0,2,0,1,5,0,1,15,300.0
Z Khan,0,2,1,0,0,0,1,4,0,1,10,250.0
R Ashwin,11,7,0,0,3,0,0,21,0,2,19,90.48
DE Bollinger,2,4,0,0,0,0,0,6,0,1,4,66.67
S Nadeem,9,13,2,0,1,0,1,26,1,3,27,103.85
M Morkel,4,8,1,0,1,0,0,14,0,3,14,100.0
IK Pathan,2,4,0,0,3,0,1,10,0,2,22,220.0
JR Hopes,0,4,1,0,0,0,1,6,0,1,12,200.0
AB Dinda,1,5,0,0,1,0,0,7,0,3,9,128.57
B Lee,1,2,0,0,1,0,0,4,1,2,6,150.0
MF Maharoof,3,4,0,0,0,0,0,7,0,2,4,57.14
MN Samuels,5,5,3,0,0,0,1,14,2,3,17,121.43
A Nehra,3,11,0,0,1,0,0,15,0,2,15,100.0
B Kumar,6,10,4,0,2,0,1,23,1,3,32,139.13
WD Parnell,1,1,0,0,1,0,0,3,1,1,5,166.67
M Kartik,2,7,2,0,0,0,1,12,0,2,17,141.67
SC Ganguly,4,8,1,0,1,0,3,17,0,3,32,188.24
S Sreesanth,7,1,0,0,1,0,0,9,1,2,5,55.56
A Mishra,5,1,0,0,0,0,0,6,1,1,1,16.67
Iqbal Abdulla,2,3,0,1,0,0,0,6,0,2,6,100.0
SP Narine,4,3,0,0,0,0,0,7,0,3,3,42.86
RJ Harris,5,8,4,0,2,0,3,22,0,3,42,190.91
BA Bhatt,0,2,1,0,0,0,0,3,0,1,4,133.33
R McLaren,0,3,0,0,0,0,0,3,0,1,3,100.0
CRD Fernando,4,0,0,0,0,0,0,4,0,1,0,0.0
DS Kulkarni,2,6,0,0,4,0,2,14,0,2,34,242.86
DR Smith,4,2,1,0,1,0,0,8,1,1,8,100.0
PP Ojha,3,7,2,0,0,0,1,13,0,3,17,130.77
RP Singh,3,4,0,0,0,0,0,7,1,3,4,57.14
SR Watson,3,4,0,0,2,0,0,9,1,3,12,133.33
JD Unadkat,5,4,0,0,2,0,0,11,0,2,12,109.09
MC Henriques,6,1,0,0,1,0,1,9,1,2,11,122.22
R Vinay Kumar,7,9,3,0,0,0,4,23,2,4,39,169.57
PP Chawla,7,12,2,0,2,0,0,23,1,4,24,104.35
VRV Singh,2,3,1,0,0,0,0,6,0,1,5,83.33
Yuvraj Singh,6,4,2,0,0,0,0,12,0,2,8,66.67
Azhar Mahmood,9,10,1,0,3,0,0,23,0,3,24,104.35
RR Powar,0,1,0,0,0,0,0,1,0,1,1,100.0
P Awana,1,3,1,0,0,0,0,5,0,2,5,100.0
DJ Hussey,1,0,0,0,0,0,0,1,1,1,0,0.0
Sohail Tanvir,6,1,0,0,0,0,0,7,0,1,1,14.29
MM Patel,5,6,0,0,1,0,0,12,1,2,10,83.33
BW Hilfenhaus,0,3,0,0,0,0,0,3,0,1,3,100.0
DJ Bravo,4,6,0,0,5,0,0,15,0,2,26,173.33
SB Jakati,1,5,1,0,1,0,1,9,1,2,17,188.89
SK Raina,0,6,0,0,1,0,0,7,0,2,10,142.86
RA Jadeja,4,7,1,0,1,0,3,16,0,2,31,193.75
SK Trivedi,6,4,0,0,1,0,0,11,1,2,8,72.73
A Chandila,2,1,0,0,0,0,0,3,1,1,1,33.33
AC Thomas,3,2,0,0,2,0,0,7,0,1,10,142.86
R Sharma,8,9,0,0,3,0,3,23,0,2,39,169.57
AB Agarkar,4,1,1,0,0,0,0,6,1,1,3,50.0
AD Mascarenhas,4,3,0,0,0,0,0,7,0,1,3,42.86
MS Gony,4,1,0,0,1,0,0,6,1,1,5,83.33
SL Malinga,7,8,1,0,0,0,1,17,1,4,16,94.12
AN Ahmed,3,1,0,0,0,0,0,4,0,1,1,25.0
KA Pollard,2,2,0,0,1,0,0,5,0,2,6,120.0
LR Shukla,0,1,1,0,1,0,1,4,0,1,13,325.0
Umar Gul,0,2,1,0,2,0,0,5,0,1,12,240.0
I Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
VS Malik,4,0,0,1,1,0,0,6,0,1,7,116.67
JP Faulkner,1,1,0,0,0,0,0,2,0,1,1,50.0
KK Cooper,3,1,0,0,1,0,0,5,0,1,5,100.0
DB Ravi Teja,2,4,0,0,0,0,1,7,0,1,10,142.86
WPUJC Vaas,1,4,0,0,0,0,0,5,0,1,4,80.0
SB Bangar,0,1,0,0,0,0,0,1,0,1,1,100.0
DP Vijaykumar,0,2,0,0,1,0,1,4,0,1,12,300.0
LPC Silva,0,2,0,0,0,0,0,2,0,1,2,100.0
