,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JP Faulkner,1,0,1,0,0,0,0,2,0,1,2,100.0
SR Watson,1,0,0,0,0,0,0,1,1,1,0,0.0
DW Steyn,0,1,0,0,0,0,0,1,0,1,1,100.0
B Kumar,6,1,1,0,1,0,1,10,1,3,13,130.0
Sandeep Sharma,10,1,0,0,2,0,2,15,0,2,21,140.0
L Balaji,1,1,1,0,0,0,0,3,0,1,3,100.0
MG Johnson,0,2,0,0,0,0,0,2,0,1,2,100.0
AR Patel,3,2,1,0,1,0,0,7,0,1,8,114.29
R Dhawan,4,1,1,0,0,0,0,6,1,1,3,50.0
P Kumar,0,2,0,0,1,0,0,3,0,1,6,200.0
Azhar Mahmood,0,1,0,0,0,0,0,1,0,1,1,100.0
PP Chawla,2,2,1,0,0,0,0,5,1,2,4,80.0
AB Dinda,8,4,0,0,1,0,1,14,0,2,14,100.0
AG Murtaza,0,4,0,0,0,0,0,4,0,1,4,100.0
Yuvraj Singh,0,1,0,1,0,0,0,2,0,1,4,200.0
WD Parnell,4,2,0,0,2,0,0,8,0,2,10,125.0
AD Mathews,2,1,0,0,0,0,0,3,1,1,1,33.33
MM Sharma,0,3,0,0,0,0,0,3,0,2,3,100.0
BW Hilfenhaus,0,2,0,0,1,0,0,3,0,1,6,200.0
M Morkel,5,0,0,0,0,0,0,5,1,1,0,0.0
UT Yadav,2,1,0,1,1,0,0,5,0,1,8,160.0
A Nehra,2,0,1,0,0,0,0,3,1,1,2,66.67
IK Pathan,3,0,0,0,0,0,0,3,0,1,0,0.0
S Badree,5,1,0,0,2,0,0,8,1,1,9,112.5
MA Starc,2,1,0,0,1,0,0,4,0,1,5,125.0
HV Patel,5,0,0,0,1,0,1,7,0,1,10,142.86
VR Aaron,9,0,0,0,0,0,1,10,1,1,6,60.0
YS Chahal,2,1,0,0,0,0,0,3,0,1,1,33.33
SP Narine,2,0,0,0,1,0,0,3,0,1,4,133.33
JD Unadkat,3,1,0,0,2,0,0,6,0,1,9,150.0
S Nadeem,1,1,0,1,0,0,0,3,0,1,4,133.33
Mohammed Shami,1,3,1,0,0,0,0,5,0,1,5,100.0
