,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
PP Chawla,4,0,0,0,0,0,1,5,1,1,6,120.0
R Bhatia,0,1,0,0,0,0,0,1,0,1,1,100.0
M Ashwin,1,1,0,0,0,0,2,4,0,1,13,325.0
SM Boland,2,0,0,0,0,0,1,3,1,1,6,200.0
CH Gayle,1,1,0,0,0,0,0,2,1,1,1,50.0
Basil Thampi,1,1,0,0,0,0,0,2,0,1,1,50.0
RA Jadeja,3,1,0,0,2,0,0,6,0,1,9,150.0
DS Kulkarni,2,1,0,0,0,0,0,3,1,1,1,33.33
BB Sran,0,1,0,0,0,0,0,1,0,1,1,100.0
B Kumar,2,1,0,0,2,0,0,5,0,1,9,180.0
Mustafizur Rahman,2,0,0,0,0,0,0,2,1,1,0,0.0
MP Stoinis,1,0,1,0,0,0,0,2,0,1,2,100.0
Sandeep Sharma,2,0,0,0,1,0,1,4,1,1,10,250.0
UT Yadav,1,1,0,0,3,0,1,6,0,1,19,316.67
GB Hogg,0,1,1,0,0,0,1,3,0,1,9,300.0
AD Russell,1,0,0,0,0,0,1,2,1,1,6,300.0
SR Watson,2,1,0,0,0,0,0,3,0,1,1,33.33
YS Chahal,2,0,0,0,0,0,0,2,1,1,0,0.0
