,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JD Unadkat,2,0,0,0,0,0,0,2,0,1,0,0.0
DT Christian,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Sharma,1,1,0,0,0,0,1,3,0,1,7,233.33
Sandeep Sharma,2,1,0,0,0,0,0,3,0,1,1,33.33
PJ Cummins,0,1,0,0,0,0,0,1,0,1,1,100.0
CH Morris,0,2,0,0,0,0,0,2,0,1,2,100.0
A Mishra,2,0,0,0,0,0,0,2,1,1,0,0.0
YS Chahal,3,2,0,0,0,0,0,5,0,1,2,40.0
P Negi,7,2,0,0,2,0,0,11,0,1,10,90.91
S Aravind,0,2,0,0,0,0,0,2,0,1,2,100.0
TS Mills,2,0,0,0,1,0,0,3,1,1,4,133.33
S Kaul,0,2,0,0,1,0,0,3,0,1,6,200.0
SL Malinga,2,1,1,0,0,0,0,4,1,1,3,75.0
JJ Bumrah,0,2,2,0,0,0,0,4,0,1,6,150.0
B Kumar,0,1,0,0,0,0,0,1,0,1,1,100.0
