,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AR Patel,0,1,0,0,0,0,0,1,0,1,1,100.0
Anureet Singh,1,3,0,0,0,0,0,4,0,1,3,75.0
AD Russell,1,3,1,0,0,0,0,5,0,1,5,100.0
UT Yadav,0,2,1,0,0,0,0,3,0,1,4,133.33
A Nehra,7,6,1,0,0,0,0,14,0,3,8,57.14
DJ Bravo,7,7,1,0,3,0,1,19,2,3,27,142.11
MM Sharma,2,3,0,0,1,0,1,7,1,3,13,185.71
Mohammed Shami,0,1,1,0,0,0,0,2,0,1,3,150.0
CH Morris,0,2,0,0,0,0,0,2,0,1,2,100.0
RA Jadeja,0,3,0,0,0,0,0,3,0,1,3,100.0
Harbhajan Singh,3,1,0,0,1,0,0,5,0,1,5,100.0
JJ Bumrah,0,2,0,0,0,0,1,3,0,1,8,266.67
HH Pandya,0,2,0,0,1,0,1,4,0,1,12,300.0
MJ McClenaghan,1,1,0,0,3,0,0,5,0,1,13,260.0
SL Malinga,2,1,0,0,0,0,0,3,0,1,1,33.33
KA Pollard,1,2,1,0,1,0,0,5,0,1,8,160.0
