,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Ashish Reddy,2,2,0,0,1,0,1,6,0,1,12,200.0
J Theron,3,4,0,0,1,0,0,8,0,1,8,100.0
DJ Harris,0,2,1,0,1,0,0,4,0,1,8,200.0
Mohammad Nabi,2,1,0,0,0,0,0,3,0,1,1,33.33
Rashid Khan,3,0,0,0,0,0,0,3,1,1,0,0.0
GB Hogg,2,4,0,0,0,0,0,6,0,2,4,66.67
UT Yadav,14,13,2,0,4,0,3,36,2,9,51,141.67
AD Russell,3,1,0,0,2,0,2,8,1,2,21,262.5
Yuvraj Singh,0,3,1,0,0,0,1,5,0,2,11,220.0
BAW Mendis,2,3,1,0,1,0,1,8,0,1,15,187.5
R Sharma,0,3,0,0,1,0,0,4,0,1,7,175.0
LJ Wright,2,4,1,0,1,0,3,11,0,1,28,254.55
AB Dinda,4,6,4,0,2,0,1,17,0,2,28,164.71
B Kumar,4,11,5,0,1,0,3,24,1,5,43,179.17
J Suchith,6,10,1,0,1,0,1,19,0,2,22,115.79
R Vinay Kumar,3,4,1,0,3,0,2,13,0,2,30,230.77
Harbhajan Singh,10,18,2,0,4,0,0,34,0,5,38,111.76
KA Pollard,4,8,3,0,2,0,4,21,1,7,46,219.05
SL Malinga,8,7,1,0,0,0,0,16,3,4,9,56.25
MJ McClenaghan,7,4,0,0,1,0,0,12,0,2,8,66.67
A Mishra,10,13,6,0,3,0,1,33,1,6,43,130.3
CH Morris,11,10,1,0,3,0,0,25,1,6,24,96.0
M Ashwin,1,2,0,0,0,0,0,3,1,1,2,66.67
NLTC Perera,0,1,3,0,0,0,0,4,0,2,7,175.0
JP Duminy,15,12,1,0,0,0,0,28,2,4,14,50.0
Imran Tahir,10,12,1,0,3,0,2,28,0,5,38,135.71
IK Pathan,6,5,1,0,0,0,0,12,0,5,7,58.33
JH Kallis,2,3,1,0,2,0,0,8,0,2,13,162.5
R Bhatia,3,6,0,0,1,0,1,11,0,2,16,145.45
SMSM Senanayake,2,2,2,0,0,0,0,6,1,1,6,100.0
SP Narine,4,6,2,0,0,0,0,12,0,4,10,83.33
R Tewatia,1,3,0,0,0,0,0,4,0,2,3,75.0
DJ Hooda,5,7,2,0,1,0,2,17,1,2,27,158.82
JP Faulkner,8,6,4,0,1,0,4,23,0,5,42,182.61
SR Watson,3,2,4,0,0,0,1,10,1,3,16,160.0
PV Tambe,1,10,3,0,0,0,2,16,0,4,28,175.0
SK Raina,0,2,0,0,0,0,0,2,0,1,2,100.0
R Ashwin,11,19,2,0,4,0,1,37,1,8,45,121.62
DJ Bravo,4,12,2,0,2,0,1,21,1,3,30,142.86
RA Jadeja,11,20,5,0,6,0,5,47,1,7,84,178.72
S Kaushik,5,4,2,0,0,0,0,11,0,1,8,72.73
DS Kulkarni,3,2,2,0,0,0,5,12,2,4,36,300.0
S Ladda,3,0,0,0,0,0,1,4,1,1,6,150.0
Mustafizur Rahman,1,2,0,0,1,0,0,4,0,2,6,150.0
PP Chawla,10,15,4,0,1,0,0,30,2,6,27,90.0
Shakib Al Hasan,1,3,0,0,0,0,0,4,0,1,3,75.0
VS Malik,0,3,0,0,0,0,0,3,0,1,3,100.0
KK Cooper,6,4,1,0,0,0,0,11,1,2,6,54.55
JJ Bumrah,2,3,4,0,1,0,1,11,0,2,21,190.91
S Aravind,7,3,0,0,1,0,0,11,1,2,7,63.64
MA Starc,6,4,1,0,3,0,0,14,0,3,18,128.57
KV Sharma,7,8,1,0,1,0,2,19,1,4,26,136.84
DJG Sammy,4,3,0,0,1,0,0,8,1,2,7,87.5
JD Unadkat,4,2,0,0,0,0,0,6,0,2,2,33.33
Mohammed Shami,4,2,2,0,2,0,1,11,0,2,20,181.82
S Nadeem,0,3,2,0,1,0,0,6,0,1,11,183.33
STR Binny,8,0,3,0,2,0,0,13,0,2,14,107.69
MC Henriques,6,15,2,0,2,0,0,25,1,4,27,108.0
P Negi,8,2,1,0,0,0,1,12,1,2,10,83.33
RP Singh,3,3,2,0,4,0,2,14,0,2,35,250.0
CJ McKay,1,3,0,0,0,0,0,4,0,1,3,75.0
MM Patel,1,4,0,0,0,0,3,8,0,2,22,275.0
BW Hilfenhaus,4,0,0,0,0,0,0,4,0,1,0,0.0
DR Smith,4,6,1,0,2,0,0,13,1,2,16,123.08
IC Pandey,3,4,0,0,2,0,0,9,0,2,12,133.33
RN ten Doeschate,1,1,0,0,0,0,0,2,0,1,1,50.0
M Morkel,7,6,0,0,0,0,0,13,0,4,6,46.15
M Kartik,1,4,0,1,0,0,1,7,0,1,13,185.71
R Rampaul,1,3,3,0,1,0,1,9,0,1,19,211.11
CH Gayle,0,0,0,0,0,0,1,1,0,1,6,600.0
RD Chahar,3,3,0,0,0,0,0,6,0,1,3,50.0
BA Stokes,3,2,0,0,1,0,0,6,0,1,6,100.0
YK Pathan,1,0,0,0,0,0,0,1,1,1,0,0.0
M Muralitharan,1,1,0,0,0,0,0,2,1,1,1,50.0
Z Khan,4,2,0,0,0,0,0,6,0,2,2,33.33
PP Ojha,4,5,1,0,1,0,1,12,0,2,17,141.67
MG Johnson,1,1,1,0,0,0,1,4,1,1,9,225.0
GH Vihari,0,1,0,0,0,0,0,1,0,1,1,100.0
A Nehra,4,9,1,0,2,0,0,16,0,4,19,118.75
MM Sharma,0,4,0,0,2,0,1,7,0,2,18,257.14
AB McDonald,2,6,0,0,0,0,0,8,1,1,6,75.0
DL Vettori,2,2,0,0,0,0,0,4,0,1,2,50.0
HV Patel,3,2,1,0,1,0,2,9,0,3,20,222.22
JA Morkel,7,3,3,0,4,0,0,17,1,3,25,147.06
KMDN Kulasekara,0,2,0,0,1,0,0,3,0,1,6,200.0
C de Grandhomme,4,1,0,0,1,0,1,7,0,1,11,157.14
TA Boult,3,6,1,0,0,0,2,12,0,2,20,166.67
DW Steyn,3,1,1,0,0,0,0,5,0,1,3,60.0
VR Aaron,5,1,1,0,4,0,0,11,1,2,19,172.73
YS Chahal,7,11,1,0,1,0,3,23,3,5,35,152.17
RE van der Merwe,2,5,0,0,0,0,0,7,0,1,5,71.43
J Botha,3,4,1,0,1,0,0,9,0,1,10,111.11
AB Agarkar,1,2,0,0,0,0,0,3,0,1,2,66.67
S Kaul,1,3,0,0,2,0,2,8,0,1,23,287.5
I Sharma,4,0,0,0,2,0,3,9,0,1,26,288.89
