,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MM Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
DJ Bravo,5,4,1,0,1,0,2,13,1,4,22,169.23
R Ashwin,4,1,1,0,1,0,1,8,1,2,13,162.5
RA Jadeja,0,4,0,0,2,0,0,6,0,2,12,200.0
DR Smith,0,1,0,0,1,0,0,2,0,2,5,250.0
BW Hilfenhaus,1,2,0,0,0,0,0,3,0,1,2,66.67
B Kumar,6,4,0,0,1,0,1,12,0,2,14,116.67
WD Parnell,4,3,2,0,0,0,0,9,0,2,7,77.78
AD Mathews,2,2,0,0,0,0,0,4,0,2,2,50.0
PP Ojha,3,1,0,0,1,0,0,5,0,1,5,100.0
Harbhajan Singh,6,1,0,0,1,0,2,10,1,1,17,170.0
AN Ahmed,1,1,0,0,0,0,0,2,0,1,1,50.0
MS Gony,4,2,0,0,0,0,0,6,0,1,2,33.33
M Muralitharan,6,3,0,0,0,0,2,11,0,1,15,136.36
L Balaji,0,4,0,0,0,0,0,4,0,1,4,100.0
JA Morkel,7,2,0,0,1,0,0,10,0,1,6,60.0
M Ntini,1,0,0,0,0,0,0,1,1,1,0,0.0
DW Steyn,1,1,0,0,0,0,0,2,0,1,1,50.0
V Pratap Singh,1,1,1,0,1,0,0,4,0,1,7,175.0
A Mishra,1,1,0,0,0,0,0,2,0,1,1,50.0
YK Pathan,3,3,0,0,1,0,1,8,0,2,13,162.5
SK Warne,2,1,1,0,0,0,1,5,0,1,9,180.0
SK Trivedi,1,4,0,0,0,0,0,5,0,2,4,80.0
MM Patel,1,5,1,0,0,0,0,7,0,3,7,100.0
SR Watson,0,2,1,0,1,0,0,4,0,1,8,200.0
Sohail Tanvir,4,2,0,0,0,0,0,6,2,2,2,33.33
IK Pathan,3,4,0,0,0,0,0,7,0,2,4,57.14
S Sreesanth,6,0,0,0,1,0,0,7,2,2,4,57.14
P Awana,1,1,0,0,0,0,0,2,0,1,1,50.0
Azhar Mahmood,1,0,0,0,0,0,0,1,1,1,0,0.0
AA Chavan,4,2,1,0,0,0,1,8,0,1,10,125.0
A Singh,2,1,0,0,0,0,0,3,0,1,1,33.33
KK Cooper,2,1,0,0,0,0,0,3,1,1,1,33.33
M Morkel,6,3,1,0,0,0,1,11,0,3,11,100.0
VR Aaron,1,0,0,0,0,0,0,1,0,1,0,0.0
PP Chawla,1,3,0,0,0,0,1,5,0,1,9,180.0
AD Mascarenhas,2,4,1,0,1,0,0,8,0,1,10,125.0
BA Bhatt,0,2,0,0,0,0,0,2,0,1,2,100.0
Harmeet Singh,0,4,0,0,2,0,0,6,0,1,12,200.0
P Kumar,0,2,0,0,0,0,0,2,0,1,2,100.0
KA Pollard,1,2,0,0,1,0,0,4,0,1,6,150.0
SL Malinga,3,0,0,0,0,0,0,3,1,1,0,0.0
GJ Maxwell,1,1,1,0,0,0,1,4,0,1,9,225.0
SM Pollock,3,0,0,0,0,0,1,4,0,1,6,150.0
A Nehra,5,0,0,0,2,0,0,7,1,2,8,114.29
CRD Fernando,2,1,0,0,2,0,0,5,0,1,9,180.0
DS Kulkarni,4,1,0,0,1,0,0,6,0,1,5,83.33
S Nadeem,11,4,0,0,1,0,1,17,0,1,14,82.35
