,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
YK Pathan,1,5,2,0,2,0,0,10,0,2,17,170.0
B Kumar,1,5,0,0,1,0,0,7,0,2,9,128.57
SB Wagh,4,0,0,0,2,0,0,6,0,1,8,133.33
WD Parnell,4,3,0,0,1,0,0,8,0,1,7,87.5
R Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
Yuvraj Singh,4,4,2,0,0,0,0,10,0,2,8,80.0
MR Marsh,1,1,0,0,0,0,0,2,1,1,1,50.0
PP Chawla,3,6,0,0,3,0,2,14,0,2,30,214.29
IK Pathan,4,3,0,0,0,0,0,7,0,2,3,42.86
WA Mota,0,1,0,0,0,0,0,1,0,1,1,100.0
B Lee,3,1,1,0,0,0,0,5,1,2,3,60.0
P Kumar,7,4,2,1,1,0,0,15,0,2,15,100.0
RJ Harris,0,4,1,0,1,0,0,6,0,2,10,166.67
BA Bhatt,1,1,0,0,1,0,0,3,0,1,5,166.67
PC Valthaty,6,5,1,1,0,0,0,13,1,2,10,76.92
R McLaren,1,1,1,0,2,0,0,5,0,2,11,220.0
PJ Sangwan,8,2,0,0,1,0,0,11,0,1,6,54.55
A Nehra,3,3,1,0,2,0,0,9,0,2,13,144.44
TM Dilshan,2,4,0,0,0,0,0,6,0,1,4,66.67
R Bhatia,1,7,1,0,0,0,0,9,0,3,9,100.0
A Mishra,1,2,0,0,0,0,0,3,1,2,2,66.67
DP Nannes,5,1,0,0,0,0,0,6,1,1,1,16.67
SK Trivedi,4,4,1,0,0,0,0,9,0,2,6,66.67
SR Watson,0,1,0,0,1,0,0,2,0,1,5,250.0
Sohail Tanvir,2,1,0,0,0,0,0,3,0,1,1,33.33
SK Warne,1,0,0,0,0,0,0,1,1,1,0,0.0
SL Malinga,7,3,0,1,1,0,0,12,3,4,10,83.33
DJ Bravo,3,4,0,0,2,0,1,10,1,3,18,180.0
AM Nayar,6,2,0,0,1,0,1,10,0,1,12,120.0
ST Jayasuriya,3,3,0,0,0,0,0,6,0,1,3,50.0
RR Raje,0,2,0,0,0,0,0,2,0,1,2,100.0
CRD Fernando,0,1,0,0,0,0,1,2,0,1,7,350.0
Harbhajan Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
DW Steyn,0,1,0,0,0,0,0,1,0,1,1,100.0
M Morkel,2,0,0,0,0,0,0,2,0,1,0,0.0
AM Salvi,3,0,0,0,0,0,0,3,1,1,0,0.0
B Akhil,1,2,0,0,1,0,0,4,0,1,6,150.0
A Kumble,1,0,0,0,0,0,0,1,0,1,0,0.0
V Kohli,1,1,0,0,0,0,0,2,1,1,1,50.0
MM Patel,1,0,0,0,0,0,0,1,0,1,0,0.0
RA Jadeja,2,1,0,0,0,0,0,3,1,2,1,33.33
JH Kallis,2,1,0,0,0,0,0,3,0,1,1,33.33
L Balaji,5,10,2,0,4,0,0,21,0,4,30,142.86
SP Narine,2,1,0,0,0,0,0,3,1,1,1,33.33
AB Dinda,2,4,0,0,1,0,0,7,0,2,8,114.29
JD Unadkat,3,1,0,0,0,0,1,5,1,1,7,140.0
Iqbal Abdulla,0,4,0,0,1,0,0,5,0,2,8,160.0
RP Singh,0,1,0,0,1,0,0,2,0,1,5,250.0
NLTC Perera,0,2,0,0,0,0,0,2,0,1,2,100.0
M Muralitharan,4,5,1,0,1,0,0,11,0,1,11,100.0
JA Morkel,3,4,1,0,0,0,0,8,1,1,6,75.0
M Ntini,2,0,0,0,1,0,1,4,0,1,10,250.0
GD McGrath,0,3,0,0,0,0,1,4,0,1,9,225.0
I Sharma,0,1,0,0,1,0,0,2,0,1,5,250.0
Umar Gul,1,0,0,0,0,0,0,1,1,1,0,0.0
AL Menaria,1,2,0,0,1,0,0,4,0,1,6,150.0
J Botha,0,1,1,0,0,0,0,2,0,1,3,150.0
A Singh,2,1,0,0,0,0,0,3,1,1,1,33.33
STR Binny,0,2,0,0,1,0,1,4,0,1,12,300.0
