,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,0,3,0,0,0,0,0,3,0,1,3,100.0
MM Sharma,2,1,0,0,0,0,0,3,0,1,1,33.33
M Kartik,1,0,0,0,1,0,0,2,0,1,4,200.0
RP Singh,1,1,0,0,0,0,0,2,1,1,1,50.0
CH Gayle,0,1,0,0,0,0,0,1,0,1,1,100.0
Z Khan,3,1,0,0,0,0,0,4,0,1,1,25.0
R Ashwin,5,4,0,0,0,0,0,9,1,3,4,44.44
JO Holder,2,1,0,0,1,0,0,4,0,1,5,125.0
SP Narine,3,0,1,0,2,0,1,7,0,2,16,228.57
JH Kallis,1,2,0,0,0,0,0,3,0,1,2,66.67
B Lee,1,0,1,0,0,0,0,2,0,1,2,100.0
KA Pollard,4,1,1,0,2,0,1,9,0,2,17,188.89
Harbhajan Singh,9,5,1,0,2,0,0,17,2,2,15,88.24
R Dhawan,3,6,2,0,3,0,0,14,0,2,22,157.14
SL Malinga,5,5,1,0,4,0,0,15,1,3,23,153.33
KV Sharma,2,0,0,0,0,0,0,2,0,1,0,0.0
DJG Sammy,2,0,0,0,0,0,0,2,1,1,0,0.0
R Bhatia,1,2,0,0,0,0,0,3,0,1,2,66.67
SMSM Senanayake,1,0,0,0,1,0,0,2,1,1,4,200.0
Yuvraj Singh,1,1,0,0,2,0,0,4,0,1,9,225.0
R Sharma,2,1,1,0,0,0,0,4,1,1,3,75.0
DJ Bravo,2,1,0,0,2,0,0,5,0,1,9,180.0
DE Bollinger,3,1,1,0,0,0,0,5,1,2,3,60.0
BA Bhatt,2,3,0,0,1,0,0,6,0,1,7,116.67
RJ Harris,2,1,1,0,0,0,0,4,0,1,3,75.0
Anand Rajan,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,0,0,0,0,2,0,0,2,0,1,8,400.0
PP Ojha,3,2,0,0,0,0,0,5,0,1,2,40.0
DS Kulkarni,1,0,1,0,0,0,0,2,0,1,2,100.0
