,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Shoaib Ahmed,0,1,0,1,0,0,0,2,0,1,4,200.0
TL Suman,2,2,0,0,0,0,0,4,1,1,2,50.0
Harmeet Singh,1,1,1,0,0,0,0,3,0,1,3,100.0
RJ Harris,4,2,3,0,0,0,0,9,1,2,8,88.89
RP Singh,12,6,2,0,1,0,1,22,3,6,20,90.91
AR Patel,1,0,0,0,0,0,0,1,1,1,0,0.0
BAW Mendis,1,2,0,0,0,0,0,3,0,1,2,66.67
LR Shukla,2,3,0,0,1,0,0,6,1,2,7,116.67
MS Gony,2,1,2,0,1,0,3,9,0,2,27,300.0
Joginder Sharma,4,1,0,0,0,0,0,5,2,2,1,20.0
AD Russell,6,3,0,0,2,0,0,11,1,2,11,100.0
PP Chawla,27,9,0,0,6,0,2,44,2,7,45,102.27
M Kartik,8,4,0,0,2,0,1,15,1,2,18,120.0
SE Bond,2,1,1,0,0,0,0,4,0,1,3,75.0
I Sharma,7,2,2,0,5,0,0,16,1,3,26,162.5
R Ashwin,1,0,0,0,0,0,0,1,0,1,0,0.0
M Ashwin,1,2,0,0,0,0,0,3,0,2,2,66.67
R Bhatia,10,11,2,0,1,0,2,26,0,5,31,119.23
SK Raina,0,1,0,0,0,0,0,1,0,1,1,100.0
S Tyagi,1,2,0,0,1,0,0,4,1,2,6,150.0
CH Gayle,0,1,0,0,0,0,1,2,0,2,7,350.0
SB Bangar,0,3,0,0,3,0,0,6,0,1,15,250.0
D Kalyankrishna,0,1,0,1,0,0,0,2,0,1,4,200.0
Shahid Afridi,2,3,3,0,1,0,1,10,0,2,19,190.0
DNT Zoysa,1,3,1,0,0,0,0,5,0,2,5,100.0
PP Ojha,17,13,2,0,4,0,1,37,3,7,39,105.41
Y Venugopal Rao,4,6,1,0,1,0,1,13,0,2,18,138.46
FH Edwards,1,2,0,0,1,0,0,4,1,1,6,150.0
Bipul Sharma,3,2,0,0,0,0,0,5,0,1,2,40.0
DJ Hooda,1,4,1,0,1,0,0,7,0,2,10,142.86
MC Henriques,6,3,1,0,0,0,0,10,0,3,5,50.0
BB Sran,2,2,0,0,0,0,0,4,2,2,2,50.0
MR Marsh,3,0,0,0,0,0,0,3,0,1,0,0.0
R Sharma,6,2,1,1,0,0,1,11,1,3,13,118.18
A Nehra,3,4,1,0,3,0,0,11,1,4,18,163.64
DT Christian,0,2,3,0,0,0,1,6,0,2,14,233.33
TP Sudhindra,0,4,0,0,0,0,2,6,0,1,16,266.67
DW Steyn,4,2,1,0,0,0,0,7,0,2,4,57.14
Harbhajan Singh,13,13,2,0,0,0,0,28,0,5,17,60.71
DR Smith,2,2,0,0,0,0,0,4,0,1,2,50.0
MM Patel,3,4,0,0,1,0,1,9,1,2,14,155.56
JEC Franklin,2,2,1,0,2,0,0,7,0,2,12,171.43
SL Malinga,7,3,1,0,6,0,0,17,1,3,29,170.59
SR Watson,8,2,2,0,4,0,1,17,2,6,28,164.71
V Kohli,2,0,0,0,1,0,0,3,0,1,4,133.33
DL Vettori,1,0,0,0,0,0,0,1,1,1,0,0.0
JD Unadkat,3,2,0,0,0,0,0,5,0,1,2,40.0
R Vinay Kumar,8,10,3,0,2,0,2,25,2,4,36,144.0
P Awana,9,8,1,0,1,0,0,19,0,3,14,73.68
L Balaji,0,3,0,0,0,0,2,5,0,2,15,300.0
A Mishra,7,7,1,0,0,0,1,16,0,3,15,93.75
DJ Muthuswami,1,0,0,0,0,0,0,1,1,1,0,0.0
MJ McClenaghan,2,0,0,0,0,0,1,3,1,1,6,200.0
UT Yadav,3,7,4,0,2,0,0,16,1,4,23,143.75
VR Aaron,0,1,1,0,2,0,2,6,0,1,23,383.33
AB Dinda,13,3,2,0,2,0,0,20,1,2,15,75.0
SP Narine,0,2,0,0,0,0,0,2,0,1,2,100.0
JH Kallis,9,5,0,0,1,0,0,15,1,3,9,60.0
A Ashish Reddy,0,3,0,0,0,0,0,3,0,1,3,100.0
P Kumar,5,9,3,0,0,0,2,19,1,3,27,142.11
B Kumar,3,3,1,0,2,0,0,9,1,2,13,144.44
TA Boult,1,2,0,0,4,0,0,7,0,2,18,257.14
S Kaul,1,1,1,0,0,0,0,3,0,1,3,100.0
Azhar Mahmood,6,5,2,0,0,0,0,13,0,2,9,69.23
DJ Hussey,1,4,1,0,0,0,2,8,0,1,18,225.0
MG Johnson,5,1,1,0,0,0,0,7,0,3,3,42.86
KA Pollard,1,5,1,0,1,0,1,9,0,4,17,188.89
MM Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
B Lee,12,3,1,0,2,0,0,18,0,2,13,72.22
IK Pathan,10,6,1,0,1,0,0,18,0,3,12,66.67
VRV Singh,1,1,0,0,2,0,0,4,0,1,9,225.0
S Sreesanth,3,5,0,0,3,0,2,13,0,2,29,223.08
KK Cooper,2,3,4,0,3,0,0,12,0,3,23,191.67
JP Faulkner,4,6,5,1,2,0,0,18,0,4,27,150.0
M Muralitharan,6,5,1,0,0,0,1,13,0,3,13,100.0
Z Khan,1,4,1,0,1,0,0,7,0,2,10,142.86
BCJ Cutting,1,1,0,0,1,0,0,3,0,1,5,166.67
BA Bhatt,1,1,0,0,0,0,0,2,0,1,1,50.0
P Amarnath,1,2,0,1,2,0,0,6,0,1,13,216.67
JA Morkel,7,3,1,0,0,0,0,11,1,3,5,45.45
RS Bopara,1,2,0,0,0,0,1,4,1,1,8,200.0
Mohammad Hafeez,0,2,0,0,1,0,0,3,0,1,6,200.0
SC Ganguly,0,5,0,0,1,0,0,6,0,1,9,150.0
AB Agarkar,2,4,2,0,0,0,0,8,0,1,8,100.0
RE van der Merwe,3,8,5,0,0,0,2,18,0,2,30,166.67
S Nadeem,9,3,1,0,0,0,0,13,0,1,5,38.46
M Morkel,0,3,0,0,0,0,0,3,0,1,3,100.0
SK Warne,2,1,0,0,0,0,0,3,0,1,1,33.33
R Rampaul,2,0,1,0,0,0,1,4,1,1,8,200.0
DS Kulkarni,1,2,0,0,0,0,2,5,0,1,14,280.0
Iqbal Abdulla,3,0,0,0,0,0,1,4,1,2,6,150.0
Yuvraj Singh,8,5,4,0,0,0,1,18,0,3,19,105.56
GS Sandhu,2,0,0,0,0,0,1,3,1,1,6,200.0
A Singh,0,2,1,0,1,0,0,4,0,1,8,200.0
STR Binny,0,2,0,0,0,0,0,2,0,1,2,100.0
P Suyal,5,1,0,0,2,0,0,8,1,2,9,112.5
Mustafizur Rahman,3,1,0,0,0,0,0,4,0,1,1,25.0
M de Lange,0,1,0,0,0,0,0,1,0,1,1,100.0
PJ Sangwan,2,4,1,0,0,0,0,7,0,1,6,85.71
DP Nannes,3,1,0,0,1,0,1,6,1,2,11,183.33
R Dhawan,3,1,0,0,1,0,0,5,1,1,5,100.0
J Suchith,4,2,0,0,2,0,1,9,0,1,16,177.78
Jaskaran Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
A Symonds,1,1,0,0,2,0,0,4,0,1,9,225.0
KV Sharma,6,0,0,0,0,0,0,6,0,1,0,0.0
J Botha,2,5,1,0,0,0,0,8,0,1,7,87.5
Pankaj Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
SK Trivedi,3,2,0,0,0,0,0,5,1,1,2,40.0
S Ladda,1,0,1,0,0,0,1,3,1,1,8,266.67
MA Starc,3,1,1,0,1,0,0,6,2,3,7,116.67
YA Abdulla,11,1,0,0,0,0,0,12,0,1,1,8.33
VS Malik,1,1,0,0,0,0,0,2,0,1,1,50.0
RR Powar,3,0,1,0,0,0,0,4,1,1,2,50.0
D du Preez,2,3,1,0,0,0,0,6,0,1,5,83.33
A Kumble,1,3,1,0,0,0,0,5,0,1,5,100.0
YS Chahal,1,3,0,0,0,0,0,4,1,2,3,75.0
CJ Jordan,1,1,0,0,1,0,0,3,0,1,5,166.67
Ankit Sharma,2,2,0,0,0,0,0,4,0,1,2,50.0
PV Tambe,1,6,0,0,3,0,1,11,0,1,24,218.18
CH Morris,2,11,0,0,2,0,0,15,0,3,19,126.67
GB Hogg,3,3,0,0,1,0,0,7,0,1,7,100.0
YK Pathan,3,4,0,0,1,0,0,8,0,2,8,100.0
PJ Cummins,0,2,1,0,0,0,0,3,0,1,4,133.33
K Goel,3,1,1,0,0,0,0,5,0,1,3,60.0
KH Pandya,2,2,0,0,0,0,0,4,0,1,2,50.0
JJ Bumrah,2,0,0,0,0,0,0,2,1,1,0,0.0
V Sehwag,0,1,0,0,0,0,0,1,0,1,1,100.0
Shoaib Malik,1,0,0,0,0,0,0,1,1,1,0,0.0
