,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Z Khan,6,3,0,0,0,0,1,10,0,1,9,90.0
A Mithun,5,1,0,0,1,0,0,7,0,1,5,71.43
P Parameswaran,1,2,0,0,0,0,0,3,0,1,2,66.67
M Muralitharan,7,5,0,0,0,0,0,12,0,1,5,41.67
TM Dilshan,2,0,0,0,1,0,2,5,0,1,16,320.0
J Syed Mohammad,0,4,0,0,0,0,1,5,0,1,10,200.0
RR Powar,1,3,1,0,2,0,0,7,0,1,13,185.71
P Kumar,4,2,0,0,0,0,0,6,0,1,2,33.33
PP Chawla,3,3,0,0,0,0,1,7,0,1,9,128.57
Azhar Mahmood,2,3,0,0,0,0,0,5,0,1,3,60.0
P Awana,2,1,1,0,0,0,0,4,0,1,3,75.0
DJ Hussey,1,0,0,0,0,0,0,1,1,1,0,0.0
R Ashwin,6,2,0,0,1,0,0,9,0,1,6,66.67
JA Morkel,0,1,0,0,0,0,0,1,0,1,1,100.0
DE Bollinger,2,0,0,0,2,0,0,4,1,1,8,200.0
AD Russell,4,0,0,0,2,0,0,6,0,1,8,133.33
M Morkel,5,2,0,0,1,0,0,8,1,1,6,75.0
VR Aaron,1,1,0,0,1,0,0,3,0,1,5,166.67
