,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Chandila,1,2,0,0,0,0,1,4,0,1,8,200.0
S Sreesanth,6,7,0,0,3,0,1,17,0,4,25,147.06
KK Cooper,1,2,2,0,2,0,0,7,0,2,14,200.0
JP Faulkner,1,2,0,0,1,0,0,4,0,1,6,150.0
SK Trivedi,10,11,3,0,3,0,1,28,4,5,35,125.0
A Singh,4,0,0,0,2,0,0,6,0,1,8,133.33
MM Patel,13,8,3,0,0,0,1,25,2,6,20,80.0
SK Warne,8,5,1,0,1,0,1,16,0,3,17,106.25
J Botha,2,3,0,0,0,0,0,5,1,2,3,60.0
A Ashish Reddy,1,1,0,0,0,0,0,2,0,1,1,50.0
A Mishra,11,17,2,0,2,0,4,36,0,5,53,147.22
V Pratap Singh,3,3,0,0,1,0,0,7,1,1,7,100.0
DJ Harris,4,1,0,0,0,0,0,5,0,1,1,20.0
AB McDonald,4,11,1,0,0,0,0,16,0,3,13,81.25
R Bhatia,18,21,4,0,3,0,0,46,0,6,41,89.13
UT Yadav,16,8,1,0,0,0,0,25,2,4,10,40.0
MS Gony,4,3,1,0,1,0,0,9,0,2,9,100.0
DW Steyn,7,4,0,0,2,0,0,13,0,3,12,92.31
TP Sudhindra,1,2,1,0,0,0,2,6,0,1,16,266.67
DT Christian,0,1,0,0,0,0,1,2,0,1,7,350.0
KV Sharma,4,5,0,0,1,0,0,10,0,2,9,90.0
Parvez Rasool,1,6,0,0,0,0,0,7,0,1,6,85.71
IK Pathan,13,9,0,0,5,0,3,30,0,6,47,156.67
DJG Sammy,0,1,0,0,2,0,0,3,0,1,9,300.0
B Kumar,2,4,0,0,0,0,0,6,1,2,4,66.67
VY Mahesh,1,4,0,0,0,0,0,5,0,1,4,80.0
MF Maharoof,5,6,0,0,0,0,1,12,1,1,12,100.0
V Sehwag,0,1,0,0,0,0,0,1,0,1,1,100.0
PJ Sangwan,0,1,0,0,0,0,0,1,0,1,1,100.0
GD McGrath,2,3,0,0,0,0,1,6,0,1,9,150.0
L Balaji,2,4,2,0,0,0,0,8,0,4,8,100.0
B Lee,2,2,0,0,0,0,0,4,0,1,2,50.0
VR Aaron,6,8,0,0,0,0,0,14,0,4,8,57.14
P Negi,1,3,0,0,1,0,0,5,0,1,7,140.0
M Morkel,4,3,0,0,1,0,1,9,0,2,13,144.44
JH Kallis,6,4,0,0,1,0,1,12,1,4,14,116.67
SMSM Senanayake,0,3,2,0,0,0,0,5,0,2,7,140.0
SP Narine,3,6,0,0,0,0,0,9,1,3,6,66.67
AG Murtaza,3,4,1,0,1,0,0,9,0,1,10,111.11
R McLaren,0,3,0,0,0,0,1,4,0,1,9,225.0
JP Duminy,0,1,0,0,0,0,0,1,0,1,1,100.0
JA Morkel,3,1,1,0,0,0,0,5,1,2,3,60.0
MM Sharma,1,1,0,0,1,0,0,3,0,1,5,166.67
R Ashwin,6,8,2,0,0,0,1,17,3,4,18,105.88
CH Morris,5,4,0,0,2,0,0,11,0,2,12,109.09
S Ladda,0,1,0,0,0,0,0,1,0,1,1,100.0
P Amarnath,1,0,0,0,0,0,0,1,1,1,0,0.0
SW Tait,2,0,0,0,1,0,0,3,0,1,4,133.33
WPUJC Vaas,1,3,0,0,1,0,1,6,0,2,13,216.67
SB Styris,5,4,0,0,2,0,1,12,0,2,18,150.0
SB Bangar,10,2,0,0,0,0,1,13,0,1,8,61.54
A Symonds,6,8,0,0,0,0,2,16,0,4,20,125.0
PP Ojha,19,17,0,0,0,0,4,40,1,6,41,102.5
RP Singh,6,10,4,0,2,0,2,24,0,7,38,158.33
RJ Harris,0,1,0,0,0,0,0,1,0,1,1,100.0
Harmeet Singh,0,0,2,0,1,0,2,5,0,1,20,400.0
Harbhajan Singh,7,18,1,0,1,0,1,28,0,4,30,107.14
