,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AL Menaria,2,2,0,0,0,0,0,4,0,1,2,50.0
A Singh,5,1,1,0,0,0,0,7,1,1,3,42.86
SR Watson,1,2,1,0,0,0,1,5,0,1,10,200.0
IK Pathan,5,0,0,0,0,0,0,5,0,1,0,0.0
S Nadeem,5,0,0,0,0,0,0,5,1,1,0,0.0
BA Bhatt,1,2,0,0,0,0,0,3,0,1,2,66.67
P Kumar,4,0,0,0,2,0,0,6,0,1,8,133.33
Bipul Sharma,1,0,0,0,0,0,0,1,1,1,0,0.0
RP Singh,9,2,0,0,0,0,0,11,0,1,2,18.18
R Vinay Kumar,2,1,0,0,0,0,0,3,0,1,1,33.33
RV Gomez,2,1,0,0,1,0,0,4,1,1,5,125.0
NLTC Perera,1,2,1,0,0,0,0,4,0,1,4,100.0
Z Khan,8,0,0,0,2,0,2,12,0,1,20,166.67
DL Vettori,1,2,0,0,0,0,0,3,0,1,2,66.67
DP Nannes,2,0,0,0,0,0,0,2,1,1,0,0.0
A Mishra,2,1,0,0,1,0,0,4,0,1,5,125.0
DW Steyn,2,0,0,0,0,0,0,2,0,1,0,0.0
PP Ojha,2,1,0,0,0,0,1,4,0,1,7,175.0
I Sharma,2,2,0,0,2,0,0,6,1,1,10,166.67
DT Christian,0,2,0,0,2,0,0,4,0,1,10,250.0
AB Dinda,3,1,0,0,0,0,0,4,0,1,1,25.0
M Morkel,2,0,0,0,0,0,0,2,1,1,0,0.0
