,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
I Sharma,2,0,0,0,0,0,0,2,0,1,0,0.0
AB Agarkar,3,1,0,0,0,0,0,4,0,1,1,25.0
Y Venugopal Rao,1,0,0,0,0,0,0,1,0,1,0,0.0
RP Singh,3,1,0,0,0,0,0,4,0,1,1,25.0
DNT Zoysa,2,2,0,0,0,0,0,4,0,1,2,50.0
Shahid Afridi,4,3,0,0,0,0,0,7,1,1,3,42.86
PP Ojha,0,2,0,0,0,0,0,2,0,1,2,100.0
Z Khan,3,0,0,0,0,0,0,3,1,1,0,0.0
P Kumar,3,0,0,0,0,0,0,3,0,1,0,0.0
PJ Sangwan,5,7,0,0,0,0,1,13,0,1,13,100.0
VY Mahesh,4,2,0,0,2,0,0,8,0,1,10,125.0
R Bhatia,1,1,0,0,0,0,1,3,1,1,7,233.33
