,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KV Sharma,2,4,0,0,0,0,0,6,0,1,4,66.67
RS Bopara,0,2,0,0,0,0,0,2,0,1,2,100.0
A Ashish Reddy,1,0,0,0,0,0,0,1,1,1,0,0.0
A Chandila,2,0,0,0,0,0,0,2,0,1,0,0.0
SR Watson,5,5,1,0,2,0,3,16,0,3,33,206.25
KK Cooper,4,8,1,0,3,0,1,17,0,3,28,164.71
SK Trivedi,5,8,1,0,1,0,1,16,0,3,20,125.0
STR Binny,10,6,2,0,2,0,0,20,0,2,18,90.0
JP Faulkner,3,3,2,0,1,0,0,9,2,3,11,122.22
VR Aaron,0,1,0,0,0,0,1,2,0,1,7,350.0
MA Starc,0,1,1,0,0,0,0,2,0,1,3,150.0
R Bhatia,2,3,0,0,0,0,0,5,0,1,3,60.0
PV Tambe,6,4,0,0,0,0,0,10,0,2,4,40.0
DS Kulkarni,0,2,0,0,0,0,0,2,0,2,2,100.0
KW Richardson,1,0,0,0,0,0,0,1,1,1,0,0.0
SP Narine,12,7,1,0,0,0,0,20,0,4,9,45.0
Mohammed Shami,0,2,0,0,0,0,0,2,0,1,2,100.0
Iqbal Abdulla,0,1,1,0,0,0,2,4,0,1,15,375.0
SK Raina,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Sharma,1,5,1,0,0,0,2,9,1,2,19,211.11
AB Dinda,2,1,0,0,0,0,0,3,0,1,1,33.33
YS Chahal,1,1,0,0,0,0,0,2,0,1,1,50.0
HV Patel,3,0,0,0,0,0,1,4,1,1,6,150.0
UT Yadav,3,1,1,0,0,0,0,5,0,2,3,60.0
PP Chawla,7,3,0,0,0,0,0,10,1,3,3,30.0
Shakib Al Hasan,7,3,0,0,1,0,2,13,2,3,19,146.15
YK Pathan,0,2,0,0,0,0,0,2,0,1,2,100.0
AR Patel,2,2,0,1,0,0,1,6,0,1,11,183.33
L Balaji,2,2,1,0,0,0,0,5,1,1,4,80.0
DJ Bravo,1,2,0,0,1,0,0,4,1,1,6,150.0
RA Jadeja,6,0,1,0,0,0,1,8,1,2,8,100.0
CH Morris,0,1,0,0,1,0,0,2,0,1,5,250.0
BMAJ Mendis,2,4,1,0,0,0,1,8,0,1,12,150.0
S Nadeem,3,3,0,0,0,0,0,6,0,1,3,50.0
J Botha,3,3,0,0,0,0,0,6,0,1,3,50.0
R Ashwin,2,0,0,0,0,0,0,2,0,1,0,0.0
BW Hilfenhaus,3,2,0,0,2,0,0,7,0,1,10,142.86
P Negi,1,0,0,0,0,0,0,1,0,1,0,0.0
CJ Anderson,4,0,0,0,1,0,1,6,1,1,10,166.67
R Vinay Kumar,2,1,0,0,0,0,1,4,1,1,7,175.0
