,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SK Trivedi,1,1,0,0,0,0,0,2,1,1,1,50.0
RE van der Merwe,0,1,0,0,0,0,0,1,0,1,1,100.0
P Kumar,0,0,0,1,0,0,0,1,0,1,3,300.0
Y Nagar,2,0,0,0,0,0,0,2,0,1,0,0.0
JR Hopes,3,3,0,0,1,0,0,7,0,1,7,100.0
UT Yadav,1,3,0,0,0,0,0,4,0,1,3,75.0
IK Pathan,5,1,0,0,0,0,1,7,1,2,7,100.0
M Morkel,1,1,0,0,0,0,0,2,0,1,1,50.0
AB Dinda,1,3,0,0,0,0,0,4,0,2,3,75.0
MS Gony,0,1,0,0,0,0,0,1,0,1,1,100.0
DW Steyn,2,1,0,0,0,0,0,3,0,1,1,33.33
DT Christian,1,1,0,0,0,0,0,2,0,1,1,50.0
SP Narine,0,2,0,0,0,0,0,2,0,1,2,100.0
R Bhatia,1,2,0,0,1,0,1,5,0,2,12,240.0
LR Shukla,0,1,0,0,0,0,0,1,0,1,1,100.0
KP Appanna,1,1,0,0,0,0,0,2,0,1,1,50.0
JH Kallis,1,1,1,0,1,0,0,4,0,1,7,175.0
A Kumble,0,1,0,0,0,0,0,1,0,1,1,100.0
R Vinay Kumar,4,2,1,0,1,0,0,8,0,1,8,100.0
A Mithun,0,2,0,0,0,0,0,2,0,1,2,100.0
SK Warne,0,4,0,0,0,0,0,4,0,1,4,100.0
MM Patel,6,3,0,0,0,0,0,9,1,1,3,33.33
RA Jadeja,0,3,0,0,1,0,0,4,0,1,7,175.0
YK Pathan,4,2,1,0,0,0,0,7,0,1,4,57.14
Kamran Khan,0,1,1,0,2,0,0,4,0,1,11,275.0
R Ashwin,1,0,0,0,0,0,0,1,1,1,0,0.0
DE Bollinger,0,1,0,0,0,0,0,1,0,1,1,100.0
PP Chawla,2,2,0,0,0,0,0,4,1,2,2,50.0
Yuvraj Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
L Balaji,6,1,0,0,2,0,0,9,1,1,9,100.0
S Nadeem,0,1,0,0,0,0,0,1,0,1,1,100.0
DAJ Bracewell,1,2,0,0,0,0,0,3,0,1,2,66.67
GJ Maxwell,1,0,0,0,0,0,0,1,0,1,0,0.0
TG Southee,0,2,0,0,0,0,0,2,0,1,2,100.0
Azhar Mahmood,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,0,1,0,0,0,0,0,1,0,1,1,100.0
AB Agarkar,0,1,0,0,2,0,0,3,0,1,9,300.0
