,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AB Agarkar,13,12,4,0,6,0,0,35,1,6,44,125.71
LR Shukla,3,2,0,0,1,0,0,6,0,3,6,100.0
SC Ganguly,0,1,1,0,0,0,0,2,0,1,3,150.0
BJ Hodge,3,3,1,0,1,0,0,8,0,1,9,112.5
M Kartik,7,13,1,0,4,0,0,25,0,3,31,124.0
CH Gayle,8,4,0,0,2,0,1,15,0,3,18,120.0
I Sharma,11,4,1,1,3,0,1,21,3,5,27,128.57
RE van der Merwe,8,3,0,0,1,0,0,12,1,3,7,58.33
AP Dole,3,3,0,0,2,0,1,9,1,1,17,188.89
YK Pathan,11,20,0,0,3,0,0,34,1,5,32,94.12
SR Watson,11,4,0,0,1,0,0,16,0,3,8,50.0
SK Trivedi,13,7,4,0,1,0,2,27,2,5,31,114.81
SK Warne,2,5,0,0,1,0,0,8,0,3,9,112.5
P Kumar,22,10,1,0,6,0,0,39,1,6,36,92.31
A Kumble,3,5,2,0,2,0,1,13,0,3,23,176.92
DW Steyn,25,6,0,0,3,0,1,35,0,6,24,68.57
Z Khan,2,2,0,1,2,0,0,7,0,2,13,185.71
JH Kallis,19,15,4,0,4,0,0,42,0,7,39,92.86
RJ Harris,16,7,2,0,4,0,0,29,0,3,27,93.1
BA Bhatt,4,4,0,1,2,0,1,12,0,1,21,175.0
Bipul Sharma,2,5,0,0,2,0,0,9,0,1,13,144.44
SJ Srivastava,3,6,0,0,2,0,0,11,0,1,14,127.27
PP Chawla,15,14,1,0,3,0,2,35,0,3,40,114.29
B Lee,11,5,1,0,6,0,1,24,1,4,37,154.17
L Balaji,11,16,3,0,4,0,1,35,1,5,44,125.71
Shoaib Ahmed,1,3,0,0,0,0,1,5,0,1,9,180.0
RP Singh,11,14,2,0,10,0,1,38,0,5,64,168.42
PP Ojha,14,16,6,0,4,0,0,40,0,5,44,110.0
TL Suman,1,4,1,0,0,0,2,8,0,1,18,225.0
SM Harwood,3,0,0,0,0,0,1,4,1,1,6,150.0
JP Duminy,2,1,0,0,0,0,0,3,0,1,1,33.33
SR Tendulkar,0,3,1,0,0,0,0,4,0,1,5,125.0
ST Jayasuriya,1,1,0,0,0,0,0,2,1,1,1,50.0
SW Tait,3,3,1,0,4,0,0,11,0,3,21,190.91
JP Faulkner,1,1,0,0,0,0,0,2,0,1,1,50.0
STR Binny,2,1,0,0,0,0,0,3,0,1,1,33.33
PV Tambe,3,4,1,0,1,0,0,9,0,1,10,111.11
R McLaren,1,0,0,0,2,0,0,3,0,1,8,266.67
SL Malinga,17,10,2,0,11,0,0,40,3,5,58,145.0
Harbhajan Singh,9,20,4,0,5,0,0,38,1,7,48,126.32
A Nehra,6,8,0,0,2,0,0,16,0,4,16,100.0
MA Khote,0,1,0,0,0,0,1,2,0,1,7,350.0
DJ Bravo,9,8,3,0,1,0,0,21,0,4,18,85.71
P Amarnath,1,1,0,0,0,0,0,2,0,1,1,50.0
M Muralitharan,5,6,1,0,1,0,3,16,2,4,30,187.5
A Symonds,7,3,1,0,1,0,0,12,1,2,9,75.0
SP Narine,6,7,2,0,1,0,0,16,0,3,15,93.75
R Bhatia,13,21,1,0,4,0,3,42,0,6,57,135.71
MC Henriques,3,5,0,0,3,0,0,11,0,2,17,154.55
AB Dinda,4,5,1,0,1,0,1,12,1,3,17,141.67
JA Morkel,8,7,0,0,4,0,1,20,3,5,29,145.0
SK Raina,1,5,0,0,0,0,0,6,0,1,5,83.33
Mohammad Hafeez,0,2,0,0,0,0,0,2,0,1,2,100.0
DJ Hussey,1,3,2,0,0,0,2,8,0,3,19,237.5
Umar Gul,3,0,0,0,0,0,0,3,1,2,0,0.0
A Singh,1,3,0,0,1,0,0,5,0,1,7,140.0
J Botha,1,0,0,0,0,0,0,1,1,1,0,0.0
D Salunkhe,2,1,0,0,0,0,0,3,1,1,1,33.33
MS Gony,3,1,1,0,1,0,0,6,0,1,7,116.67
M Ntini,1,1,0,0,0,0,0,2,0,1,1,50.0
SB Jakati,4,7,0,1,1,0,0,13,0,2,14,107.69
RA Jadeja,1,3,1,0,0,0,0,5,0,1,5,100.0
R Ashwin,5,4,4,0,1,0,2,16,2,3,28,175.0
MM Sharma,4,2,0,0,0,0,0,6,0,1,2,33.33
CH Morris,5,0,0,0,1,0,0,6,1,1,4,66.67
S Sreesanth,3,1,0,0,0,0,0,4,0,1,1,25.0
KK Cooper,1,1,0,0,1,1,0,4,0,1,10,250.0
R Shukla,5,3,0,0,1,0,0,9,1,2,7,77.78
DT Christian,1,1,0,0,0,0,0,2,1,1,1,50.0
RJ Peterson,2,1,0,0,1,0,0,4,1,1,5,125.0
KA Pollard,6,9,0,0,3,0,0,18,0,5,21,116.67
Azhar Mahmood,7,7,2,0,6,0,0,22,1,3,35,159.09
Sandeep Sharma,4,1,1,0,0,0,0,6,1,1,3,50.0
P Awana,13,8,1,0,2,0,0,24,0,3,18,75.0
CRD Fernando,1,1,0,0,0,0,0,2,1,1,1,50.0
MG Johnson,4,0,1,0,0,0,0,5,1,1,2,40.0
B Kumar,10,2,0,0,2,0,0,14,0,2,10,71.43
KW Richardson,3,2,0,0,1,0,0,6,0,1,6,100.0
Harmeet Singh,1,5,2,0,0,0,0,8,0,1,9,112.5
DL Vettori,9,8,0,0,0,0,0,17,3,4,8,47.06
DP Nannes,2,3,0,0,2,0,0,7,0,2,11,157.14
DNT Zoysa,0,1,0,0,1,0,0,2,0,1,5,250.0
D Kalyankrishna,2,2,1,0,4,0,1,10,0,1,26,260.0
Shahid Afridi,0,1,0,0,0,0,0,1,0,1,1,100.0
SB Bangar,2,3,0,0,0,0,0,5,0,1,3,60.0
JJ Bumrah,1,0,1,0,2,0,0,4,0,1,10,250.0
MM Patel,15,8,2,0,4,0,0,29,1,5,28,96.55
DR Smith,1,4,0,0,0,0,1,6,0,1,10,166.67
WD Parnell,7,1,1,0,2,0,0,11,1,2,11,100.0
AG Murtaza,5,4,1,0,1,0,0,11,1,2,10,90.91
AC Thomas,6,3,1,0,2,0,0,12,1,2,13,108.33
IK Pathan,4,3,0,0,0,0,0,7,0,1,3,42.86
UT Yadav,4,0,0,0,2,0,0,6,0,1,8,133.33
M Morkel,4,1,0,0,0,0,0,5,0,1,1,20.0
JDP Oram,1,0,0,0,0,0,0,1,1,1,0,0.0
MF Maharoof,4,6,2,0,3,0,1,16,0,3,28,175.0
A Mishra,4,8,1,0,1,0,1,15,0,2,20,133.33
PD Collingwood,3,1,0,0,1,0,0,5,1,1,5,100.0
R Vinay Kumar,2,1,0,0,0,0,0,3,0,1,1,33.33
HV Patel,2,4,0,0,0,0,0,6,0,1,4,66.67
P Parameswaran,1,0,0,0,0,0,0,1,1,1,0,0.0
BW Hilfenhaus,6,4,1,0,3,0,0,14,0,2,18,128.57
AA Chavan,3,1,0,0,1,0,0,5,1,2,5,100.0
Iqbal Abdulla,9,12,2,0,5,0,0,28,1,4,36,128.57
Shakib Al Hasan,7,4,0,0,2,0,0,13,0,2,12,92.31
V Kohli,1,3,0,0,1,0,0,5,0,1,7,140.0
AUK Pathan,0,4,0,0,0,0,0,4,0,1,4,100.0
R Sathish,0,2,1,0,0,0,0,3,0,1,4,133.33
Pankaj Singh,2,1,0,0,0,0,0,3,1,1,1,33.33
JD Unadkat,4,5,0,0,4,0,1,14,1,3,27,192.86
S Ladda,0,2,1,0,0,0,1,4,0,1,10,250.0
AD Mascarenhas,2,2,0,0,0,0,0,4,0,1,2,50.0
SB Styris,0,2,1,0,0,0,1,4,0,1,10,250.0
SE Bond,5,6,2,0,3,0,0,16,0,1,22,137.5
AD Mathews,2,6,1,0,0,0,0,9,1,2,8,88.89
CJ McKay,3,3,0,0,1,0,0,7,0,1,7,100.0
BAW Mendis,0,1,0,0,0,0,0,1,0,1,1,100.0
MR Marsh,0,3,2,0,1,0,0,6,0,1,11,183.33
RG Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
R Sharma,4,4,0,0,1,0,1,10,0,1,14,140.0
NLTC Perera,2,0,0,0,1,0,0,3,0,1,4,133.33
PJ Sangwan,4,3,0,0,1,0,0,8,1,2,7,87.5
DE Bollinger,6,2,0,0,1,0,0,9,0,2,6,66.67
V Sehwag,1,1,0,0,3,0,0,5,0,1,13,260.0
JD Ryder,3,0,0,0,0,0,0,3,0,1,0,0.0
KP Appanna,0,1,0,0,0,0,0,1,0,1,1,100.0
GD McGrath,1,1,0,0,0,0,0,2,0,1,1,50.0
Mohammad Asif,2,1,0,0,0,0,0,3,0,1,1,33.33
VY Mahesh,1,1,0,0,0,0,0,2,0,1,1,50.0
Shoaib Malik,2,1,0,0,0,0,0,3,1,1,1,33.33
AC Voges,0,4,0,0,0,0,0,4,0,1,4,100.0
S Tyagi,1,1,0,0,0,0,2,4,0,1,13,325.0
R Rampaul,4,2,0,0,2,0,0,8,0,1,10,125.0
