,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,10,5,3,0,0,0,2,20,1,4,23,115.0
SK Warne,7,4,1,0,0,0,1,13,1,3,12,92.31
YK Pathan,2,3,2,0,0,0,1,8,1,1,13,162.5
SK Trivedi,15,14,4,0,3,1,1,38,0,5,45,118.42
AS Raut,0,2,0,0,0,0,0,2,0,1,2,100.0
JH Kallis,7,5,0,0,1,0,0,13,1,2,9,69.23
A Chandila,1,3,0,0,0,0,3,7,0,1,21,300.0
SR Watson,16,11,0,0,3,0,1,31,0,6,29,93.55
SW Tait,2,6,3,0,3,0,0,14,0,1,24,171.43
GB Hogg,5,6,0,0,2,0,0,13,0,2,14,107.69
STR Binny,5,5,1,0,2,0,1,14,2,5,21,150.0
Sandeep Sharma,18,4,0,0,5,0,1,28,2,4,30,107.14
MM Sharma,14,8,0,0,6,0,2,30,1,5,44,146.67
AR Patel,9,11,0,0,2,0,2,24,2,4,31,129.17
KC Cariappa,3,1,0,0,0,0,0,4,0,1,1,25.0
SM Harwood,3,1,0,0,1,0,0,5,1,1,5,100.0
PJ Cummins,8,1,0,0,1,0,0,10,2,3,5,50.0
UT Yadav,5,3,0,0,2,0,1,11,1,2,17,154.55
AD Russell,5,3,0,0,1,0,0,9,0,2,7,77.78
VR Aaron,4,4,2,0,3,0,0,13,1,2,20,153.85
GJ Maxwell,3,3,1,0,1,0,3,11,1,2,27,245.45
T Natarajan,0,1,0,0,0,0,1,2,0,1,7,350.0
Shakib Al Hasan,10,3,0,0,4,0,2,19,2,3,31,163.16
SP Narine,10,4,1,0,1,0,0,16,1,3,10,62.5
JP Duminy,2,5,0,0,0,0,0,7,0,1,5,71.43
Mohammed Shami,8,6,1,0,5,0,2,22,0,3,40,181.82
S Nadeem,24,17,0,0,3,0,5,49,2,7,59,120.41
JD Unadkat,11,9,0,0,1,0,4,25,0,3,37,148.0
JDS Neesham,1,2,1,0,1,0,0,5,0,1,8,160.0
DL Vettori,3,2,1,0,3,0,0,9,0,1,16,177.78
A Mishra,11,17,2,0,2,0,5,37,1,6,59,159.46
TM Dilshan,1,1,0,0,0,0,0,2,0,1,1,50.0
PJ Sangwan,1,2,0,0,0,0,0,3,0,1,2,66.67
A Nehra,4,4,0,0,1,0,1,10,1,2,14,140.0
Bipul Sharma,2,4,0,0,0,0,0,6,0,1,4,66.67
BCJ Cutting,3,5,0,0,2,0,0,10,1,2,13,130.0
Rashid Khan,4,2,1,0,2,0,1,10,1,2,18,180.0
MC Henriques,1,3,1,0,4,0,0,9,1,3,21,233.33
B Kumar,29,7,1,0,6,0,2,45,3,7,45,100.0
MJ McClenaghan,15,5,1,0,3,0,1,25,1,4,25,100.0
M Morkel,0,1,0,0,1,0,0,2,0,1,5,250.0
PP Chawla,2,4,0,0,1,0,1,8,1,3,14,175.0
KV Sharma,14,15,2,0,3,0,3,37,1,4,49,132.43
DW Steyn,25,5,1,0,5,0,0,36,0,5,27,75.0
Parvez Rasool,0,2,0,0,0,0,3,5,0,1,20,400.0
S Sreesanth,4,0,1,0,2,0,1,8,0,1,16,200.0
IK Pathan,8,2,1,0,0,0,0,11,0,2,4,36.36
JR Hopes,1,1,0,0,0,0,0,2,0,1,1,50.0
R Bhatia,2,9,0,1,3,0,1,16,1,5,30,187.5
YS Chahal,13,9,2,0,4,0,5,33,2,4,59,178.79
KW Richardson,2,1,0,0,0,0,1,4,1,1,7,175.0
Iqbal Abdulla,20,14,1,0,9,0,5,49,1,4,82,167.35
P Kumar,21,11,2,0,5,0,1,40,1,5,41,102.5
A Kumble,1,0,0,0,0,0,0,1,1,1,0,0.0
VS Malik,6,5,1,0,3,0,0,15,0,1,19,126.67
JP Faulkner,16,4,1,0,6,0,5,32,1,4,60,187.5
KK Cooper,5,5,0,0,1,0,0,11,1,2,9,81.82
P Negi,1,1,0,0,0,0,0,2,0,1,1,50.0
RR Raje,1,3,0,0,0,0,1,5,0,1,9,180.0
ST Jayasuriya,8,6,2,0,2,0,1,19,2,2,24,126.32
R Ashwin,7,6,2,0,6,0,1,22,1,4,40,181.82
MG Johnson,2,6,2,0,1,0,1,12,0,2,20,166.67
L Balaji,24,11,1,0,2,0,1,39,1,5,27,69.23
P Awana,7,6,0,0,2,0,0,15,0,3,14,93.33
R Dhawan,2,5,0,0,0,0,0,7,0,1,5,71.43
R McLaren,3,1,0,0,2,0,0,6,0,1,9,150.0
JA Morkel,16,3,6,0,9,0,2,36,1,5,63,175.0
NM Coulter-Nile,3,1,0,0,0,0,0,4,0,1,1,25.0
DJ Muthuswami,5,2,1,0,2,0,0,10,0,1,12,120.0
Imran Tahir,7,6,0,0,2,0,0,15,3,4,14,93.33
SL Malinga,17,7,1,0,3,0,0,28,1,5,21,75.0
R Vinay Kumar,10,3,1,0,4,0,2,20,0,3,33,165.0
HH Pandya,7,5,0,0,5,0,0,17,0,2,25,147.06
Harbhajan Singh,20,18,3,0,6,0,4,51,4,7,72,141.18
DJ Bravo,1,2,0,0,1,0,1,5,1,3,12,240.0
DS Kulkarni,6,3,0,0,1,0,1,11,0,2,13,118.18
AB Dinda,4,1,3,0,2,0,0,10,1,2,15,150.0
NLTC Perera,3,3,0,0,1,0,0,7,1,2,7,100.0
M Ashwin,2,1,0,0,0,0,0,3,0,1,1,33.33
SB Jakati,7,11,2,0,1,0,2,23,2,4,31,134.78
DE Bollinger,0,3,0,0,0,0,0,3,0,1,3,100.0
T Thushara,1,1,1,0,0,0,1,4,0,1,9,225.0
WD Parnell,7,2,0,0,0,0,0,9,1,1,2,22.22
LR Shukla,4,3,0,0,1,0,1,9,0,1,13,144.44
TA Boult,9,2,0,0,3,0,0,14,0,2,14,100.0
CH Morris,19,3,2,1,3,0,2,30,0,5,34,113.33
CJ Anderson,2,2,0,0,0,0,0,4,0,2,2,50.0
JJ Bumrah,10,6,1,0,5,0,0,22,0,3,28,127.27
AS Rajpoot,1,0,0,0,0,0,0,1,1,1,0,0.0
KA Pollard,1,1,1,0,2,0,1,6,0,1,17,283.33
M Muralitharan,5,3,0,0,1,0,0,9,2,5,7,77.78
HV Patel,6,3,0,0,2,0,0,11,2,2,11,100.0
MA Starc,18,7,1,0,4,0,0,30,1,5,25,83.33
AN Ahmed,3,1,0,0,0,0,0,4,0,1,1,25.0
Karanveer Singh,6,0,1,0,3,0,2,12,0,1,26,216.67
Anureet Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
JDP Oram,0,1,0,0,1,0,1,3,0,1,11,366.67
BW Hilfenhaus,8,1,1,0,5,0,3,18,0,2,41,227.78
Sohail Tanvir,1,1,0,0,0,0,0,2,1,1,1,50.0
Ankit Sharma,11,7,3,0,4,0,2,27,1,4,41,151.85
PV Tambe,2,5,1,0,2,0,0,10,0,2,15,150.0
J Syed Mohammad,1,3,1,0,0,0,0,5,1,2,5,100.0
VY Mahesh,2,2,0,0,0,0,0,4,1,1,2,50.0
MF Maharoof,2,2,0,0,0,0,0,4,0,1,2,50.0
B Geeves,0,2,0,0,2,0,0,4,0,1,10,250.0
R Rampaul,3,2,0,0,2,0,0,7,1,2,10,142.86
RP Singh,5,2,1,0,0,0,0,8,0,1,4,50.0
Z Khan,17,9,2,0,7,0,1,36,0,5,47,130.56
