,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,3,4,1,0,1,0,0,9,0,2,10,111.11
R Ashwin,2,5,1,0,0,0,2,10,0,1,19,190.0
BW Hilfenhaus,0,2,1,0,0,0,0,3,0,1,4,133.33
RG Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
RJ Harris,1,2,0,0,0,0,0,3,0,1,2,66.67
RP Singh,1,3,0,0,0,0,0,4,0,1,3,75.0
Sandeep Sharma,1,0,3,0,0,0,0,4,0,1,6,150.0
BA Bhatt,2,1,0,0,0,0,0,3,1,1,1,33.33
SJ Srivastava,0,1,0,0,0,0,0,1,0,1,1,100.0
HV Patel,0,1,0,0,0,0,0,1,0,1,1,100.0
MA Starc,6,1,0,0,0,0,0,7,1,2,1,14.29
A Nehra,1,1,0,0,0,0,0,2,0,1,1,50.0
S Sreesanth,5,1,0,0,0,0,0,6,0,1,1,16.67
B Lee,5,0,0,0,0,0,0,5,0,1,0,0.0
VRV Singh,5,1,0,0,0,0,0,6,0,1,1,16.67
B Kumar,2,1,0,1,0,0,0,4,0,2,4,100.0
R Bhatia,3,1,0,0,0,0,0,4,0,1,1,25.0
YS Chahal,2,2,0,0,0,0,0,4,1,1,2,50.0
DW Steyn,3,1,0,0,1,0,0,5,0,1,5,100.0
IK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
SR Watson,0,0,0,0,2,0,0,2,0,1,8,400.0
CJ Jordan,2,2,1,0,0,0,0,5,1,2,4,80.0
J Botha,2,1,0,0,0,0,0,3,0,1,1,33.33
MM Patel,2,0,0,0,0,0,0,2,1,1,0,0.0
MJ McClenaghan,0,1,0,0,0,0,0,1,0,1,1,100.0
JJ Bumrah,0,1,0,0,1,0,0,2,0,1,5,250.0
JA Morkel,0,1,0,0,1,0,0,2,0,1,5,250.0
