,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
PJ Cummins,0,1,0,0,0,0,0,1,0,1,1,100.0
Mohammed Shami,1,0,1,0,0,0,0,2,1,1,2,100.0
R Sharma,1,3,0,0,0,0,0,4,0,2,3,75.0
Yuvraj Singh,6,5,2,0,1,0,0,14,1,2,13,92.86
WD Parnell,0,2,0,0,0,0,0,2,0,1,2,100.0
B Kumar,0,2,0,0,1,0,0,3,0,1,6,200.0
JA Morkel,2,2,0,0,0,0,0,4,0,2,2,50.0
IK Pathan,5,7,0,0,1,0,0,13,0,3,11,84.62
JR Hopes,3,1,2,0,0,0,0,6,1,2,5,83.33
M Morkel,2,2,0,0,0,0,0,4,0,2,2,50.0
MG Johnson,0,0,2,0,0,0,0,2,0,1,4,200.0
AR Patel,1,1,0,0,0,0,0,2,0,1,1,50.0
MM Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
Sandeep Sharma,1,0,0,0,2,0,1,4,1,1,14,350.0
Basil Thampi,0,3,0,0,0,0,0,3,0,1,3,100.0
PJ Sangwan,0,1,1,0,1,0,0,3,0,1,7,233.33
JP Faulkner,0,1,0,0,0,0,1,2,0,1,7,350.0
CH Morris,1,0,1,0,0,0,0,2,1,1,2,100.0
RA Jadeja,5,6,1,0,0,0,0,12,0,2,8,66.67
BW Hilfenhaus,1,4,0,0,1,0,1,7,0,1,14,200.0
DJ Bravo,2,4,0,0,1,0,0,7,0,1,8,114.29
AM Salvi,3,3,2,0,0,0,0,8,0,1,7,87.5
Y Nagar,0,2,0,0,1,0,0,3,0,1,6,200.0
AB Agarkar,1,3,2,0,0,0,0,6,0,1,7,116.67
Kuldeep Yadav,2,1,1,0,0,0,0,4,0,2,3,75.0
UT Yadav,8,5,0,0,1,0,0,14,2,3,9,64.29
CR Woakes,1,2,0,0,0,0,2,5,0,2,14,280.0
C de Grandhomme,0,0,0,0,0,0,1,1,0,1,6,600.0
S Kaul,1,0,0,0,1,0,0,2,1,1,4,200.0
KA Pollard,3,9,0,0,1,0,1,14,0,4,19,135.71
R Sathish,1,2,0,0,0,0,0,3,0,1,2,66.67
Harbhajan Singh,8,11,0,0,1,0,0,20,1,5,15,75.0
AN Ahmed,2,1,1,0,0,0,1,5,0,1,9,180.0
SL Malinga,8,9,2,0,0,0,0,19,0,3,13,68.42
MM Patel,5,6,0,0,1,0,0,12,2,3,10,83.33
S Aravind,2,1,0,0,0,0,0,3,1,1,1,33.33
RJ Harris,0,4,0,0,0,0,0,4,0,2,4,100.0
PC Valthaty,3,1,2,0,1,0,1,8,1,1,15,187.5
R McLaren,0,1,1,0,1,0,1,4,0,1,13,325.0
SB Jakati,1,2,0,0,0,0,0,3,1,1,2,66.67
JJ Bumrah,3,2,2,0,0,0,0,7,0,2,6,85.71
JDP Oram,3,1,0,0,0,0,0,4,0,1,1,25.0
DS Kulkarni,2,2,0,0,0,0,0,4,1,1,2,50.0
P Awana,1,1,2,0,0,0,2,6,0,1,17,283.33
Azhar Mahmood,1,1,0,0,1,0,0,3,1,1,5,166.67
Z Khan,1,0,0,0,0,0,0,1,1,1,0,0.0
Iqbal Abdulla,2,1,0,0,1,0,1,5,1,1,11,220.0
R Bhatia,3,3,0,0,0,0,0,6,1,2,3,50.0
L Balaji,0,2,0,0,0,0,1,3,0,1,8,266.67
JD Unadkat,0,1,0,1,0,0,0,2,0,1,4,200.0
MJ McClenaghan,4,0,0,0,1,0,0,5,0,1,4,80.0
RP Singh,2,2,1,0,0,0,0,5,0,1,4,80.0
NLTC Perera,1,1,0,0,0,0,0,2,1,1,1,50.0
BJ Hodge,0,1,0,0,0,0,0,1,0,1,1,100.0
GB Hogg,1,3,1,0,0,0,1,6,0,1,11,183.33
J Botha,2,6,0,1,1,0,1,11,0,2,19,172.73
SK Trivedi,4,3,0,0,0,0,0,7,1,2,3,42.86
A Singh,2,2,0,0,1,0,1,6,0,2,12,200.0
Pankaj Singh,0,1,0,0,1,0,0,2,0,1,5,250.0
JEC Franklin,1,0,0,0,0,0,0,1,1,1,0,0.0
PP Ojha,4,6,1,0,0,0,1,12,0,1,14,116.67
S Nadeem,1,9,0,0,0,0,0,10,0,1,9,90.0
SK Warne,1,2,0,0,0,0,0,3,0,1,2,66.67
AL Menaria,0,2,0,0,0,0,0,2,0,1,2,100.0
