,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JP Faulkner,2,3,3,0,0,0,0,8,1,4,9,112.5
KK Cooper,3,0,1,0,2,0,1,7,0,1,16,228.57
MR Marsh,0,1,0,0,0,0,0,1,0,1,1,100.0
WD Parnell,1,0,3,0,1,0,0,5,1,1,10,200.0
VRV Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
IK Pathan,2,0,2,0,1,0,0,5,0,2,8,160.0
B Kumar,1,1,0,0,0,0,0,2,1,1,1,50.0
Harmeet Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
M Muralitharan,3,0,0,0,0,0,0,3,0,1,0,0.0
AB Dinda,0,0,0,0,1,0,0,1,0,1,4,400.0
AD Russell,0,1,0,0,0,0,0,1,0,1,1,100.0
RA Jadeja,7,2,1,0,0,0,0,10,1,2,4,40.0
DJ Bravo,3,2,0,0,1,0,0,6,0,1,6,100.0
CH Morris,1,1,0,0,0,0,1,3,1,1,7,233.33
UT Yadav,5,3,0,0,0,0,0,8,1,3,3,37.5
Joginder Sharma,1,1,0,0,0,0,0,2,1,1,1,50.0
AR Patel,1,2,0,0,0,0,0,3,0,1,2,66.67
MG Johnson,2,3,1,0,0,0,0,6,0,1,5,83.33
Sandeep Sharma,2,2,1,0,0,0,0,5,0,1,4,80.0
L Balaji,1,5,0,0,0,0,0,6,1,3,5,83.33
Z Khan,2,1,0,0,1,0,0,4,1,2,5,125.0
SL Malinga,8,2,1,0,0,0,0,11,2,5,4,36.36
MM Patel,1,2,1,0,0,0,0,4,0,2,4,100.0
AN Ahmed,1,2,0,0,0,0,0,3,0,1,2,66.67
RJ Harris,1,1,0,0,0,0,0,2,0,1,1,50.0
DP Nannes,0,2,0,0,1,0,0,3,0,1,6,200.0
AB McDonald,1,1,0,0,0,0,0,2,1,1,1,50.0
R Vinay Kumar,2,3,1,0,2,0,0,8,0,2,13,162.5
KA Pollard,2,2,1,0,1,0,0,6,1,2,8,133.33
F du Plessis,0,2,0,0,0,0,0,2,0,1,2,100.0
CRD Fernando,3,0,0,0,0,0,0,3,1,1,0,0.0
Iqbal Abdulla,0,0,1,0,0,0,0,1,0,1,2,200.0
JD Unadkat,5,2,1,0,1,0,0,9,1,1,8,88.89
P Kumar,2,1,0,0,0,0,0,3,0,1,1,33.33
SR Watson,1,1,0,0,0,0,0,2,0,1,1,50.0
KW Richardson,1,1,0,0,1,0,0,3,0,1,5,166.67
SP Narine,1,0,0,0,0,0,1,2,1,1,6,300.0
M Morkel,2,0,1,0,0,0,0,3,1,1,2,66.67
SK Trivedi,1,1,0,0,0,0,0,2,0,1,1,50.0
STR Binny,0,2,0,0,0,0,0,2,0,1,2,100.0
A Singh,1,0,0,0,1,0,0,2,1,1,4,200.0
