,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
NM Coulter-Nile,5,1,1,0,0,0,1,8,1,2,9,112.5
Z Khan,5,6,0,0,1,0,0,12,1,4,10,83.33
J Yadav,2,4,1,0,0,0,0,7,1,1,6,85.71
JP Duminy,3,4,0,0,1,0,0,8,1,3,8,100.0
A Mishra,3,15,0,0,2,0,1,21,0,6,29,138.1
S Kaul,4,7,0,0,0,0,0,11,0,2,7,63.64
Mohammad Nabi,1,1,0,0,0,0,1,3,1,1,7,233.33
Rashid Khan,7,5,0,0,0,0,0,12,1,2,5,41.67
MC Henriques,3,6,0,0,2,0,1,12,0,2,20,166.67
Harmeet Singh,3,2,0,0,0,0,1,6,0,1,8,133.33
PP Chawla,7,9,2,0,5,0,1,24,0,4,39,162.5
Azhar Mahmood,16,2,2,0,2,0,2,24,2,2,26,108.33
P Kumar,9,2,1,0,4,0,0,16,0,3,20,125.0
DJ Bravo,8,12,0,0,2,0,0,22,1,3,20,90.91
R Ashwin,4,2,1,0,1,0,0,8,1,3,8,100.0
DP Nannes,2,1,0,0,0,0,2,5,0,1,13,260.0
CH Morris,4,7,1,0,2,0,1,15,0,3,23,153.33
SK Raina,6,3,0,0,0,0,0,9,1,2,3,33.33
BA Bhatt,2,0,0,1,0,0,0,3,1,1,3,100.0
DJ Hussey,0,2,0,0,3,0,0,5,0,2,14,280.0
MR Marsh,3,1,0,0,0,0,0,4,2,2,1,25.0
M Muralitharan,4,2,0,0,1,0,0,7,0,2,6,85.71
JA Morkel,5,2,0,0,1,0,0,8,1,2,6,75.0
MM Sharma,7,4,2,0,2,0,1,16,1,3,22,137.5
D Wiese,0,2,0,0,0,0,0,2,0,1,2,100.0
MA Starc,2,1,1,0,0,0,1,5,1,1,9,180.0
GJ Maxwell,2,3,0,0,1,0,2,8,0,2,19,237.5
KJ Abbott,1,1,0,0,1,0,0,3,0,1,5,166.67
R Dhawan,2,2,1,0,0,0,1,6,0,1,10,166.67
AR Patel,3,1,1,0,0,0,0,5,0,1,3,60.0
CK Langeveldt,0,2,0,0,0,0,0,2,0,1,2,100.0
AF Milne,0,2,0,0,0,0,0,2,0,1,2,100.0
YS Chahal,6,1,0,1,2,0,0,10,0,2,12,120.0
Parvez Rasool,3,6,2,0,1,0,0,12,0,2,14,116.67
SR Watson,3,3,3,0,2,0,2,13,1,2,29,223.08
HV Patel,2,1,2,0,0,0,0,5,0,1,5,100.0
GB Hogg,1,0,0,0,0,0,0,1,0,1,0,0.0
J Botha,5,5,0,0,1,0,0,11,0,2,9,81.82
YK Pathan,0,1,0,0,0,0,0,1,0,1,1,100.0
RN ten Doeschate,1,0,0,0,0,0,0,1,0,1,0,0.0
CR Brathwaite,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,4,4,1,0,1,0,0,10,0,3,10,100.0
KA Pollard,0,1,1,0,0,0,0,2,0,1,3,150.0
A Ashish Reddy,1,0,1,0,0,0,0,2,0,1,2,100.0
DW Steyn,7,3,1,0,1,0,1,13,0,2,15,115.38
I Sharma,1,2,1,0,0,0,0,4,0,2,4,100.0
NLTC Perera,2,0,1,0,3,0,1,7,0,1,20,285.71
PV Tambe,6,1,2,0,1,0,2,12,1,2,21,175.0
DJ Hooda,5,3,1,0,0,0,0,9,0,2,5,55.56
JP Faulkner,3,5,0,0,0,0,1,9,0,2,11,122.22
RR Powar,3,3,0,0,0,0,0,6,0,1,3,50.0
RA Jadeja,0,2,0,0,0,0,0,2,0,2,2,100.0
P Negi,1,1,0,0,0,0,1,3,0,1,7,233.33
RG More,1,1,0,0,0,0,0,2,0,1,1,50.0
A Nehra,0,1,0,0,0,0,0,1,0,1,1,100.0
UT Yadav,7,4,2,0,0,0,0,13,2,3,8,61.54
Shakib Al Hasan,4,5,1,0,0,0,1,11,0,1,13,118.18
AD Russell,4,4,1,0,0,0,0,9,0,2,6,66.67
SP Narine,4,4,1,0,2,0,0,11,0,1,14,127.27
M Morkel,0,4,0,0,0,0,1,5,0,1,10,200.0
PP Ojha,4,1,0,0,0,0,0,5,0,2,1,20.0
Harbhajan Singh,1,7,0,0,2,0,0,10,0,3,15,150.0
AN Ahmed,2,0,0,0,0,0,0,2,1,1,0,0.0
KV Sharma,3,1,0,0,1,0,0,5,1,1,5,100.0
S Nadeem,3,3,0,0,1,0,0,7,1,3,7,100.0
R Vinay Kumar,9,6,0,0,3,0,0,18,0,3,18,100.0
RP Singh,7,0,3,0,4,0,1,15,1,2,28,186.67
TG Southee,3,2,1,0,1,0,0,7,1,2,8,114.29
HH Pandya,1,2,0,0,0,0,0,3,0,1,2,66.67
MJ McClenaghan,9,2,1,0,0,0,0,12,1,2,4,33.33
AB McDonald,2,2,0,0,0,0,0,4,0,1,2,50.0
PJ Sangwan,1,3,0,0,1,0,0,5,0,1,7,140.0
SK Trivedi,2,5,1,0,0,0,1,9,0,1,13,144.44
KK Cooper,4,3,1,0,0,0,0,8,1,1,5,62.5
S Sreesanth,9,6,0,0,1,0,1,17,0,2,16,94.12
R Shukla,4,0,1,0,1,0,1,7,0,1,12,171.43
SW Tait,1,1,0,1,2,0,1,6,0,1,18,300.0
DS Kulkarni,5,1,0,0,0,0,0,6,0,1,1,16.67
STR Binny,3,3,1,0,1,0,0,8,0,1,9,112.5
MS Gony,1,2,0,0,1,0,0,4,0,1,6,150.0
P Awana,1,3,1,0,1,0,0,6,0,1,9,150.0
BE Hendricks,2,0,0,0,0,0,0,2,1,1,0,0.0
BJ Hodge,1,2,1,0,0,0,1,5,0,1,10,200.0
M Kartik,2,0,0,0,0,0,0,2,1,1,0,0.0
DT Christian,9,1,1,0,0,0,1,12,1,1,9,75.0
MG Johnson,6,1,0,0,1,0,1,9,1,1,11,122.22
P Parameswaran,5,5,0,0,0,0,0,10,0,1,5,50.0
RV Gomez,3,3,1,0,1,0,0,8,0,1,9,112.5
SN Thakur,2,0,0,0,1,0,0,3,0,1,4,133.33
BA Stokes,1,0,0,0,0,0,0,1,0,1,0,0.0
PJ Cummins,3,4,0,0,3,0,0,10,1,1,16,160.0
AD Mathews,1,3,0,0,0,0,0,4,0,1,3,75.0
S Aravind,1,2,1,0,0,0,0,4,0,1,4,100.0
IK Pathan,4,1,0,0,1,0,0,6,0,1,5,83.33
