,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Sreesanth,6,3,0,0,0,0,0,9,0,2,3,33.33
SJ Srivastava,3,2,0,0,1,0,0,6,0,1,6,100.0
PP Chawla,2,6,0,0,0,0,1,9,0,1,12,133.33
J Theron,5,4,0,0,2,0,0,11,0,1,12,109.09
Yuvraj Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
IK Pathan,1,3,0,0,2,0,0,6,0,1,11,183.33
RP Singh,9,2,2,0,3,0,0,16,1,2,18,112.5
A Symonds,7,4,3,0,1,0,0,15,0,2,14,93.33
WPUJC Vaas,0,2,0,0,0,0,0,2,0,1,2,100.0
PP Ojha,3,4,0,0,3,0,0,10,1,2,16,160.0
L Balaji,1,2,0,0,0,0,0,3,0,1,2,66.67
Iqbal Abdulla,0,1,0,0,0,0,0,1,0,1,1,100.0
LR Shukla,0,3,0,0,0,0,0,3,0,1,3,100.0
M Kartik,0,3,0,0,0,0,0,3,0,1,3,100.0
SE Bond,4,3,0,0,2,0,0,9,1,2,11,122.22
AB Dinda,5,3,0,0,4,0,0,12,0,2,19,158.33
Harmeet Singh,2,1,0,0,1,0,0,4,0,1,5,125.0
DR Smith,2,2,0,0,0,0,0,4,0,1,2,50.0
RJ Harris,0,2,0,0,0,0,0,2,0,1,2,100.0
DE Bollinger,1,1,0,0,0,0,0,2,0,1,1,50.0
SK Raina,0,7,0,0,0,0,0,7,0,2,7,100.0
M Muralitharan,3,2,0,0,0,0,0,5,1,2,2,40.0
MF Maharoof,2,0,0,0,0,0,0,2,1,1,0,0.0
I Sharma,6,2,1,0,1,0,0,10,0,1,8,80.0
T Thushara,1,1,0,0,0,0,0,2,0,1,1,50.0
Joginder Sharma,1,2,1,0,1,0,0,5,0,1,8,160.0
SB Jakati,1,2,0,0,0,0,0,3,1,1,2,66.67
DS Kulkarni,4,3,0,0,1,0,0,8,0,1,7,87.5
Z Khan,2,1,0,0,0,0,0,3,0,1,1,33.33
SL Malinga,2,2,0,0,0,0,0,4,0,1,2,50.0
Harbhajan Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
