,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Sreesanth,14,6,5,0,7,0,1,33,0,4,50,151.52
IK Pathan,28,10,4,0,12,0,1,55,1,9,72,130.91
VRV Singh,1,3,1,0,1,0,0,6,1,3,9,150.0
RR Powar,5,1,2,2,3,0,0,13,1,3,23,176.92
STR Binny,3,6,1,1,2,0,0,13,0,3,19,146.15
KW Richardson,2,2,0,0,1,0,0,5,0,1,6,120.0
JP Faulkner,10,6,1,0,4,0,0,21,1,4,24,114.29
Iqbal Abdulla,1,8,1,0,4,0,0,14,0,3,26,185.71
SR Watson,34,22,5,0,7,0,0,68,3,10,60,88.24
R Bhatia,3,10,2,0,1,0,1,17,1,2,24,141.18
PV Tambe,6,9,2,0,1,0,0,18,0,2,17,94.44
MA Starc,5,1,0,0,2,0,0,8,2,3,9,112.5
B Kumar,28,31,3,1,11,0,0,74,0,14,84,113.51
DW Steyn,35,16,5,1,10,0,0,67,1,9,69,102.99
P Kumar,23,22,6,0,12,0,1,64,2,13,88,137.5
P Awana,2,11,1,0,2,0,0,16,0,4,21,131.25
MG Johnson,19,10,0,1,7,0,1,38,3,9,47,123.68
Azhar Mahmood,2,1,0,0,1,0,0,4,1,2,5,125.0
S Narwal,4,1,2,0,1,0,0,8,1,1,9,112.5
SW Tait,14,7,0,0,1,0,0,22,0,4,11,50.0
SK Warne,5,24,3,0,5,0,0,37,0,5,50,135.14
SK Trivedi,12,19,1,0,3,0,0,35,2,6,33,94.29
YK Pathan,4,9,1,0,1,0,0,15,0,2,15,100.0
TG Southee,12,8,2,1,7,0,0,30,0,4,43,143.33
R Tewatia,3,5,0,0,1,0,0,9,1,2,9,100.0
DP Nannes,1,1,0,0,1,0,0,3,0,1,5,166.67
MM Sharma,14,13,0,0,5,0,1,33,1,8,39,118.18
CH Morris,14,11,1,0,3,0,0,29,3,5,25,86.21
SK Raina,10,16,1,0,2,0,0,29,0,5,26,89.66
R Ashwin,22,17,3,0,5,0,0,47,2,6,43,91.49
MM Patel,19,9,0,0,7,0,1,36,2,6,43,119.44
D Salunkhe,0,3,0,0,0,0,0,3,0,1,3,100.0
AD Mascarenhas,11,10,3,1,3,0,0,28,3,5,31,110.71
Z Khan,37,24,6,1,16,0,1,85,6,12,109,128.24
JA Morkel,32,24,5,0,16,0,0,77,0,9,98,127.27
JP Duminy,1,10,1,0,2,0,1,15,0,5,26,173.33
MJ McClenaghan,13,13,3,0,5,0,0,34,1,4,39,114.71
JJ Bumrah,14,7,2,0,4,0,0,27,1,6,27,100.0
Harbhajan Singh,29,34,6,0,8,0,1,78,4,12,84,107.69
HH Pandya,3,5,1,0,1,0,0,10,1,2,11,110.0
KH Pandya,2,3,2,0,1,0,1,9,1,2,17,188.89
BA Bhatt,7,11,4,0,4,0,0,26,0,3,35,134.62
DJ Hussey,2,5,0,0,3,0,0,10,0,2,17,170.0
RJ Harris,7,2,0,0,0,0,0,9,1,2,2,22.22
PP Chawla,13,23,3,0,6,0,0,45,0,5,53,117.78
Bipul Sharma,1,8,0,0,0,0,0,9,0,3,8,88.89
PC Valthaty,1,3,0,0,1,0,0,5,0,1,7,140.0
JH Kallis,9,12,2,0,3,0,0,26,1,4,28,107.69
B Akhil,3,3,2,0,2,0,0,10,0,2,15,150.0
Sandeep Sharma,25,13,3,0,6,0,0,47,2,7,43,91.49
BE Hendricks,1,1,0,0,1,0,0,3,0,1,5,166.67
Anureet Singh,5,1,0,0,2,0,0,8,0,2,9,112.5
AR Patel,15,22,3,0,2,0,0,42,0,6,36,85.71
Gurkeerat Singh,3,4,0,0,0,0,0,7,1,2,4,57.14
GJ Maxwell,5,10,4,0,6,0,0,25,0,6,42,168.0
Shoaib Akhtar,2,1,0,0,0,0,0,3,1,1,1,33.33
I Sharma,28,5,4,0,11,0,0,48,0,5,57,118.75
A Singh,9,5,3,0,6,0,0,23,1,5,35,152.17
ND Doshi,0,4,0,0,0,0,1,5,0,1,10,200.0
J Botha,8,6,1,0,4,0,0,19,1,3,24,126.32
BA Stokes,6,1,1,0,2,0,0,10,0,1,11,110.0
JD Unadkat,5,10,2,0,1,0,1,19,0,4,24,126.32
Washington Sundar,9,2,3,0,3,0,1,18,1,2,26,144.44
NLTC Perera,5,10,0,0,0,0,0,15,0,4,10,66.67
RP Singh,15,8,3,0,5,0,3,34,2,7,52,152.94
WPUJC Vaas,6,8,0,0,1,0,1,16,0,3,18,112.5
A Symonds,6,4,1,0,0,0,0,11,0,2,6,54.55
PP Ojha,15,18,6,1,4,0,1,45,5,8,55,122.22
M Ntini,2,4,0,0,2,0,0,8,0,1,12,150.0
MS Gony,12,13,3,0,7,0,1,36,2,4,53,147.22
Joginder Sharma,1,3,1,0,0,0,1,6,0,1,11,183.33
M Muralitharan,13,21,3,0,6,0,0,43,0,4,51,118.6
P Negi,0,5,1,0,0,0,0,6,0,1,7,116.67
A Choudhary,1,2,0,0,0,0,0,3,0,1,2,66.67
S Badree,1,2,0,0,0,0,0,3,0,1,2,66.67
YS Chahal,4,7,3,0,3,0,0,17,2,4,25,147.06
TM Head,0,2,0,0,0,0,0,2,0,1,2,100.0
R Dhawan,0,8,2,0,1,0,0,11,0,1,16,145.45
IC Pandey,11,2,1,0,4,0,0,18,3,4,20,111.11
B Lee,4,5,0,0,0,0,0,9,0,2,5,55.56
CK Langeveldt,3,2,0,0,0,0,0,5,1,2,2,40.0
S Aravind,12,7,0,0,5,0,0,24,3,5,27,112.5
Mohammed Shami,9,9,1,0,0,0,0,19,0,3,11,57.89
NM Coulter-Nile,11,8,0,0,2,0,0,21,1,3,16,76.19
Harmeet Singh,1,1,1,0,2,0,1,6,0,1,17,283.33
SM Pollock,4,2,0,0,0,0,0,6,0,2,2,33.33
A Nehra,14,11,1,0,2,0,1,29,1,5,27,93.1
KJ Abbott,3,4,0,0,1,0,0,8,0,1,8,100.0
P Sahu,6,4,1,0,0,0,0,11,1,1,6,54.55
SL Malinga,19,19,2,0,4,0,0,44,2,11,39,88.64
DS Kulkarni,14,13,1,0,7,0,0,35,0,7,43,122.86
RA Shaikh,1,1,0,0,1,0,0,3,0,1,5,166.67
AM Nayar,3,1,1,0,2,0,0,7,0,1,11,157.14
ST Jayasuriya,1,2,0,0,0,0,0,3,0,1,2,66.67
BB Sran,12,5,2,0,5,0,0,24,0,3,29,120.83
KS Williamson,1,2,0,0,0,0,0,3,0,1,2,66.67
DJ Hooda,4,3,1,0,0,0,1,9,1,2,11,122.22
KV Sharma,14,11,3,0,6,0,1,35,2,6,47,134.29
SB Jakati,9,13,6,1,4,0,2,35,1,4,56,160.0
BW Hilfenhaus,8,4,2,0,0,0,1,15,1,4,14,93.33
RA Jadeja,4,11,2,0,1,0,2,20,0,3,31,155.0
DJ Bravo,7,10,1,0,5,0,0,23,1,4,32,139.13
MJ Henry,1,1,0,0,0,0,0,2,0,1,1,50.0
Swapnil Singh,2,6,1,0,0,0,1,10,0,2,14,140.0
AA Chavan,2,3,1,0,0,0,0,6,0,1,5,83.33
R Vinay Kumar,30,22,4,0,8,0,0,64,2,9,62,96.88
HV Patel,9,12,3,0,2,0,3,29,0,4,44,151.72
DL Vettori,5,11,0,0,1,0,1,18,0,3,21,116.67
V Kohli,0,5,2,0,1,0,0,8,0,3,13,162.5
S Tyagi,2,2,0,0,0,0,0,4,1,1,2,50.0
P Amarnath,0,4,0,0,5,0,0,9,0,1,24,266.67
L Balaji,10,10,1,0,2,0,0,23,2,4,20,86.96
CK Kapugedera,0,1,0,0,1,0,0,2,0,1,5,250.0
S Kaushik,5,3,0,0,5,0,0,13,0,1,23,176.92
AC Thomas,2,6,1,0,0,0,0,9,0,1,8,88.89
WD Parnell,24,17,1,0,5,0,0,47,2,6,39,82.98
R Sharma,3,5,0,0,2,0,0,10,0,1,13,130.0
Yuvraj Singh,8,6,1,0,2,0,0,17,0,2,16,94.12
S Rana,2,1,0,0,0,0,0,3,0,1,1,33.33
GH Vihari,1,0,1,0,1,0,0,3,0,1,6,200.0
A Mishra,14,20,1,0,8,0,0,43,1,8,54,125.58
A Ashish Reddy,2,5,0,0,3,0,0,10,1,2,17,170.0
A Mithun,4,2,0,0,3,0,0,9,0,2,14,155.56
VR Aaron,18,14,2,0,5,0,1,40,1,6,44,110.0
D Wiese,2,1,0,0,1,0,0,4,1,1,5,125.0
J Suchith,2,6,3,0,1,0,1,13,1,2,22,169.23
A Nel,1,1,0,0,1,0,1,4,1,1,11,275.0
DJ Muthuswami,7,1,0,0,3,0,0,11,0,1,13,118.18
AD Mathews,10,16,5,0,7,0,1,39,0,4,60,153.85
Imran Tahir,4,14,2,0,1,0,1,22,1,2,28,127.27
AG Murtaza,0,3,1,0,1,0,0,5,0,1,9,180.0
JO Holder,1,0,1,0,1,0,1,4,1,1,12,300.0
AN Ahmed,3,5,0,0,1,0,1,10,1,2,15,150.0
PJ Cummins,5,5,0,0,3,0,0,13,0,2,17,130.77
DP Vijaykumar,4,3,1,1,1,0,0,10,0,1,12,120.0
PM Sarvesh Kumar,5,5,1,0,3,0,0,14,0,1,19,135.71
SB Styris,4,5,2,0,1,0,0,12,0,1,13,108.33
Y Venugopal Rao,0,3,1,0,1,0,0,5,0,1,9,180.0
Shahid Afridi,0,1,1,0,0,0,1,3,0,1,9,300.0
Anand Rajan,7,3,4,0,0,0,0,14,1,2,11,78.57
DJG Sammy,3,3,0,0,1,0,0,7,0,2,7,100.0
TS Mills,7,1,1,0,0,0,1,10,1,1,9,90.0
LR Shukla,1,2,1,0,0,0,1,5,0,1,10,200.0
S Kaul,6,6,1,0,4,0,1,18,1,3,30,166.67
S Nadeem,7,11,3,0,4,0,1,26,0,3,39,150.0
Ankit Sharma,1,1,0,0,0,0,0,2,0,1,1,50.0
V Pratap Singh,7,1,0,0,3,0,0,11,0,1,13,118.18
CL White,2,3,0,0,0,0,0,5,0,1,3,60.0
MP Stoinis,4,7,0,0,3,0,0,14,0,2,19,135.71
UT Yadav,6,7,1,0,4,0,1,19,0,4,31,163.16
AD Russell,0,1,0,0,0,0,0,1,0,1,1,100.0
MC Henriques,11,13,6,0,7,0,0,37,1,6,53,143.24
Kamran Khan,0,1,1,0,1,0,0,3,0,1,7,233.33
SB Joshi,0,2,0,0,1,0,1,4,0,1,12,300.0
CR Brathwaite,6,2,0,0,1,0,0,9,0,1,6,66.67
CJ Jordan,0,6,2,0,0,0,1,9,0,2,16,177.78
Rashid Khan,7,3,2,0,0,0,0,12,1,2,7,58.33
VY Mahesh,0,3,0,0,1,0,0,4,0,1,7,175.0
KA Pollard,6,3,1,0,0,0,0,10,1,2,5,50.0
Mustafizur Rahman,6,7,1,0,1,0,1,16,0,2,19,118.75
YA Abdulla,5,3,0,0,1,0,1,10,0,1,13,130.0
KP Appanna,5,3,2,0,2,0,1,13,0,1,21,161.54
TM Dilshan,4,5,0,0,2,0,0,11,0,2,13,118.18
R Shukla,2,2,1,0,0,0,0,5,0,1,4,80.0
KK Cooper,1,2,0,0,0,0,0,3,0,1,2,66.67
DB Ravi Teja,1,2,1,0,1,0,0,5,0,1,8,160.0
DT Christian,8,8,0,0,3,0,1,20,1,3,26,130.0
M Morkel,6,7,1,1,4,0,0,19,1,3,28,147.37
SN Thakur,1,3,0,0,0,0,0,4,0,1,3,75.0
RA Tripathi,0,2,0,0,1,0,0,3,0,1,6,200.0
Mohammed Siraj,2,1,1,0,0,0,0,4,0,1,3,75.0
Basil Thampi,0,1,0,0,0,0,0,1,0,1,1,100.0
DR Smith,2,5,0,0,1,0,0,8,0,1,9,112.5
K Rabada,4,4,0,0,1,0,0,9,0,1,8,88.89
CJ Anderson,3,6,1,0,4,0,0,14,0,2,24,171.43
L Ablish,2,0,1,0,2,0,0,5,0,1,10,200.0
DE Bollinger,6,5,1,1,1,0,0,14,0,2,14,100.0
BCJ Cutting,6,3,1,0,1,0,0,11,1,2,9,81.82
FH Edwards,4,2,0,0,1,0,0,7,0,1,6,85.71
Shoaib Ahmed,3,0,0,0,2,0,0,5,1,1,8,160.0
VS Malik,1,1,0,0,0,0,0,2,0,1,1,50.0
S Dhawan,1,2,0,0,0,0,0,3,0,1,2,66.67
AB Dinda,5,3,3,0,4,0,2,17,0,3,37,217.65
BJ Hodge,7,4,1,0,0,0,0,12,0,2,6,50.0
AB Agarkar,8,12,1,0,1,0,0,22,0,4,18,81.82
M Kartik,8,11,1,0,1,0,0,21,1,2,17,80.95
T Shamsi,0,2,0,0,1,0,1,4,0,1,12,300.0
Sohail Tanvir,3,4,0,0,1,0,0,8,0,1,8,100.0
R Rampaul,2,0,0,0,0,0,0,2,0,1,0,0.0
MJ Clarke,1,3,0,0,1,0,0,5,0,1,7,140.0
Karanveer Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
Pankaj Singh,4,4,0,0,0,0,0,8,1,1,4,50.0
SA Abbott,1,3,0,0,1,0,1,6,0,1,13,216.67
RV Gomez,1,0,0,0,0,0,0,1,1,1,0,0.0
JR Hopes,3,1,1,0,0,0,0,5,1,1,3,60.0
SS Sarkar,0,2,0,0,2,0,0,4,0,1,10,250.0
BAW Mendis,0,4,1,0,0,0,0,5,0,1,6,120.0
SC Ganguly,0,3,0,0,0,0,0,3,0,1,3,100.0
K Upadhyay,1,1,0,1,2,0,0,5,0,1,12,240.0
Parvez Rasool,4,3,0,0,2,0,0,9,0,1,11,122.22
MR Marsh,2,2,0,0,0,0,0,4,1,1,2,50.0
CH Gayle,3,3,0,0,0,0,0,6,0,1,3,50.0
J Syed Mohammad,0,4,0,0,1,0,0,5,0,1,8,160.0
