,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
GD McGrath,17,2,1,0,3,0,0,23,0,2,16,69.57
Mohammad Asif,2,1,0,0,1,0,0,4,0,1,5,125.0
MF Maharoof,9,4,1,0,3,0,0,17,1,3,18,105.88
M Ntini,11,5,0,0,4,0,0,20,0,2,21,105.0
MS Gony,4,7,2,0,3,0,0,16,0,2,23,143.75
JA Morkel,11,7,1,0,3,0,0,22,1,4,21,95.45
M Muralitharan,20,14,4,0,2,0,1,41,1,4,36,87.8
SK Raina,4,10,1,0,0,0,1,16,1,3,18,112.5
S Vidyut,1,2,0,0,0,0,0,3,0,1,2,66.67
P Kumar,25,8,0,0,2,0,0,35,2,5,16,45.71
Z Khan,13,9,4,0,9,0,0,35,0,3,53,151.43
R Vinay Kumar,5,5,0,0,3,0,0,13,0,2,17,130.77
A Kumble,3,9,0,0,0,0,1,13,0,2,15,115.38
JH Kallis,9,9,0,0,2,0,0,20,1,3,17,85.0
SB Joshi,4,2,0,0,3,0,0,9,1,1,14,155.56
R McLaren,1,3,1,0,1,0,0,6,0,1,9,150.0
SL Malinga,4,2,1,0,1,0,0,8,0,2,8,100.0
AG Murtaza,2,0,0,0,0,0,0,2,0,1,0,0.0
R Sathish,1,0,0,0,0,0,0,1,1,1,0,0.0
L Balaji,1,5,0,0,3,0,2,11,0,2,29,263.64
RP Singh,14,4,1,0,3,0,0,22,1,4,18,81.82
WPUJC Vaas,4,3,1,0,3,0,0,11,1,2,17,154.55
D du Preez,2,1,0,0,2,0,0,5,0,1,9,180.0
A Nehra,11,4,1,0,1,0,0,17,0,3,10,58.82
DP Nannes,11,2,1,0,3,0,0,17,1,3,16,94.12
Abdur Razzak,3,1,0,0,3,0,1,8,0,1,19,237.5
V Kohli,1,4,1,0,0,0,0,6,0,1,6,100.0
DS Kulkarni,3,2,0,0,2,0,0,7,0,1,10,142.86
DJ Bravo,0,2,0,0,0,0,0,2,0,1,2,100.0
JP Duminy,3,1,0,0,0,0,0,4,0,1,1,25.0
Harbhajan Singh,6,1,0,0,0,0,0,7,1,2,1,14.29
S Tyagi,2,4,0,0,0,0,0,6,0,2,4,66.67
PJ Sangwan,8,12,1,0,2,0,0,23,1,3,22,95.65
AB Dinda,12,5,1,0,3,0,0,21,1,3,19,90.48
I Sharma,6,4,0,0,2,0,0,12,1,2,12,100.0
SM Pollock,4,2,0,0,0,0,0,6,1,1,2,33.33
JDP Oram,2,0,1,0,0,0,0,3,0,1,2,66.67
SB Jakati,1,2,1,0,0,0,0,4,0,1,4,100.0
S Sreesanth,9,4,4,0,3,0,0,20,0,2,24,120.0
RA Jadeja,1,0,1,0,0,0,0,2,1,1,2,100.0
IK Pathan,9,1,1,0,2,0,0,13,1,3,11,84.62
YA Abdulla,1,2,1,0,4,0,0,8,0,1,20,250.0
PP Chawla,3,3,0,0,2,0,0,8,0,1,11,137.5
Yuvraj Singh,0,3,0,0,0,0,0,3,0,1,3,100.0
RR Powar,6,4,0,0,1,0,1,12,1,2,14,116.67
K Goel,1,2,0,0,1,0,0,4,0,1,6,150.0
AB Agarkar,1,1,0,0,1,0,0,3,0,1,5,166.67
Umar Gul,3,0,0,0,0,0,0,3,1,1,0,0.0
VY Mahesh,1,0,0,0,0,0,0,1,0,1,0,0.0
A Mishra,6,6,1,0,3,0,0,16,1,2,20,125.0
PP Ojha,3,8,0,0,3,0,0,14,0,2,20,142.86
D Kalyankrishna,1,5,0,0,1,0,1,8,0,1,15,187.5
Shahid Afridi,11,7,2,0,2,0,1,23,1,2,25,108.7
A Symonds,1,2,0,0,0,0,0,3,0,1,2,66.67
MM Patel,4,1,0,0,1,0,0,6,1,1,5,83.33
DP Vijaykumar,2,1,0,0,2,0,0,5,0,1,9,180.0
SB Styris,2,3,1,0,0,0,0,6,0,1,5,83.33
SB Bangar,0,3,0,0,0,0,0,3,0,1,3,100.0
Y Venugopal Rao,0,2,1,0,0,0,0,3,0,1,4,133.33
TM Dilshan,1,2,0,0,0,0,0,3,0,1,2,66.67
DL Vettori,0,3,1,0,0,0,0,4,0,1,5,125.0
FH Edwards,2,0,0,0,0,0,0,2,1,1,0,0.0
DW Steyn,0,1,0,0,0,0,0,1,0,1,1,100.0
