,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JP Faulkner,9,4,0,0,0,0,0,13,0,3,4,30.77
A Chandila,0,1,0,0,0,0,0,1,0,1,1,100.0
SR Watson,6,4,0,0,0,0,0,10,0,2,4,40.0
KK Cooper,1,2,0,0,0,0,0,3,1,2,2,66.67
Iqbal Abdulla,3,4,0,0,0,0,0,7,1,1,4,57.14
Mohammed Shami,6,1,0,0,0,0,0,7,0,1,1,14.29
SP Narine,1,1,0,0,0,0,0,2,0,1,1,50.0
PV Tambe,4,3,1,0,0,0,0,8,0,1,5,62.5
STR Binny,0,1,1,0,0,0,0,2,0,1,3,150.0
SK Trivedi,3,1,2,0,0,0,0,6,1,1,5,83.33
RP Singh,0,2,1,0,0,0,0,3,0,1,4,133.33
AB Dinda,2,2,0,0,1,0,0,5,0,2,6,120.0
B Kumar,11,1,1,0,0,0,0,13,2,2,3,23.08
RN ten Doeschate,2,1,0,0,0,0,0,3,0,1,1,33.33
PP Chawla,8,6,1,0,3,0,0,18,2,2,20,111.11
GB Hogg,2,2,0,0,0,0,0,4,0,1,2,50.0
R Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Sharma,4,2,1,0,0,0,0,7,0,3,4,57.14
SK Raina,2,1,0,0,0,0,0,3,1,1,1,33.33
S Nadeem,6,5,0,0,0,0,1,12,0,1,11,91.67
J Botha,4,3,1,0,0,0,0,8,0,2,5,62.5
M Morkel,4,1,1,0,0,0,0,6,1,1,3,50.0
DJ Bravo,1,2,0,0,1,0,0,4,1,1,6,150.0
P Kumar,5,3,1,1,0,0,0,10,0,1,8,80.0
AD Mascarenhas,2,7,2,0,1,0,0,12,0,1,15,125.0
Azhar Mahmood,1,1,0,0,1,0,0,3,0,1,5,166.67
MS Gony,1,1,0,0,0,0,0,2,0,1,1,50.0
VS Malik,3,0,0,0,0,0,0,3,1,1,0,0.0
PP Ojha,3,12,1,0,1,0,0,17,0,2,18,105.88
RG Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
DR Smith,0,2,0,0,1,0,0,3,0,1,6,200.0
SL Malinga,6,7,1,0,2,0,0,16,2,3,17,106.25
MG Johnson,7,4,0,0,2,0,0,13,0,3,12,92.31
Harbhajan Singh,2,4,1,0,0,0,0,7,0,2,6,85.71
DS Kulkarni,4,2,0,0,1,0,0,7,1,2,6,85.71
JO Holder,0,1,0,0,0,0,0,1,0,1,1,100.0
BMAJ Mendis,1,1,0,0,0,0,0,2,0,1,1,50.0
UT Yadav,4,0,0,0,2,0,0,6,0,1,8,133.33
JH Kallis,0,1,0,0,0,0,0,1,0,1,1,100.0
R Bhatia,1,0,0,0,0,0,0,1,1,1,0,0.0
MN Samuels,1,1,1,0,0,0,0,3,0,1,3,100.0
KA Pollard,0,2,1,0,0,0,0,3,0,1,4,133.33
Harmeet Singh,3,1,0,0,0,0,0,4,0,1,1,25.0
Sandeep Sharma,2,0,0,0,1,0,0,3,1,1,4,133.33
R Vinay Kumar,5,6,2,0,3,0,0,16,0,2,22,137.5
MJ McClenaghan,0,2,0,0,0,0,0,2,0,1,2,100.0
Anureet Singh,2,1,0,0,2,0,0,5,1,1,9,180.0
MC Henriques,3,2,1,0,0,0,0,6,0,1,4,66.67
M Kartik,3,7,1,0,0,0,0,11,0,1,9,81.82
M Muralitharan,3,7,0,0,1,0,0,11,0,1,11,100.0
TM Dilshan,0,2,0,0,0,0,0,2,0,1,2,100.0
JD Unadkat,1,3,1,0,0,0,0,5,0,1,5,100.0
