,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KA Pollard,2,5,0,0,1,0,0,8,0,3,9,112.5
Harbhajan Singh,5,6,2,0,0,0,0,13,1,3,10,76.92
SL Malinga,2,9,2,0,2,0,1,16,0,2,27,168.75
MJ McClenaghan,0,3,1,0,0,0,0,4,0,1,5,125.0
JP Duminy,0,4,1,0,0,0,0,5,0,2,6,120.0
Imran Tahir,4,5,2,0,0,0,0,11,2,3,9,81.82
A Mishra,4,7,1,0,1,0,1,14,1,5,19,135.71
JD Unadkat,0,2,0,0,0,0,0,2,0,1,2,100.0
AB Dinda,7,4,1,0,3,0,0,15,0,2,18,120.0
Anureet Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
AB Agarkar,2,0,0,0,1,0,0,3,0,1,4,133.33
M Kartik,2,3,0,0,0,0,0,5,0,1,3,60.0
BJ Hodge,0,3,0,0,0,0,0,3,0,1,3,100.0
BAW Mendis,0,3,1,0,0,0,0,4,0,1,5,125.0
DJ Hussey,1,0,0,0,0,0,0,1,0,1,0,0.0
Sandeep Sharma,2,0,0,0,0,0,0,2,0,1,0,0.0
MM Sharma,3,2,2,0,6,0,2,15,0,3,42,280.0
AR Patel,3,1,0,0,0,0,0,4,1,1,1,25.0
M Morkel,7,3,0,0,1,0,1,12,0,3,13,108.33
SP Narine,8,9,3,0,1,0,1,22,1,5,25,113.64
A Nehra,9,5,0,0,1,0,0,15,2,5,9,60.0
RA Jadeja,1,1,1,0,0,0,0,3,1,2,3,100.0
J Suchith,0,3,3,0,0,0,1,7,0,1,15,214.29
R Vinay Kumar,2,2,2,0,1,0,1,8,1,2,16,200.0
P Suyal,1,2,0,0,2,0,0,5,0,1,10,200.0
R Tewatia,1,0,0,0,0,0,0,1,0,1,0,0.0
PV Tambe,3,5,1,0,0,0,0,9,0,2,7,77.78
KK Cooper,2,3,1,0,0,0,0,6,0,1,5,83.33
JP Faulkner,1,4,3,0,2,0,2,12,1,2,30,250.0
S Aravind,1,1,0,0,0,0,0,2,1,1,1,50.0
YS Chahal,6,5,0,0,0,0,0,11,1,4,5,45.45
DW Steyn,5,5,1,0,2,0,2,15,0,3,27,180.0
B Kumar,8,6,0,0,1,0,1,16,1,4,16,100.0
S Gopal,1,2,1,0,0,0,0,4,0,1,4,100.0
PP Ojha,5,2,1,0,0,0,0,8,0,1,4,50.0
JJ Bumrah,4,3,2,0,1,0,1,11,1,1,17,154.55
K Santokie,2,1,1,0,1,0,1,6,0,1,13,216.67
P Kumar,5,3,0,0,3,0,0,11,0,3,15,136.36
AD Russell,4,5,1,0,2,0,0,12,0,2,15,125.0
PP Chawla,11,18,2,1,0,0,1,33,2,5,31,93.94
UT Yadav,3,7,1,0,4,0,0,15,1,4,25,166.67
TA Boult,1,2,0,0,0,0,0,3,0,2,2,66.67
KV Sharma,5,5,1,0,0,0,0,11,0,3,7,63.64
MC Henriques,8,9,1,0,1,0,0,19,3,3,15,78.95
P Negi,0,1,1,0,1,0,0,3,0,1,7,233.33
IC Pandey,2,2,0,0,1,0,0,5,0,2,6,120.0
BW Hilfenhaus,1,0,0,0,4,0,0,5,0,1,16,320.0
BB Sran,2,3,0,0,1,0,0,6,0,1,7,116.67
Yuvraj Singh,2,6,0,0,0,0,1,9,0,2,12,133.33
Mustafizur Rahman,2,1,0,0,0,0,0,3,0,1,1,33.33
CJ Anderson,0,2,0,0,1,0,0,3,0,1,6,200.0
Z Khan,7,2,0,0,2,0,0,11,0,3,10,90.91
B Lee,4,2,0,0,2,0,0,8,0,1,10,125.0
IK Pathan,3,3,0,0,1,0,0,7,0,2,7,100.0
RR Powar,1,0,0,0,0,0,0,1,0,1,0,0.0
DR Smith,0,1,0,0,0,0,0,1,0,1,1,100.0
Shakib Al Hasan,6,8,0,0,1,0,2,17,0,2,24,141.18
MA Starc,1,1,0,0,0,0,0,2,0,1,1,50.0
VR Aaron,0,2,0,0,1,0,0,3,0,1,6,200.0
JA Morkel,3,0,0,0,0,0,0,3,1,1,0,0.0
HV Patel,0,2,1,0,0,0,0,3,0,1,4,133.33
D Wiese,0,1,1,0,1,0,0,3,0,1,7,233.33
DS Kulkarni,2,0,0,0,1,0,0,3,0,1,4,133.33
CH Morris,8,1,1,0,1,0,0,11,0,2,7,63.64
TG Southee,2,1,0,0,0,0,0,3,0,1,1,33.33
AS Rajpoot,1,4,1,0,1,0,0,7,0,1,10,142.86
NM Coulter-Nile,7,4,0,0,2,0,0,13,0,2,12,92.31
Mohammed Shami,1,0,0,0,0,0,0,1,0,1,0,0.0
A Kumble,8,4,0,0,0,0,0,12,0,1,4,33.33
JH Kallis,1,2,0,0,1,0,0,4,0,1,6,150.0
SR Watson,2,0,0,0,0,0,0,2,1,1,0,0.0
