,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
B Kumar,10,3,1,0,2,0,0,16,1,3,13,81.25
BB Sran,3,0,0,0,1,0,0,4,0,1,4,100.0
SP Narine,15,14,2,0,3,0,0,34,2,8,30,88.24
PP Chawla,9,11,3,0,4,0,3,30,3,6,51,170.0
AD Russell,6,4,1,0,0,0,2,13,0,2,18,138.46
GB Hogg,2,3,1,0,4,0,3,13,0,2,39,300.0
UT Yadav,11,5,2,0,2,0,0,20,3,5,17,85.0
MJ McClenaghan,4,5,1,0,3,0,3,16,1,5,37,231.25
SL Malinga,6,7,1,0,1,0,1,16,0,4,19,118.75
R Vinay Kumar,0,0,0,0,1,0,0,1,0,1,4,400.0
J Suchith,2,1,0,0,2,0,0,5,2,2,9,180.0
A Mishra,13,7,4,0,1,0,6,31,4,5,55,177.42
NLTC Perera,2,1,2,0,1,0,0,6,0,1,9,150.0
M Ashwin,0,2,0,0,1,0,1,4,0,1,12,300.0
R Ashwin,16,9,3,0,8,0,6,42,1,5,83,197.62
Imran Tahir,8,5,3,0,0,0,5,21,2,3,41,195.24
JP Duminy,0,3,0,0,0,0,0,3,0,1,3,100.0
R Tewatia,3,0,0,0,0,0,0,3,1,1,0,0.0
PV Tambe,7,6,0,0,0,0,1,14,0,2,12,85.71
CH Morris,1,2,0,0,0,0,0,3,1,2,2,66.67
CR Woakes,4,4,0,0,1,0,0,9,0,2,8,88.89
C de Grandhomme,3,4,2,0,0,0,2,11,0,2,20,181.82
AS Rajpoot,2,1,0,0,1,0,0,4,0,1,5,125.0
Kuldeep Yadav,1,2,0,0,0,0,2,5,1,1,14,280.0
AJ Tye,0,2,0,0,0,0,0,2,0,1,2,100.0
SS Agarwal,4,3,0,0,0,0,2,9,0,1,15,166.67
Basil Thampi,0,5,0,0,0,0,1,6,0,2,11,183.33
RA Jadeja,8,8,2,0,4,0,0,22,2,5,28,127.27
S Kaushik,1,0,0,0,0,0,0,1,1,1,0,0.0
KH Pandya,3,2,2,0,0,0,0,7,0,2,6,85.71
JJ Bumrah,9,7,1,0,4,0,0,21,3,4,25,119.05
M Morkel,7,4,0,0,3,0,1,15,1,4,22,146.67
Shakib Al Hasan,3,4,0,0,0,0,1,8,0,2,10,125.0
AA Chavan,5,2,1,0,0,0,2,10,0,1,16,160.0
JP Faulkner,7,5,2,0,0,0,3,17,1,4,27,158.82
SR Watson,3,1,0,0,1,0,0,5,1,2,5,100.0
Harbhajan Singh,6,11,1,0,4,0,4,26,1,4,53,203.85
TG Southee,3,3,1,0,1,0,1,9,0,1,15,166.67
KA Pollard,2,4,3,0,2,0,0,11,0,2,18,163.64
HV Patel,4,2,0,0,2,0,0,8,1,3,10,125.0
S Aravind,2,2,1,0,0,0,0,5,1,2,4,80.0
KV Sharma,6,9,2,0,2,0,9,28,0,3,75,267.86
DJG Sammy,4,1,1,0,1,0,1,8,0,1,13,162.5
IK Pathan,1,1,0,0,1,0,1,4,0,1,11,275.0
DW Steyn,4,3,0,0,1,0,0,8,0,2,7,87.5
K Santokie,1,0,1,0,0,0,0,2,0,1,2,100.0
S Gopal,1,0,0,0,0,0,0,1,1,1,0,0.0
Mohammed Shami,1,0,0,0,0,0,0,1,0,1,0,0.0
JD Unadkat,2,0,0,0,0,0,0,2,1,1,0,0.0
BAW Mendis,0,2,0,0,0,0,0,2,0,1,2,100.0
AB Dinda,2,2,0,0,1,0,1,6,0,2,12,200.0
DS Kulkarni,4,2,0,0,5,0,0,11,0,2,22,200.0
KW Richardson,2,3,0,0,1,0,1,7,1,1,13,185.71
R Bhatia,6,5,2,0,4,0,2,19,0,3,37,194.74
A Nehra,8,0,1,0,2,0,0,11,0,3,10,90.91
IC Pandey,3,3,1,0,2,0,1,10,0,2,19,190.0
BW Hilfenhaus,0,1,0,0,0,0,0,1,0,1,1,100.0
DR Smith,3,7,0,0,3,0,4,17,1,2,43,252.94
MM Sharma,4,0,0,0,3,0,0,7,1,2,12,171.43
JH Kallis,4,7,1,0,2,0,0,14,0,3,17,121.43
RD Chahar,3,2,0,0,1,0,1,7,0,1,12,171.43
BA Stokes,3,2,0,0,1,0,1,7,0,1,12,171.43
YK Pathan,5,2,0,0,0,0,0,7,0,2,2,28.57
PJ Sangwan,1,1,1,0,0,0,2,5,0,1,15,300.0
CJ Anderson,3,0,0,0,1,0,0,4,0,1,4,100.0
S Kaul,1,0,0,0,0,0,0,1,1,1,0,0.0
P Negi,6,4,3,0,5,0,1,19,0,3,36,189.47
MC Henriques,1,1,0,0,0,0,0,2,1,1,1,50.0
M Muralitharan,2,1,1,0,0,0,0,4,1,1,3,75.0
YS Chahal,9,10,2,0,0,0,1,22,2,4,20,90.91
VR Aaron,1,0,0,0,0,0,0,1,1,1,0,0.0
Yuvraj Singh,2,1,0,0,1,0,2,6,0,1,17,283.33
TS Mills,3,0,0,0,1,0,1,5,0,1,10,200.0
B Stanlake,0,2,0,0,0,0,2,4,0,1,14,350.0
D Wiese,2,1,0,0,0,0,0,3,0,1,1,33.33
P Kumar,3,0,0,0,0,0,0,3,1,1,0,0.0
Z Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
Bipul Sharma,2,1,0,0,0,0,1,4,0,1,7,175.0
TA Boult,1,0,0,0,1,0,0,2,1,1,4,200.0
M de Lange,0,1,0,0,0,0,0,1,0,1,1,100.0
SN Thakur,4,0,0,0,0,0,0,4,1,1,0,0.0
DJ Bravo,2,1,0,0,0,0,0,3,1,1,1,33.33
