,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
S Sreesanth,4,2,0,0,0,0,0,6,0,1,2,33.33
A Chandila,3,0,0,0,1,0,0,4,0,1,4,100.0
JP Faulkner,1,1,1,0,0,0,0,3,0,1,3,100.0
SK Trivedi,3,7,1,0,0,0,0,11,1,2,9,81.82
GB Hogg,2,2,0,0,0,0,0,4,0,1,2,50.0
UT Yadav,2,3,0,0,0,0,0,5,1,2,3,60.0
AD Russell,3,4,0,0,4,0,0,11,1,3,20,181.82
MJ McClenaghan,0,1,0,0,0,0,0,1,0,1,1,100.0
TG Southee,1,1,0,0,1,0,0,3,0,1,5,166.67
DW Steyn,1,3,0,0,1,0,0,5,1,2,7,140.0
DT Christian,1,2,0,0,1,0,0,4,0,1,6,150.0
MS Gony,0,0,1,0,2,0,1,4,0,1,16,400.0
P Negi,3,0,0,0,2,0,0,5,1,1,8,160.0
SP Narine,4,4,0,0,0,0,0,8,1,3,4,50.0
DJ Bravo,5,3,0,0,0,0,0,8,2,2,3,37.5
RA Jadeja,7,3,3,0,1,0,0,14,0,2,13,92.86
S Ladda,0,1,0,0,0,0,0,1,0,1,1,100.0
SMSM Senanayake,1,1,0,0,1,0,0,3,0,1,5,166.67
JH Kallis,1,2,0,0,0,0,0,3,0,1,2,66.67
L Balaji,0,1,0,0,1,0,2,4,0,1,17,425.0
J Botha,4,3,0,0,2,0,0,9,1,1,11,122.22
SW Tait,3,0,0,0,0,0,0,3,0,1,0,0.0
AA Chavan,0,1,1,0,0,0,0,2,0,1,3,150.0
STR Binny,1,1,0,0,0,0,0,2,0,1,1,50.0
MC Henriques,10,4,1,0,3,0,0,18,1,3,18,100.0
KV Sharma,0,4,0,0,0,0,0,4,0,2,4,100.0
A Nehra,3,2,1,0,2,0,0,8,0,2,12,150.0
BCJ Cutting,0,1,0,0,0,0,0,1,0,1,1,100.0
Mustafizur Rahman,4,1,1,0,1,0,0,7,0,1,7,100.0
B Kumar,1,0,0,0,1,0,0,2,1,1,4,200.0
PP Chawla,3,4,0,0,0,0,1,8,0,2,10,125.0
Shakib Al Hasan,1,2,0,0,1,0,0,4,0,1,6,150.0
M Morkel,1,2,0,0,0,0,0,3,1,2,2,66.67
IK Pathan,1,5,2,0,0,0,3,11,0,2,27,245.45
VR Aaron,0,2,0,0,1,0,0,3,0,2,6,200.0
IC Pandey,2,1,0,0,1,0,0,4,0,1,5,125.0
R Ashwin,10,7,3,0,5,0,1,26,2,3,39,150.0
NLTC Perera,0,2,0,0,0,0,0,2,0,1,2,100.0
A Mishra,2,3,0,0,1,0,1,7,0,1,13,185.71
I Sharma,0,2,0,0,0,0,0,2,0,1,2,100.0
R Rampaul,3,0,0,0,0,0,0,3,0,1,0,0.0
R Vinay Kumar,1,3,0,0,0,0,0,4,0,1,3,75.0
M Kartik,2,0,1,0,1,0,0,4,1,1,6,150.0
PP Ojha,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,1,1,0,0,0,0,0,2,1,1,1,50.0
SL Malinga,1,0,0,0,0,0,0,1,1,1,0,0.0
A Zampa,1,7,0,0,0,0,0,8,0,1,7,87.5
DL Chahar,2,1,0,0,1,0,0,4,0,1,5,125.0
YS Chahal,2,4,0,0,1,0,0,7,1,2,8,114.29
MA Starc,1,1,0,0,0,0,0,2,1,1,1,50.0
S Aravind,1,0,0,0,0,0,0,1,0,1,0,0.0
SR Watson,3,3,0,0,0,0,0,6,0,1,3,50.0
CH Gayle,0,3,0,0,0,0,0,3,0,1,3,100.0
