,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Harbhajan Singh,9,6,1,0,5,0,0,21,0,3,28,133.33
SL Malinga,10,2,0,0,1,0,0,13,0,3,6,46.15
Z Khan,13,8,0,0,3,0,2,26,2,4,32,123.08
L Balaji,12,5,0,0,2,0,1,20,0,3,19,95.0
Shakib Al Hasan,15,4,1,0,0,1,0,21,0,2,11,52.38
SP Narine,11,5,1,0,2,0,1,20,0,2,21,105.0
Iqbal Abdulla,1,1,0,0,0,0,0,2,1,1,1,50.0
S Sreesanth,18,8,0,0,5,0,0,31,0,5,28,90.32
VRV Singh,0,3,0,1,0,0,0,4,0,2,6,150.0
RR Powar,3,3,1,0,0,0,1,8,0,2,11,137.5
PP Chawla,15,12,3,0,0,0,2,32,2,5,30,93.75
Gagandeep Singh,3,1,0,0,0,0,0,4,1,1,1,25.0
YK Pathan,2,2,0,0,0,0,0,4,1,1,2,50.0
RA Jadeja,4,0,1,0,1,0,0,6,0,1,6,100.0
DP Nannes,8,2,0,0,2,0,2,14,1,2,22,157.14
B Lee,11,6,2,0,6,0,0,25,0,3,34,136.0
Yuvraj Singh,8,0,2,0,0,0,0,10,2,2,4,40.0
A Nehra,3,0,0,0,0,0,0,3,1,1,0,0.0
A Mishra,7,5,0,0,0,0,0,12,1,2,5,41.67
Y Nagar,2,1,0,0,0,0,0,3,1,1,1,33.33
S Ladda,0,2,0,0,0,0,0,2,0,1,2,100.0
UT Yadav,2,2,0,0,0,0,0,4,0,1,2,50.0
SR Watson,2,3,0,0,1,0,0,6,0,1,7,116.67
MM Patel,4,3,1,0,1,0,0,9,1,1,9,100.0
SK Warne,4,1,1,0,0,0,0,6,1,2,3,50.0
DS Kulkarni,5,1,0,0,1,0,1,8,1,2,11,137.5
DJ Bravo,5,3,1,0,2,0,0,11,0,1,13,118.18
ST Jayasuriya,1,4,0,0,0,0,1,6,0,1,10,166.67
DW Steyn,14,6,1,0,4,0,0,25,1,4,24,96.0
JH Kallis,12,13,1,0,3,0,1,30,0,5,33,110.0
P Kumar,14,4,4,0,1,0,5,28,2,4,46,164.29
R Vinay Kumar,9,4,3,0,2,0,2,20,0,4,30,150.0
IK Pathan,4,3,1,0,1,0,0,9,0,3,9,100.0
R McLaren,1,2,0,0,0,0,0,3,0,1,2,66.67
MS Gony,7,0,0,0,4,0,1,12,1,3,22,183.33
JA Morkel,4,10,1,0,1,0,0,16,0,3,16,100.0
M Muralitharan,15,10,2,1,1,0,1,30,0,3,27,90.0
SK Raina,4,6,1,0,1,0,0,12,0,1,12,100.0
Joginder Sharma,0,2,0,0,1,0,0,3,0,1,6,200.0
JDP Oram,3,4,2,0,1,0,0,10,0,1,12,120.0
A Kumble,11,7,0,0,2,0,0,20,1,3,15,75.0
V Kohli,2,10,1,0,0,0,0,13,0,2,12,92.31
B Akhil,7,4,0,0,2,0,0,13,1,2,12,92.31
R Bhatia,5,6,0,0,1,0,1,13,0,2,16,123.08
SJ Srivastava,1,2,0,0,0,0,0,3,0,1,2,66.67
Bipul Sharma,0,3,0,0,1,0,0,4,0,1,7,175.0
AD Mathews,9,9,1,0,2,0,0,21,0,2,19,90.48
M Kartik,21,8,6,0,2,0,0,37,1,4,28,75.68
BJ Hodge,3,8,0,0,1,0,0,12,0,2,12,100.0
CK Langeveldt,2,0,0,0,0,0,0,2,1,1,0,0.0
I Sharma,9,3,0,0,2,0,0,14,0,3,11,78.57
Mashrafe Mortaza,0,0,1,0,0,0,0,1,0,1,2,200.0
AB Agarkar,3,7,0,0,0,0,0,10,0,3,7,70.0
DJ Hussey,1,2,0,0,0,0,0,3,0,1,2,66.67
DE Bollinger,4,1,0,0,0,0,0,5,0,1,1,20.0
R Ashwin,11,6,1,0,1,0,0,19,0,2,12,63.16
SB Jakati,2,0,1,0,0,0,0,3,1,1,2,66.67
M Ntini,11,0,0,0,2,0,1,14,1,2,14,100.0
GD McGrath,5,2,0,0,0,0,2,9,0,1,14,155.56
Mohammad Asif,2,1,0,0,1,0,0,4,0,1,5,125.0
MF Maharoof,0,2,0,0,0,0,0,2,0,1,2,100.0
AB Dinda,6,2,1,0,3,0,0,12,1,2,16,133.33
SC Ganguly,0,2,0,0,1,0,0,3,0,1,6,200.0
CH Gayle,1,0,0,1,1,0,1,4,0,1,13,325.0
MC Henriques,0,0,0,0,1,0,0,1,0,1,4,400.0
RE van der Merwe,7,10,0,0,1,0,2,20,0,2,26,130.0
AA Jhunjhunwala,4,1,0,0,0,0,2,7,0,1,13,185.71
S Narwal,2,1,1,0,0,0,0,4,0,1,3,75.0
SK Trivedi,0,1,0,0,1,0,0,2,0,1,5,250.0
SW Tait,1,0,0,0,1,0,0,2,0,1,4,200.0
S Tyagi,3,0,0,0,0,0,0,3,1,1,0,0.0
MB Parmar,3,4,0,0,3,0,0,10,0,1,16,160.0
SE Bond,7,3,0,0,0,0,1,11,1,1,9,81.82
JM Kemp,2,2,1,0,2,0,0,7,0,1,12,171.43
