,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MM Sharma,1,1,0,0,0,0,0,2,1,2,1,50.0
I Sharma,9,0,0,0,4,0,1,14,0,2,22,157.14
DS Kulkarni,4,2,0,0,0,0,0,6,1,2,2,33.33
P Kumar,2,2,0,0,1,0,0,5,1,2,6,120.0
A Zampa,4,4,0,0,0,0,2,10,0,3,16,160.0
Imran Tahir,2,4,0,0,0,0,0,6,1,3,4,66.67
AB Dinda,4,2,0,0,1,0,4,11,0,1,30,272.73
BA Stokes,1,5,0,0,0,0,0,6,0,2,5,83.33
Mohammad Nabi,3,2,0,0,0,0,0,5,0,1,2,40.0
Rashid Khan,6,2,1,0,0,0,0,9,1,1,4,44.44
Mohammed Siraj,3,0,0,1,0,0,0,4,0,1,3,75.0
S Kaul,1,3,0,0,0,0,0,4,0,1,3,75.0
B Kumar,1,3,0,0,0,0,0,4,0,2,3,75.0
MC Henriques,3,5,0,0,0,0,0,8,0,2,5,62.5
BB Sran,5,3,0,0,0,0,0,8,0,2,3,37.5
A Nehra,3,1,0,0,0,0,0,4,1,2,1,25.0
Mustafizur Rahman,2,2,0,0,0,0,0,4,2,3,2,50.0
YS Chahal,1,1,0,1,0,0,1,4,1,2,10,250.0
TS Mills,3,0,0,0,0,0,1,4,0,1,6,150.0
Basil Thampi,1,2,0,0,0,0,0,3,1,1,2,66.67
JP Faulkner,0,2,0,0,0,0,0,2,0,1,2,100.0
Iqbal Abdulla,0,1,0,0,0,0,0,1,0,1,1,100.0
KW Richardson,1,1,0,0,0,0,0,2,0,1,1,50.0
K Rabada,8,2,0,1,0,0,1,12,0,2,11,91.67
PJ Cummins,5,5,0,0,1,0,2,13,0,2,21,161.54
CJ Anderson,1,2,0,0,0,0,1,4,0,1,8,200.0
AR Patel,1,2,1,0,0,0,1,5,0,1,10,200.0
R Tewatia,2,1,0,0,0,0,1,4,0,1,7,175.0
MJ Henry,0,1,0,0,0,0,2,3,0,1,13,433.33
Sandeep Sharma,2,0,0,0,0,0,0,2,1,1,0,0.0
S Aravind,0,3,0,0,0,0,0,3,0,2,3,100.0
Washington Sundar,3,0,0,0,0,0,0,3,0,1,0,0.0
DT Christian,2,2,1,0,0,0,0,5,1,2,4,80.0
SN Thakur,0,1,0,0,1,0,0,2,0,1,5,250.0
LH Ferguson,1,0,0,0,0,0,0,1,1,1,0,0.0
CH Morris,1,6,0,0,0,0,1,8,0,2,12,150.0
RP Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
MR Marsh,1,0,0,0,0,0,0,1,1,1,0,0.0
SR Watson,0,3,0,0,0,0,0,3,0,1,3,100.0
A Choudhary,2,1,1,0,0,0,1,5,0,1,9,180.0
DJ Bravo,4,5,0,0,0,0,0,9,1,4,5,55.56
Kuldeep Yadav,3,2,2,0,0,0,0,7,0,2,6,85.71
TA Boult,3,2,1,0,2,0,1,9,0,2,18,200.0
A Mishra,2,2,0,0,0,0,0,4,0,1,2,50.0
Z Khan,3,2,0,0,1,0,0,6,0,2,6,100.0
SP Narine,5,4,0,0,0,0,1,10,0,1,10,100.0
AD Russell,3,4,1,0,3,0,1,12,0,1,24,200.0
Shakib Al Hasan,1,2,0,0,0,0,0,3,0,1,2,66.67
UT Yadav,0,3,1,0,5,0,0,9,0,1,25,277.78
GB Hogg,1,0,0,0,0,0,0,1,0,1,0,0.0
PP Chawla,1,3,0,0,0,0,0,4,1,1,3,75.0
CR Woakes,0,1,0,0,1,0,0,2,0,1,5,250.0
AS Rajpoot,0,1,0,0,0,0,1,2,0,1,7,350.0
NM Coulter-Nile,5,0,0,0,0,0,0,5,1,1,0,0.0
JD Unadkat,3,0,0,0,2,0,0,5,1,1,8,160.0
MG Johnson,0,0,0,0,1,0,0,1,0,1,4,400.0
P Negi,2,0,0,0,0,0,3,5,0,1,18,360.0
D Wiese,0,1,0,0,0,0,0,1,0,1,1,100.0
AN Ahmed,2,1,1,0,0,0,2,6,0,1,15,250.0
AJ Tye,1,2,0,0,1,0,0,4,0,1,6,150.0
