,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
B Kumar,5,3,0,0,2,0,0,10,2,2,11,110.0
TG Southee,5,0,0,0,0,0,0,5,1,1,0,0.0
SS Agarwal,2,4,0,0,2,0,0,8,1,1,12,150.0
SK Raina,0,1,0,0,1,0,0,2,0,1,5,250.0
NB Singh,3,1,0,0,0,0,0,4,0,1,1,25.0
Basil Thampi,2,9,0,0,5,0,2,18,1,2,41,227.78
AJ Tye,4,1,0,0,3,0,1,9,0,1,19,211.11
RA Jadeja,3,9,1,0,2,0,1,16,0,2,25,156.25
HH Pandya,2,1,1,0,0,0,0,4,0,1,3,75.0
MJ McClenaghan,7,2,1,0,2,0,0,12,0,1,12,100.0
Harbhajan Singh,0,3,1,0,0,0,0,4,0,1,5,125.0
SL Malinga,4,5,0,0,4,0,5,18,0,1,51,283.33
KH Pandya,5,8,1,0,1,0,1,16,0,1,20,125.0
JJ Bumrah,1,5,2,0,1,0,0,9,0,1,13,144.44
A Nehra,3,3,0,0,4,0,1,11,0,1,25,227.27
Mustafizur Rahman,2,4,0,0,3,0,0,9,0,1,16,177.78
BCJ Cutting,1,1,0,0,1,0,0,3,0,1,5,166.67
KV Sharma,3,6,1,0,1,0,0,11,0,1,12,109.09
MC Henriques,1,5,1,0,2,0,1,10,0,1,21,210.0
Yuvraj Singh,0,2,0,0,1,0,0,3,0,1,6,200.0
K Rabada,4,2,1,0,1,0,0,8,0,1,8,100.0
CH Morris,8,2,0,1,1,0,0,12,1,3,9,75.0
Mohammed Shami,3,1,0,0,0,0,0,4,0,1,1,25.0
A Mishra,0,1,0,0,0,0,0,1,0,1,1,100.0
S Nadeem,4,3,0,0,1,0,0,8,0,3,7,87.5
AB Dinda,6,4,0,0,1,0,0,11,0,2,8,72.73
DT Christian,1,1,0,0,1,0,1,4,0,1,11,275.0
BA Stokes,1,2,0,0,0,0,0,3,0,1,2,66.67
Imran Tahir,1,3,0,0,0,0,0,4,0,1,3,75.0
RD Chahar,3,3,0,0,0,0,0,6,1,1,3,50.0
R Bhatia,0,3,0,0,0,0,0,3,0,1,3,100.0
PJ Sangwan,2,2,0,0,2,0,0,6,0,1,10,166.67
DS Kulkarni,7,5,2,0,0,0,1,15,0,1,15,100.0
JP Faulkner,1,7,2,0,2,0,1,13,0,1,25,192.31
Ankit Soni,2,4,3,0,0,0,1,10,0,1,16,160.0
IK Pathan,4,2,0,0,2,0,0,8,0,1,10,125.0
DL Chahar,9,1,1,0,1,0,0,12,0,1,7,58.33
NLTC Perera,1,1,0,0,0,0,1,3,0,1,7,233.33
R Ashwin,2,0,0,0,1,0,0,3,1,1,4,133.33
TA Boult,4,0,1,0,2,0,0,7,0,1,10,142.86
CR Woakes,0,2,0,0,2,0,0,4,0,1,10,250.0
SP Narine,8,2,0,0,0,0,0,10,0,1,2,20.0
UT Yadav,0,2,0,0,0,0,0,2,0,1,2,100.0
PP Chawla,0,1,0,0,0,0,0,1,0,1,1,100.0
C de Grandhomme,4,0,0,0,0,0,0,4,1,1,0,0.0
B Stanlake,2,6,0,0,2,0,0,10,0,1,14,140.0
Iqbal Abdulla,2,3,1,0,1,0,0,7,0,1,9,128.57
SR Watson,2,3,1,0,1,0,0,7,1,2,9,128.57
TS Mills,1,1,0,0,0,0,1,3,0,1,7,233.33
YS Chahal,8,9,1,0,2,0,2,22,0,2,31,140.91
P Negi,0,2,0,0,0,0,0,2,0,1,2,100.0
STR Binny,2,6,0,0,0,0,0,8,0,2,6,75.0
CJ Jordan,0,3,0,0,0,0,0,3,0,2,3,100.0
S Aravind,1,1,0,0,0,0,1,3,1,1,7,233.33
A Choudhary,2,1,0,0,0,0,0,3,1,1,1,33.33
Z Khan,2,2,0,0,2,0,0,6,0,1,10,166.67
