,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
TA Boult,2,0,1,0,0,0,0,3,1,1,2,66.67
V Pratap Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
A Ashish Reddy,0,3,0,0,0,0,0,3,0,1,3,100.0
SP Narine,1,0,0,0,0,0,1,2,0,1,6,300.0
M Morkel,0,1,1,0,0,0,0,2,0,1,3,150.0
A Nehra,2,0,0,0,0,0,0,2,2,2,0,0.0
L Balaji,0,0,1,0,0,0,0,1,0,1,2,200.0
MG Johnson,1,0,0,0,1,0,0,2,1,1,4,200.0
MM Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,1,1,0,0,0,0,0,2,0,1,1,50.0
RN ten Doeschate,1,2,0,0,0,0,0,3,0,1,2,66.67
Shakib Al Hasan,3,4,0,0,1,0,0,8,1,1,8,100.0
JJ Bumrah,1,0,0,0,0,0,1,2,1,1,6,300.0
DAJ Bracewell,1,0,0,0,0,0,0,1,1,1,0,0.0
IK Pathan,1,1,0,0,0,0,0,2,0,1,1,50.0
