,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
B Kumar,1,2,0,0,0,0,0,3,0,1,2,66.67
S Kaul,3,0,0,0,0,0,0,3,1,1,0,0.0
DE Bollinger,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Bravo,1,1,0,0,1,0,0,3,0,2,5,166.67
Z Khan,0,1,0,0,1,0,0,2,0,1,5,250.0
Kamran Khan,0,1,0,0,0,0,0,1,0,1,1,100.0
JDP Oram,0,1,0,0,0,0,0,1,0,1,1,100.0
Joginder Sharma,0,1,1,0,0,0,0,2,0,1,3,150.0
Harbhajan Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
Sohail Tanvir,0,1,1,0,0,0,0,2,0,2,3,150.0
RP Singh,3,0,0,0,0,0,0,3,1,1,0,0.0
Harmeet Singh,1,1,1,0,0,0,1,4,0,1,9,225.0
FH Edwards,2,0,0,0,0,0,0,2,0,1,0,0.0
A Nehra,0,1,0,0,1,0,0,2,0,1,5,250.0
JD Unadkat,2,1,0,0,0,0,0,3,0,2,1,33.33
DJ Thornely,3,0,0,0,0,0,0,3,1,1,0,0.0
R Ashwin,3,2,0,0,0,0,0,5,0,1,2,40.0
M Muralitharan,2,2,0,0,0,0,0,4,0,1,2,50.0
SK Raina,2,2,0,0,0,0,0,4,0,1,2,50.0
L Balaji,2,0,0,0,0,0,0,2,0,1,0,0.0
BA Stokes,1,1,0,0,0,0,0,2,0,1,1,50.0
A Zampa,1,0,0,0,0,0,0,1,1,1,0,0.0
A Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
R Vinay Kumar,2,0,0,0,0,0,0,2,1,1,0,0.0
VRV Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
