,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
I Sharma,8,11,1,0,4,0,1,25,0,5,35,140.0
CH Gayle,1,5,0,0,0,0,0,6,0,2,5,83.33
M Kartik,0,2,0,0,0,0,0,2,0,1,2,100.0
AB Agarkar,2,4,0,0,1,0,0,7,0,1,8,114.29
AP Dole,1,3,0,0,0,0,0,4,0,1,3,75.0
SK Trivedi,10,9,2,0,0,0,0,21,1,4,13,61.9
SK Warne,7,11,0,0,4,0,2,24,1,4,39,162.5
FY Fazal,0,3,0,0,0,0,0,3,0,1,3,100.0
SR Watson,4,2,1,0,1,0,0,8,0,3,8,100.0
Z Khan,6,8,3,0,3,0,0,20,2,5,26,130.0
DW Steyn,11,4,0,0,1,0,0,16,2,5,8,50.0
JH Kallis,9,6,2,0,0,0,2,19,0,3,22,115.79
A Kumble,2,1,0,0,0,0,1,4,0,2,7,175.0
RP Singh,5,9,4,0,5,0,3,26,1,6,55,211.54
PP Ojha,5,7,2,0,0,0,0,14,2,4,11,78.57
Shoaib Ahmed,0,2,0,0,0,0,0,2,0,1,2,100.0
TL Suman,2,0,0,0,1,0,0,3,1,2,4,133.33
SM Harwood,2,2,0,0,0,0,0,4,0,1,2,50.0
YK Pathan,7,11,3,0,2,0,1,24,0,4,31,129.17
ST Jayasuriya,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,8,11,4,0,2,0,0,25,0,4,27,108.0
JP Duminy,3,3,0,0,0,0,0,6,0,2,3,50.0
SL Malinga,7,7,0,0,1,0,1,16,2,5,17,106.25
SM Pollock,0,1,0,0,0,0,0,1,0,1,1,100.0
A Nehra,7,2,0,0,1,1,0,11,1,3,11,100.0
P Amarnath,0,1,0,0,2,0,0,3,0,1,9,300.0
M Muralitharan,2,3,1,0,2,0,1,9,0,3,19,211.11
L Balaji,7,2,2,0,1,0,1,13,1,3,16,123.08
MS Gony,7,2,1,0,0,0,1,11,0,2,10,90.91
JA Morkel,6,6,5,0,4,0,2,23,0,5,44,191.3
RG Sharma,2,4,0,0,0,0,1,7,0,1,10,142.86
A Symonds,1,3,1,0,0,0,0,5,0,1,5,100.0
WPUJC Vaas,1,2,0,0,0,0,1,4,0,1,8,200.0
