,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
MN Samuels,1,1,0,0,0,0,0,2,0,1,1,50.0
A Nehra,0,2,1,0,0,0,0,3,0,1,4,133.33
AC Thomas,0,2,0,1,0,0,0,3,0,1,5,166.67
CJ Jordan,2,0,0,0,0,0,0,2,0,1,0,0.0
Rashid Khan,1,2,0,0,0,0,0,3,0,1,2,66.67
S Kaul,0,2,0,0,0,0,0,2,0,1,2,100.0
Bipul Sharma,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,6,0,1,0,0,0,0,7,1,1,2,28.57
L Balaji,1,1,0,0,0,0,0,2,0,1,1,50.0
RP Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
MM Patel,4,1,0,0,0,0,0,5,0,1,1,20.0
Harbhajan Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
R Bhatia,0,1,0,0,0,0,0,1,0,1,1,100.0
B Lee,3,1,0,0,0,0,0,4,0,1,1,25.0
SP Narine,1,1,0,0,0,0,0,2,1,1,1,50.0
JDP Oram,4,2,0,0,0,0,0,6,0,1,2,33.33
A Singh,3,1,0,0,2,0,0,6,0,1,9,150.0
J Botha,2,3,1,0,1,0,0,7,0,1,9,128.57
SK Warne,6,2,1,0,0,0,0,9,1,1,4,44.44
SK Trivedi,0,1,0,0,0,0,0,1,0,1,1,100.0
JJ Bumrah,4,0,0,0,0,0,0,4,0,1,0,0.0
KV Sharma,6,4,0,0,0,0,0,10,1,1,4,40.0
KH Pandya,1,5,0,0,0,0,0,6,0,1,5,83.33
SL Malinga,4,2,1,0,2,0,0,9,0,1,12,133.33
MG Johnson,1,0,0,1,1,0,0,3,0,1,7,233.33
