,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
KC Cariappa,3,3,0,0,1,0,0,7,0,1,7,100.0
Sandeep Sharma,3,5,0,0,2,0,0,10,0,2,13,130.0
Gurkeerat Singh,1,1,0,0,0,0,0,2,0,1,1,50.0
AR Patel,0,7,2,0,1,0,0,10,0,2,15,150.0
MP Stoinis,3,4,0,0,0,0,0,7,0,1,4,57.14
MM Sharma,1,3,1,0,0,0,0,5,0,1,5,100.0
GJ Maxwell,1,1,1,0,2,0,0,5,0,1,11,220.0
T Natarajan,2,0,0,0,0,0,0,2,1,1,0,0.0
Harbhajan Singh,3,1,0,0,0,0,0,4,0,1,1,25.0
JJ Bumrah,1,3,0,0,1,0,0,5,0,1,7,140.0
SL Malinga,1,1,0,0,0,0,0,2,0,1,1,50.0
HH Pandya,0,1,0,0,0,0,0,1,0,1,1,100.0
MJ McClenaghan,1,1,0,0,0,0,0,2,1,1,1,50.0
TM Head,0,4,0,0,0,0,1,5,0,1,10,200.0
S Aravind,6,1,1,0,3,0,3,14,0,2,33,235.71
AF Milne,1,0,0,0,0,0,0,1,1,1,0,0.0
NLTC Perera,1,0,0,0,0,0,0,1,0,1,0,0.0
MG Johnson,2,1,0,0,1,0,0,4,1,1,5,125.0
P Sahu,2,0,1,0,1,0,0,4,0,1,6,150.0
PJ Cummins,1,3,0,0,0,0,0,4,1,2,3,75.0
CJ Anderson,1,2,0,0,0,0,0,3,0,1,2,66.67
K Rabada,1,1,0,0,0,0,0,2,0,1,1,50.0
B Kumar,3,2,0,0,2,0,0,7,0,1,10,142.86
Mohammed Siraj,2,3,0,0,2,0,1,8,1,1,17,212.5
S Kaul,4,2,1,0,1,0,2,10,0,1,20,200.0
Mohammad Nabi,4,5,0,0,0,0,0,9,0,1,5,55.56
Rashid Khan,2,2,0,0,0,0,1,5,0,1,8,160.0
MC Henriques,1,1,0,0,0,0,0,2,0,1,1,50.0
JD Unadkat,2,2,2,0,0,0,1,7,0,1,12,171.43
Washington Sundar,7,1,0,0,1,0,1,10,0,1,11,110.0
BA Stokes,2,0,0,0,0,0,0,2,0,1,0,0.0
Imran Tahir,5,0,0,0,2,0,0,7,2,2,8,114.29
S Badree,5,0,0,0,3,0,0,8,1,1,12,150.0
NM Coulter-Nile,2,1,0,0,0,0,0,3,0,1,1,33.33
CR Woakes,1,1,0,0,0,0,0,2,0,1,1,50.0
Kuldeep Yadav,4,1,0,0,0,0,0,5,1,1,1,20.0
SP Narine,0,1,0,0,0,0,0,1,0,1,1,100.0
Z Khan,4,4,0,0,2,0,0,10,0,1,12,120.0
Mohammed Shami,9,2,0,0,2,0,1,14,0,2,16,114.29
A Mishra,1,0,1,0,1,0,0,3,1,1,6,200.0
JP Duminy,1,1,0,0,0,0,0,2,0,1,1,50.0
S Nadeem,1,1,0,0,0,0,0,2,0,1,1,50.0
