,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
CK Langeveldt,2,2,0,0,1,0,0,5,0,2,6,120.0
AB Agarkar,2,0,0,0,1,0,0,3,1,1,4,133.33
SP Narine,3,1,0,0,0,0,0,4,0,1,1,25.0
L Balaji,2,3,0,0,1,0,0,6,0,2,7,116.67
S Aravind,1,1,0,0,0,0,0,2,1,1,1,50.0
V Kohli,3,5,2,0,0,0,0,10,0,1,9,90.0
AA Kazi,3,3,0,0,1,0,0,7,0,1,7,100.0
Z Khan,0,1,0,0,4,0,0,5,0,1,17,340.0
LR Shukla,2,1,1,0,1,0,0,5,0,1,7,140.0
R Bhatia,1,0,0,0,0,0,0,1,1,1,0,0.0
DP Nannes,7,0,0,0,0,0,0,7,0,1,0,0.0
AM Salvi,2,4,1,0,1,0,0,8,0,1,10,125.0
MF Maharoof,1,5,0,0,2,0,0,8,1,1,13,162.5
A Mishra,10,15,3,1,1,0,0,30,0,5,28,93.33
TM Dilshan,0,2,0,0,0,0,0,2,0,1,2,100.0
Anureet Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
AR Patel,0,2,0,0,0,0,0,2,0,1,2,100.0
BE Hendricks,1,0,0,0,0,0,0,1,0,1,0,0.0
DW Steyn,9,5,0,0,2,0,0,16,1,4,13,81.25
I Sharma,5,3,1,0,1,0,0,10,0,2,9,90.0
PP Ojha,1,5,3,0,3,0,1,13,0,1,29,223.08
DT Christian,1,5,1,1,2,0,1,11,0,2,24,218.18
ST Jayasuriya,1,2,0,0,0,0,0,3,0,1,2,66.67
AG Murtaza,3,3,1,0,0,0,0,7,0,1,5,71.43
Harbhajan Singh,5,3,2,0,0,0,1,11,0,1,13,118.18
R Sathish,2,1,1,0,0,0,0,4,0,1,3,75.0
KA Pollard,1,3,2,0,0,0,0,6,0,1,7,116.67
SL Malinga,3,2,2,0,2,0,0,9,1,2,14,155.56
MM Patel,2,1,2,0,0,0,0,5,1,1,5,100.0
R Shukla,0,1,0,0,0,0,0,1,0,1,1,100.0
KK Cooper,1,1,0,0,0,0,0,2,1,1,1,50.0
V Pratap Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
NLTC Perera,4,0,0,0,0,0,0,4,1,2,0,0.0
R Vinay Kumar,0,1,0,0,1,0,0,2,0,1,5,250.0
RA Jadeja,4,6,0,0,1,0,0,11,1,2,10,90.91
M Muralitharan,0,0,0,0,1,0,0,1,0,1,4,400.0
AC Thomas,4,0,0,0,0,0,0,4,0,1,0,0.0
M Kartik,0,2,0,0,0,0,0,2,0,1,2,100.0
Yuvraj Singh,2,0,1,0,1,0,0,4,0,1,6,150.0
R Sharma,1,0,1,0,0,0,0,2,1,1,2,100.0
NL McCullum,1,2,0,0,0,0,0,3,0,1,2,66.67
JE Taylor,3,0,0,0,0,0,0,3,0,1,0,0.0
VY Mahesh,3,2,1,0,0,0,0,6,0,1,4,66.67
DJ Bravo,3,3,1,0,0,0,0,7,0,2,5,71.43
R Ashwin,6,6,0,0,0,0,0,12,1,4,6,50.0
MC Henriques,0,2,0,0,0,0,0,2,0,1,2,100.0
B Kumar,1,0,0,0,0,0,1,2,1,1,6,300.0
SB Jakati,2,4,2,0,0,0,0,8,1,2,8,100.0
DE Bollinger,2,1,0,0,0,0,0,3,1,1,1,33.33
BA Bhatt,1,1,0,0,0,0,0,2,1,1,1,50.0
AD Mathews,0,1,1,0,1,0,0,3,0,1,7,233.33
Anand Rajan,6,0,1,0,1,0,0,8,2,2,6,75.0
Shakib Al Hasan,1,1,0,0,0,0,0,2,0,1,1,50.0
B Lee,0,5,2,0,0,0,0,7,0,1,9,128.57
MM Sharma,3,1,0,0,0,0,0,4,0,1,1,25.0
JO Holder,6,2,1,0,3,0,1,13,0,1,22,169.23
M Morkel,6,4,1,0,0,0,0,11,0,1,6,54.55
RE van der Merwe,0,5,1,0,2,0,0,8,0,1,15,187.5
S Nadeem,2,4,1,0,1,0,0,8,0,1,10,125.0
AB Dinda,0,2,0,0,1,0,0,3,0,1,6,200.0
IK Pathan,0,2,0,0,0,0,0,2,0,1,2,100.0
S Randiv,1,1,0,0,1,0,0,3,0,1,5,166.67
Azhar Mahmood,1,2,0,0,2,0,0,5,0,1,10,200.0
P Kumar,0,1,1,0,0,0,0,2,0,1,3,150.0
RJ Harris,0,1,0,0,0,0,0,1,0,1,1,100.0
