,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
V Sehwag,4,3,0,0,1,0,3,11,1,2,25,227.27
S Aravind,0,1,1,0,0,0,2,4,0,2,15,375.0
CH Gayle,4,2,0,0,0,0,0,6,1,2,2,33.33
AB Agarkar,3,3,0,0,1,0,2,9,0,1,19,211.11
BAW Mendis,0,2,0,0,0,0,0,2,0,1,2,100.0
R Sharma,3,0,0,0,0,0,0,3,0,2,0,0.0
MR Marsh,1,2,0,0,0,0,1,4,0,1,8,200.0
AB Dinda,1,1,0,0,0,0,0,2,1,1,1,50.0
B Kumar,1,2,1,0,0,0,0,4,0,1,4,100.0
DW Steyn,7,5,0,0,1,0,0,13,2,5,9,69.23
TP Sudhindra,1,0,1,0,0,0,0,2,0,1,2,100.0
JH Kallis,7,6,1,0,2,0,1,17,1,5,22,129.41
YK Pathan,12,11,1,0,4,0,3,31,1,6,47,151.61
SK Warne,12,9,4,0,6,0,8,39,0,5,89,228.21
L Balaji,6,7,1,0,0,0,0,14,1,3,9,64.29
SL Malinga,0,0,1,0,0,0,0,1,0,1,2,200.0
RP Singh,6,9,1,1,2,0,1,20,1,6,28,140.0
Z Khan,4,6,1,0,2,0,0,13,0,4,16,123.08
DL Vettori,3,3,1,0,1,0,1,9,0,3,15,166.67
A Mithun,2,1,0,0,0,0,0,3,1,1,1,33.33
KA Pollard,7,6,0,0,0,0,0,13,1,3,6,46.15
Harbhajan Singh,3,0,3,0,0,0,2,8,1,3,18,225.0
AA Jhunjhunwala,7,3,4,0,0,0,1,15,1,2,17,113.33
SW Tait,4,4,1,0,2,0,0,11,1,2,14,127.27
S Narwal,0,1,0,0,0,0,1,2,0,1,7,350.0
SR Watson,12,5,2,0,1,0,1,21,0,5,19,90.48
PJ Sangwan,6,4,0,0,1,0,2,13,0,3,20,153.85
A Nehra,3,10,0,0,2,0,0,15,1,4,18,120.0
AM Salvi,1,2,0,0,0,0,0,3,0,1,2,66.67
DP Nannes,1,1,0,0,0,0,0,2,0,1,1,50.0
MM Patel,2,10,2,0,1,0,2,17,0,3,30,176.47
SK Trivedi,3,2,0,0,0,0,0,5,0,1,2,40.0
Sohail Tanvir,3,3,1,0,1,0,0,8,2,2,9,112.5
UT Yadav,5,3,0,0,1,0,0,9,2,5,7,77.78
D Salunkhe,0,2,0,0,0,0,0,2,0,1,2,100.0
Pankaj Singh,2,5,0,0,2,0,1,10,0,2,19,190.0
R Vinay Kumar,3,6,2,0,2,0,1,14,2,5,24,171.43
Harmeet Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
PP Ojha,6,9,2,0,0,0,1,18,2,6,19,105.56
JJ van der Wath,1,1,0,0,0,0,0,2,1,1,1,50.0
JP Faulkner,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Hussey,0,2,0,0,0,0,0,2,0,1,2,100.0
P Awana,3,6,0,0,2,0,0,11,1,3,14,127.27
Azhar Mahmood,3,2,0,0,1,0,1,7,2,2,12,171.43
V Kohli,0,0,1,0,2,0,3,6,0,1,28,466.67
P Kumar,7,11,0,0,2,0,0,20,1,5,19,95.0
A Singh,0,1,1,0,0,0,0,2,0,1,3,150.0
I Sharma,2,1,0,0,0,0,3,6,0,1,19,316.67
M Morkel,1,2,0,0,0,0,0,3,0,1,2,66.67
JE Taylor,3,0,0,0,0,0,0,3,1,1,0,0.0
MM Sharma,3,4,0,0,2,0,0,9,0,1,12,133.33
IC Pandey,5,4,2,0,2,0,0,13,0,1,16,123.08
R Ashwin,10,7,1,0,1,0,0,19,0,2,13,68.42
DJ Bravo,5,7,2,0,3,0,1,18,0,1,29,161.11
A Mishra,1,1,0,0,0,0,0,2,0,2,1,50.0
R Bhatia,1,2,0,0,0,0,0,3,1,2,2,66.67
RA Jadeja,3,1,0,0,1,0,1,6,0,2,11,183.33
NLTC Perera,0,2,0,0,0,0,0,2,0,1,2,100.0
SB Bangar,2,1,1,0,1,0,0,5,0,1,7,140.0
Shahid Afridi,1,2,0,0,0,0,0,3,0,1,2,66.67
SB Styris,5,2,0,0,0,0,1,8,0,2,8,100.0
Shivam Sharma,3,0,1,0,0,0,0,4,1,1,2,50.0
GJ Maxwell,3,4,2,0,0,0,3,12,0,2,26,216.67
B Lee,2,4,1,0,0,0,0,7,0,2,6,85.71
SP Narine,0,2,4,0,0,0,2,8,0,2,22,275.0
Iqbal Abdulla,5,2,0,0,0,0,0,7,0,1,2,28.57
JD Unadkat,1,2,0,0,2,0,0,5,0,1,10,200.0
FH Edwards,1,0,0,0,0,0,0,1,0,1,0,0.0
RG Sharma,2,4,1,0,0,0,1,8,0,2,12,150.0
Shoaib Ahmed,0,1,0,0,1,0,0,2,0,1,5,250.0
Y Venugopal Rao,1,1,0,0,0,0,1,3,1,1,7,233.33
P Negi,1,1,0,0,0,0,1,3,1,1,7,233.33
R Sathish,1,4,0,0,0,0,1,6,0,2,10,166.67
PP Chawla,3,6,1,0,0,0,0,10,0,4,8,80.0
