,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Sandeep Sharma,6,5,1,0,2,0,4,18,0,2,39,216.67
I Sharma,3,3,0,0,2,0,0,8,0,2,11,137.5
MM Sharma,4,0,0,0,5,0,0,9,2,2,20,222.22
MP Stoinis,1,4,0,0,1,0,0,6,1,2,8,133.33
AR Patel,2,6,1,0,1,0,1,11,0,3,18,163.64
Swapnil Singh,0,4,0,0,0,0,0,4,0,1,4,100.0
DS Kulkarni,6,1,0,0,1,0,0,8,0,1,5,62.5
P Kumar,12,1,0,0,2,0,0,15,0,3,9,60.0
SB Jakati,4,6,1,0,0,0,0,11,1,2,8,72.73
JP Faulkner,3,2,0,0,1,0,0,6,1,2,6,100.0
AB Dinda,1,0,0,0,1,1,0,3,0,2,9,300.0
DL Chahar,6,0,1,0,3,0,1,11,0,1,20,181.82
BA Stokes,5,0,0,0,0,0,2,7,1,2,12,171.43
Imran Tahir,1,2,1,0,0,0,0,4,1,2,4,100.0
A Nehra,2,1,1,0,1,0,0,5,2,2,7,140.0
S Badree,2,1,0,0,0,0,0,3,0,1,1,33.33
STR Binny,1,3,0,0,0,0,0,4,1,2,3,75.0
Basil Thampi,3,2,0,0,2,0,1,8,0,2,16,200.0
Ankit Soni,2,1,0,0,0,0,0,3,0,1,1,33.33
Iqbal Abdulla,2,3,0,0,1,0,2,8,1,1,19,237.5
VR Aaron,2,4,1,0,1,0,1,9,0,2,16,177.78
SR Watson,1,3,0,0,1,0,0,5,0,3,7,140.0
CH Morris,5,3,0,0,3,0,2,13,0,3,27,207.69
AD Russell,2,4,0,0,2,0,2,10,1,2,24,240.0
Shakib Al Hasan,1,2,1,0,0,0,0,4,0,1,4,100.0
SP Narine,8,1,1,0,1,0,1,12,1,2,13,108.33
CJ Jordan,0,2,0,0,0,0,2,4,0,1,14,350.0
Z Khan,5,2,0,0,2,0,0,9,0,2,10,111.11
A Mishra,2,0,0,0,0,0,0,2,1,1,0,0.0
R Ashwin,0,1,0,0,0,0,0,1,0,1,1,100.0
M Ashwin,1,4,1,0,0,0,1,7,0,1,12,171.43
R Bhatia,1,2,0,0,0,0,0,3,0,1,2,66.67
NLTC Perera,0,1,0,0,1,0,0,2,0,1,5,250.0
SM Boland,0,1,1,0,0,0,0,2,0,1,3,150.0
MR Marsh,1,0,0,0,0,0,0,1,1,1,0,0.0
A Choudhary,2,2,1,0,0,0,0,5,0,1,4,80.0
YS Chahal,2,2,0,0,0,0,1,5,0,1,8,160.0
AF Milne,0,1,0,0,3,0,0,4,0,1,13,325.0
S Aravind,1,1,0,0,1,0,0,3,0,1,5,166.67
P Negi,1,0,1,0,0,0,0,2,1,1,2,100.0
DR Smith,4,5,1,0,1,0,0,11,0,1,11,100.0
DJ Bravo,3,2,1,0,0,0,0,6,1,1,4,66.67
RA Jadeja,2,6,1,0,1,0,1,11,0,2,18,163.64
B Kumar,5,1,0,0,2,0,0,8,0,1,9,112.5
K Rabada,6,2,0,0,0,0,1,9,0,1,8,88.89
JW Hastings,4,3,1,0,0,0,0,8,0,1,5,62.5
Kuldeep Yadav,2,5,0,0,1,0,0,8,0,2,9,112.5
GB Hogg,1,2,1,0,1,0,1,6,0,1,14,233.33
TA Boult,2,1,0,0,1,0,0,4,0,1,5,125.0
CR Woakes,4,2,1,0,0,0,1,8,0,1,10,125.0
AS Rajpoot,3,0,0,0,0,0,0,3,1,1,0,0.0
KC Cariappa,2,2,0,0,0,0,0,4,0,1,2,50.0
Washington Sundar,3,1,0,0,0,0,0,4,0,1,1,25.0
SN Thakur,0,0,1,0,2,0,0,3,0,1,10,333.33
JD Unadkat,1,2,0,0,1,0,0,4,0,1,6,150.0
P Sahu,0,2,0,0,0,0,1,3,0,1,8,266.67
Bipul Sharma,1,3,1,0,0,0,0,5,0,1,5,100.0
MC Henriques,1,1,0,0,1,0,0,3,0,1,5,166.67
BB Sran,2,1,0,0,0,0,0,3,1,1,1,33.33
MM Patel,4,1,0,0,1,0,0,6,1,1,5,83.33
AJ Tye,1,2,0,0,0,0,0,3,0,1,2,66.67
