,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
BJ Hodge,2,0,0,0,0,0,0,2,1,1,0,0.0
Y Gnaneswara Rao,1,0,0,0,0,0,0,1,0,1,0,0.0
WA Mota,2,7,1,0,0,0,0,10,0,2,9,90.0
JR Hopes,0,2,0,0,0,0,0,2,0,1,2,100.0
IK Pathan,4,1,0,0,0,0,1,6,2,2,7,116.67
A Nehra,1,1,0,0,0,0,0,2,0,1,1,50.0
R Bhatia,1,2,0,0,0,0,0,3,0,1,2,66.67
DP Nannes,2,0,0,0,0,0,0,2,1,1,0,0.0
PP Ojha,1,1,0,0,0,0,0,2,0,1,1,50.0
FH Edwards,3,2,1,0,1,0,0,7,0,1,8,114.29
RG Sharma,2,2,0,0,1,0,0,5,0,1,6,120.0
Shoaib Ahmed,2,3,0,0,1,0,2,8,0,1,19,237.5
Y Venugopal Rao,0,2,0,0,0,0,0,2,0,1,2,100.0
RP Singh,3,1,0,0,1,0,0,5,0,1,5,100.0
SK Warne,3,1,0,0,0,0,0,4,0,2,1,25.0
MM Patel,2,1,0,0,0,0,0,3,1,1,1,33.33
RE van der Merwe,5,4,0,0,0,0,0,9,0,2,4,44.44
P Kumar,0,3,0,0,0,0,1,4,0,2,9,225.0
R Vinay Kumar,4,0,0,0,0,0,0,4,2,2,0,0.0
S Sreesanth,4,1,0,0,1,0,0,6,0,1,5,83.33
RR Powar,2,1,0,0,0,0,0,3,0,1,1,33.33
PP Chawla,1,3,1,0,0,0,0,5,0,1,5,100.0
B Lee,0,1,0,0,0,0,0,1,0,1,1,100.0
A Kumble,0,2,0,0,0,0,0,2,0,1,2,100.0
B Akhil,2,1,0,0,0,0,0,3,0,1,1,33.33
MA Khote,0,1,0,0,1,0,0,2,0,1,5,250.0
ST Jayasuriya,1,1,0,0,0,0,1,3,1,1,7,233.33
DJ Bravo,2,1,0,0,0,0,0,3,0,1,1,33.33
RA Jadeja,0,1,0,0,0,0,0,1,0,1,1,100.0
