,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
M Kartik,2,6,1,0,0,0,0,9,0,2,8,88.89
WD Parnell,7,3,0,0,2,0,0,12,0,2,11,91.67
B Kumar,6,4,1,0,0,0,1,12,1,2,12,100.0
A Nehra,3,0,0,0,2,0,1,6,0,1,14,233.33
JH Kallis,2,3,1,0,0,0,0,6,0,1,5,83.33
L Balaji,2,5,2,0,6,0,0,15,0,2,33,220.0
Shakib Al Hasan,2,5,2,0,0,0,0,9,0,2,9,100.0
Iqbal Abdulla,2,3,0,0,1,0,1,7,0,2,13,185.71
B Lee,2,4,4,0,0,0,0,10,0,2,12,120.0
DW Steyn,7,3,0,0,0,0,0,10,0,2,3,30.0
A Mishra,1,4,2,0,0,0,0,7,0,1,8,114.29
A Ashish Reddy,2,0,0,0,0,0,0,2,1,1,0,0.0
JP Duminy,0,2,0,0,0,0,0,2,0,1,2,100.0
DT Christian,2,1,1,0,1,0,0,5,0,2,7,140.0
R Bhatia,1,2,0,0,0,0,0,3,0,1,2,66.67
AC Thomas,4,0,1,0,1,0,0,6,0,1,6,100.0
SB Wagh,2,0,0,0,0,0,0,2,1,1,0,0.0
P Kumar,10,7,1,0,3,0,2,23,1,2,33,143.48
BA Bhatt,2,7,0,0,2,0,2,13,0,2,27,207.69
P Awana,5,6,1,0,2,0,0,14,0,2,16,114.29
PP Chawla,1,9,2,0,0,0,0,12,0,2,13,108.33
Azhar Mahmood,3,6,0,0,1,0,0,10,1,2,10,100.0
BW Hilfenhaus,8,0,0,0,0,0,0,8,1,1,0,0.0
JA Morkel,5,8,0,0,0,0,1,14,0,3,14,100.0
Z Khan,4,1,0,0,0,0,1,6,1,2,7,116.67
R Vinay Kumar,2,0,0,0,0,0,0,2,1,1,0,0.0
J Botha,0,1,0,0,1,0,0,2,0,1,5,250.0
SK Warne,0,2,0,0,1,0,0,3,0,1,6,200.0
AB Dinda,4,1,0,0,0,0,0,5,1,1,1,20.0
MN Samuels,7,4,1,0,0,0,0,12,0,1,6,50.0
R Sharma,6,5,0,0,0,0,0,11,0,1,5,45.45
DJ Hussey,0,2,0,0,0,0,0,2,0,1,2,100.0
KK Cooper,0,1,0,0,0,0,0,1,0,1,1,100.0
A Singh,1,1,0,0,0,0,0,2,1,1,1,50.0
DJ Bravo,6,4,0,0,0,0,0,10,1,2,4,40.0
SB Jakati,1,2,0,0,1,0,0,4,0,1,6,150.0
R Ashwin,4,8,1,0,0,0,0,13,0,2,10,76.92
DE Bollinger,2,1,0,0,1,0,0,4,0,1,5,125.0
DL Vettori,2,5,1,0,0,0,0,8,0,1,7,87.5
CH Gayle,1,2,0,0,0,0,0,3,0,1,2,66.67
J Syed Mohammad,3,1,0,0,0,0,0,4,0,1,1,25.0
