,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RP Singh,13,1,0,0,3,0,1,18,0,2,19,105.56
RJ Harris,4,4,0,0,2,0,0,10,1,3,12,120.0
Harmeet Singh,1,3,2,0,3,0,0,9,0,2,19,211.11
DR Smith,4,10,1,0,1,0,0,16,1,4,16,100.0
Shoaib Ahmed,4,3,0,0,2,0,0,9,0,1,11,122.22
TL Suman,7,10,0,0,0,0,0,17,0,2,10,58.82
RG Sharma,3,6,0,0,0,0,1,10,1,3,12,120.0
BJ Hodge,1,6,0,0,0,0,0,7,0,2,6,85.71
LR Shukla,3,4,0,0,1,0,2,10,0,2,20,200.0
BAW Mendis,0,3,0,0,0,0,0,3,0,1,3,100.0
CH Gayle,6,11,3,1,0,0,1,22,0,3,26,118.18
R Ashwin,6,17,5,0,1,0,0,29,0,5,31,106.9
A Zampa,0,3,0,0,0,0,0,3,0,1,3,100.0
AB Dinda,4,8,5,0,2,0,4,23,1,5,50,217.39
MS Gony,1,2,0,0,0,0,0,3,1,1,2,66.67
Joginder Sharma,0,3,0,0,1,0,0,4,0,1,7,175.0
R Sharma,8,14,1,0,0,0,0,23,0,3,16,69.57
M Manhas,3,5,0,1,0,0,0,9,0,1,8,88.89
MR Marsh,1,7,0,0,0,0,0,8,1,2,7,87.5
Yuvraj Singh,5,19,1,0,2,0,2,29,0,5,41,141.38
WD Parnell,2,6,1,0,0,0,0,9,1,3,8,88.89
SE Bond,1,0,0,0,0,0,0,1,0,1,0,0.0
JD Unadkat,2,3,1,0,1,0,0,7,1,1,9,128.57
SC Ganguly,1,1,0,0,1,0,0,3,0,1,5,166.67
M Kartik,6,5,0,0,1,0,0,12,0,2,9,75.0
DJ Hussey,3,2,0,0,0,0,0,5,0,1,2,40.0
B Kumar,10,6,3,0,1,0,1,21,1,6,22,104.76
DE Bollinger,0,2,0,0,1,0,0,3,0,1,6,200.0
JA Morkel,4,6,1,0,2,0,0,13,1,3,16,123.08
AR Patel,4,1,0,0,0,0,0,5,0,3,1,20.0
Shivam Sharma,3,7,0,0,0,0,0,10,0,1,7,70.0
R Dhawan,4,9,0,0,1,0,0,14,0,3,13,92.86
BE Hendricks,2,0,1,0,0,0,0,3,1,1,2,66.67
FH Edwards,5,1,0,0,1,0,0,7,0,1,5,71.43
PP Ojha,7,16,0,0,0,0,1,24,1,3,22,91.67
Y Venugopal Rao,0,7,0,0,0,0,0,7,0,2,7,100.0
IC Pandey,9,1,2,2,0,0,0,14,2,3,11,78.57
MM Sharma,1,8,1,0,5,0,0,15,0,3,30,200.0
A Kumble,4,6,3,0,0,0,0,13,1,3,12,92.31
KP Pietersen,1,3,0,0,0,0,1,5,0,2,9,180.0
JH Kallis,3,6,1,0,1,0,3,14,0,4,30,214.29
DW Steyn,5,6,0,0,3,0,1,15,1,3,24,160.0
R Vinay Kumar,3,16,3,0,4,0,4,30,0,6,62,206.67
PC Valthaty,1,8,0,0,0,0,0,9,0,2,8,88.89
PP Chawla,5,17,2,0,0,0,2,26,1,6,33,126.92
BA Bhatt,0,2,0,0,0,0,0,2,0,1,2,100.0
DP Nannes,7,1,0,0,2,0,0,10,2,2,9,90.0
KH Pandya,0,8,0,0,0,0,0,8,0,2,8,100.0
N Rana,2,1,0,0,0,0,0,3,0,1,1,33.33
MJ McClenaghan,7,4,1,0,2,0,0,14,0,4,14,100.0
JJ Bumrah,6,14,4,0,3,0,6,33,1,4,70,212.12
R Bhatia,4,17,2,0,1,0,1,25,0,5,31,124.0
M Ashwin,2,3,3,0,1,0,0,9,0,1,13,144.44
SM Boland,1,2,0,0,0,0,0,3,0,1,2,66.67
IK Pathan,4,15,1,0,0,0,0,20,0,6,17,85.0
P Parameswaran,7,2,2,0,1,0,0,12,0,1,10,83.33
M Muralitharan,15,16,2,0,0,0,4,37,1,4,44,118.92
HV Patel,9,10,0,0,4,0,0,23,0,3,26,113.04
TM Dilshan,0,2,0,0,0,0,0,2,0,1,2,100.0
Z Khan,3,3,2,0,1,0,1,10,2,2,17,170.0
SR Watson,8,2,2,0,2,0,1,15,0,3,20,133.33
YS Chahal,9,15,1,0,0,0,5,30,0,4,47,156.67
SL Malinga,15,8,0,0,1,0,0,24,1,4,12,50.0
Harbhajan Singh,12,17,4,0,1,0,1,35,1,7,35,100.0
J Suchith,1,1,0,0,1,0,0,3,1,1,5,166.67
J Botha,6,13,2,0,1,0,0,22,0,4,21,95.45
SK Trivedi,12,12,3,0,0,0,1,28,2,5,24,85.71
A Chandila,2,3,1,0,0,0,0,6,0,1,5,83.33
SW Tait,1,1,0,0,0,0,0,2,0,1,1,50.0
STR Binny,3,2,0,0,1,0,1,7,1,2,12,171.43
A Nehra,4,9,0,0,0,0,0,13,0,2,9,69.23
MN Samuels,0,5,0,0,0,0,1,6,0,1,11,183.33
AC Thomas,2,3,1,0,0,0,0,6,0,1,5,83.33
RR Powar,10,12,2,1,1,0,1,27,0,2,29,107.41
B Lee,2,5,0,0,0,0,1,8,0,2,11,137.5
L Ablish,1,2,0,0,0,0,0,3,0,1,2,66.67
RA Jadeja,3,8,0,0,1,0,1,13,0,3,18,138.46
BW Hilfenhaus,0,0,0,0,1,0,0,1,0,1,4,400.0
AB Agarkar,2,2,0,0,1,0,1,6,0,2,12,200.0
JR Hopes,3,4,2,0,1,0,1,11,0,1,18,163.64
AM Salvi,1,1,0,0,0,0,0,2,0,1,1,50.0
Y Nagar,2,2,1,0,0,0,1,6,0,1,10,166.67
M Morkel,5,5,3,0,1,0,3,17,0,4,33,194.12
TG Southee,3,8,0,1,0,0,0,12,0,3,11,91.67
DS Kulkarni,9,13,1,0,1,0,0,24,0,5,19,79.17
JP Faulkner,9,13,4,0,2,0,1,29,1,4,35,120.69
KA Pollard,6,8,0,0,1,0,3,18,0,4,30,166.67
S Tyagi,4,1,0,0,2,0,0,7,0,1,9,128.57
SK Raina,4,10,0,0,1,0,0,15,0,2,14,93.33
SB Jakati,3,4,3,0,0,0,1,11,0,1,16,145.45
L Balaji,1,7,0,0,2,0,0,10,0,2,15,150.0
KV Sharma,2,6,2,0,1,0,0,11,1,3,14,127.27
DJ Hooda,5,9,1,0,0,0,0,15,0,2,11,73.33
BB Sran,3,2,0,0,0,0,0,5,1,1,2,40.0
Mustafizur Rahman,0,2,1,0,0,0,0,3,0,1,4,133.33
HH Pandya,0,3,0,0,1,0,0,4,0,1,7,175.0
RE van der Merwe,1,3,0,0,0,0,1,5,0,1,9,180.0
KP Appanna,2,4,1,0,0,0,0,7,0,1,6,85.71
A Mithun,4,5,2,0,1,0,1,13,0,1,19,146.15
AN Ahmed,3,2,0,0,1,0,0,6,0,1,6,100.0
MA Starc,6,6,5,0,5,0,0,22,1,4,36,163.64
DJ Bravo,2,5,1,0,1,0,0,9,1,2,11,122.22
Anureet Singh,3,1,0,0,1,0,0,5,0,1,5,100.0
Sandeep Sharma,1,2,1,0,1,0,0,5,0,1,8,160.0
MG Johnson,1,2,0,0,1,0,0,4,0,1,6,150.0
P Kumar,6,5,2,0,0,0,0,13,0,4,9,69.23
PV Tambe,4,9,1,0,0,0,1,15,1,4,17,113.33
R McLaren,1,0,0,0,0,0,0,1,1,1,0,0.0
S Kaushik,1,1,1,0,2,0,0,5,0,1,11,220.0
A Mishra,0,2,0,0,3,0,1,6,0,2,20,333.33
UT Yadav,3,5,0,0,1,0,0,9,0,2,9,100.0
SP Narine,11,16,4,0,2,0,3,36,1,5,50,138.89
KW Richardson,5,3,0,0,2,0,1,11,1,1,17,154.55
M de Lange,1,6,0,0,0,0,0,7,0,1,6,85.71
S Gopal,1,2,0,0,0,0,1,4,0,1,8,200.0
Shakib Al Hasan,7,6,1,0,1,0,0,15,0,2,12,80.0
PJ Sangwan,1,0,0,0,0,0,0,1,0,1,0,0.0
PD Collingwood,0,2,0,0,0,0,0,2,0,1,2,100.0
S Ladda,0,1,0,0,0,0,0,1,0,1,1,100.0
AB McDonald,0,1,0,0,0,0,0,1,0,1,1,100.0
YK Pathan,10,7,0,0,1,0,0,18,0,3,11,61.11
AA Jhunjhunwala,3,1,0,0,1,0,0,5,0,1,5,100.0
SK Warne,8,12,0,0,1,0,1,22,1,3,22,100.0
Parvez Rasool,2,5,1,0,0,0,0,8,0,1,7,87.5
I Sharma,2,6,0,0,0,0,0,8,0,2,6,75.0
MC Henriques,1,2,0,0,0,0,0,3,0,1,2,66.67
VR Aaron,15,5,0,0,3,0,0,23,0,3,17,73.91
D Wiese,2,6,2,0,0,0,0,10,1,2,10,100.0
KK Cooper,2,1,0,0,0,0,0,3,0,1,1,33.33
