,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
DW Steyn,1,7,1,0,0,0,0,9,0,4,9,100.0
Z Khan,12,5,0,0,1,0,2,20,1,3,21,105.0
MS Gony,2,4,0,0,1,0,3,10,0,2,26,260.0
JA Morkel,2,1,1,0,0,0,0,4,1,1,3,75.0
S Dhawan,0,1,0,0,0,0,1,2,0,1,7,350.0
A Mishra,2,5,1,0,2,0,0,10,1,3,15,150.0
PP Ojha,0,2,0,0,0,0,0,2,0,1,2,100.0
DT Christian,1,1,0,0,0,0,0,2,0,1,1,50.0
PP Chawla,1,1,0,0,0,0,0,2,1,1,1,50.0
PC Valthaty,2,2,0,0,1,0,0,5,0,1,6,120.0
AB Agarkar,1,1,0,0,2,0,0,4,0,1,9,225.0
I Sharma,4,3,0,0,3,0,0,10,0,2,15,150.0
AB Dinda,3,0,0,0,1,0,0,4,1,1,4,100.0
MM Patel,14,4,0,0,5,0,0,23,0,3,24,104.35
SR Watson,7,2,0,0,2,0,0,11,0,2,10,90.91
SK Trivedi,0,3,1,0,3,0,0,7,0,2,17,242.86
SK Warne,3,2,1,0,0,0,0,6,1,1,4,66.67
D Salunkhe,1,2,1,1,0,0,0,5,0,2,7,140.0
S Aravind,2,1,1,0,1,0,0,5,0,1,7,140.0
DL Vettori,4,4,1,0,1,0,0,10,0,1,10,100.0
CH Gayle,2,3,1,0,3,0,0,9,0,1,17,188.89
A Mithun,3,3,1,0,0,0,0,7,1,1,5,71.43
J Syed Mohammad,1,3,1,0,2,0,0,7,0,1,13,185.71
M Muralitharan,3,4,1,0,0,0,1,9,0,2,12,133.33
M Ntini,2,0,0,0,0,0,0,2,1,1,0,0.0
P Kumar,1,3,0,0,0,0,1,5,0,1,9,180.0
R Vinay Kumar,2,0,0,0,0,0,0,2,1,1,0,0.0
B Lee,1,1,0,0,0,0,0,2,0,1,1,50.0
L Balaji,0,1,0,0,0,0,0,1,0,1,1,100.0
JD Unadkat,4,3,0,0,1,0,0,8,0,1,7,87.5
Iqbal Abdulla,6,4,0,0,0,0,1,11,1,1,10,90.91
JH Kallis,3,3,0,0,0,0,0,6,0,1,3,50.0
YK Pathan,2,4,1,0,0,0,1,8,1,2,12,150.0
JP Duminy,1,2,1,0,0,0,0,4,0,1,4,100.0
SM Pollock,1,0,0,0,0,0,0,1,1,1,0,0.0
Pankaj Singh,3,2,0,0,2,0,0,7,0,1,10,142.86
Yuvraj Singh,0,1,1,0,0,0,0,2,0,1,3,150.0
JD Ryder,0,0,0,0,1,0,1,2,0,1,10,500.0
Umar Gul,2,1,0,0,0,0,0,3,1,1,1,33.33
BAW Mendis,0,2,0,0,0,0,0,2,0,1,2,100.0
GD McGrath,1,3,0,0,0,0,0,4,0,1,3,75.0
PJ Sangwan,1,1,0,0,0,0,0,2,0,1,1,50.0
R Ashwin,0,1,1,0,0,0,0,2,0,1,3,150.0
DE Bollinger,0,1,2,0,0,0,0,3,0,1,5,166.67
DJ Bravo,1,0,0,0,0,0,0,1,1,1,0,0.0
JDP Oram,4,2,0,0,5,0,0,11,0,1,22,200.0
P Amarnath,1,2,0,0,3,0,0,6,1,1,14,233.33
Joginder Sharma,0,2,0,0,2,0,0,4,0,1,10,250.0
DS Kulkarni,3,3,1,0,2,0,0,9,0,1,13,144.44
SL Malinga,2,1,0,0,1,0,0,4,0,1,5,125.0
Harbhajan Singh,5,1,0,0,0,0,0,6,0,1,1,16.67
KA Pollard,2,3,0,0,3,0,0,8,0,1,15,187.5
A Symonds,1,3,0,0,1,0,0,5,0,1,7,140.0
