,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Singh,3,1,0,0,0,0,0,4,1,1,1,25.0
Z Khan,2,4,1,0,0,0,0,7,0,2,6,85.71
SL Malinga,8,2,0,0,1,0,0,11,1,3,6,54.55
Harbhajan Singh,6,5,1,0,0,0,1,13,1,3,13,100.0
SM Pollock,5,3,0,0,0,0,0,8,0,1,3,37.5
A Nehra,3,2,0,0,1,0,0,6,0,1,6,100.0
DJ Bravo,3,0,0,0,0,0,1,4,0,1,6,150.0
MS Gony,12,5,1,0,1,0,1,20,2,3,17,85.0
JA Morkel,1,2,0,0,0,0,0,3,0,2,2,66.67
I Sharma,7,0,0,0,0,0,0,7,1,1,0,0.0
S Tyagi,7,1,2,0,1,0,0,11,0,1,9,81.82
M Muralitharan,2,3,0,0,0,0,0,5,0,1,3,60.0
SB Jakati,2,0,0,0,0,0,0,2,1,1,0,0.0
DJ Hussey,4,0,1,0,1,0,0,6,0,1,6,100.0
Umar Gul,1,0,0,0,0,0,0,1,0,1,0,0.0
MM Patel,11,1,0,0,2,0,2,16,1,1,21,131.25
SR Watson,3,1,0,0,1,0,0,5,0,1,5,100.0
DP Nannes,4,0,0,0,1,0,0,5,0,1,4,80.0
AM Salvi,0,2,0,0,2,0,0,4,0,1,10,250.0
PJ Sangwan,3,1,1,0,0,0,0,5,0,1,3,60.0
VY Mahesh,2,3,0,0,0,0,3,8,1,1,21,262.5
JP Duminy,3,4,0,0,1,0,0,8,0,1,8,100.0
AM Rahane,0,1,0,0,0,0,0,1,0,1,1,100.0
ST Jayasuriya,0,2,0,0,0,0,0,2,0,1,2,100.0
P Kumar,5,3,1,0,1,0,0,10,0,2,9,90.0
JH Kallis,8,4,0,1,1,0,0,14,0,2,11,78.57
JD Ryder,1,2,1,0,0,0,0,4,0,1,4,100.0
RE van der Merwe,3,1,0,0,0,0,0,4,1,1,1,25.0
A Kumble,5,1,0,0,0,0,0,6,0,1,1,16.67
JDP Oram,2,4,0,0,1,0,0,7,0,1,8,114.29
Pankaj Singh,3,3,2,0,1,0,0,9,0,1,11,122.22
R Vinay Kumar,1,2,0,0,0,0,0,3,0,1,2,66.67
GD McGrath,2,1,0,0,0,0,0,3,1,1,1,33.33
CH Gayle,0,2,0,0,0,0,0,2,0,1,2,100.0
AD Mathews,2,4,0,0,0,0,0,6,0,1,4,66.67
SE Bond,4,1,0,0,1,0,1,7,0,1,11,157.14
AB Agarkar,2,0,0,0,0,0,0,2,0,1,0,0.0
