,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
Shakib Al Hasan,11,7,2,0,3,0,0,23,1,6,23,100.0
JH Kallis,3,4,0,0,0,0,0,7,1,4,4,57.14
Sandeep Sharma,3,6,3,0,1,0,2,15,1,4,28,186.67
Anureet Singh,2,2,1,0,0,0,0,5,0,1,4,80.0
SB Jakati,2,3,0,0,0,0,0,5,0,4,3,60.0
DS Kulkarni,8,5,1,0,1,0,1,16,1,5,17,106.25
PV Tambe,5,5,2,0,0,0,2,14,1,3,21,150.0
R Bhatia,6,12,0,0,3,0,1,22,2,5,30,136.36
Imran Tahir,7,8,0,0,1,0,3,19,1,5,30,157.89
A Zampa,1,3,0,0,1,0,1,6,1,2,13,216.67
AB Dinda,3,6,0,0,2,0,0,11,0,4,14,127.27
BA Stokes,2,3,0,0,1,0,0,6,1,2,7,116.67
SJ Srivastava,3,2,1,0,1,0,0,7,0,1,8,114.29
RJ Harris,2,5,3,0,3,0,0,13,1,3,23,176.92
BA Bhatt,2,1,0,0,0,0,1,4,1,1,7,175.0
Rashid Khan,4,3,0,0,0,0,0,7,0,2,3,42.86
Mohammed Siraj,2,1,0,0,0,0,0,3,0,1,1,33.33
B Kumar,6,5,0,0,1,0,0,12,3,4,9,75.0
S Kaul,0,1,0,0,0,0,0,1,0,1,1,100.0
MC Henriques,3,3,0,0,0,0,0,6,1,2,3,50.0
DW Steyn,23,14,5,0,2,0,1,45,1,8,38,84.44
KV Sharma,7,9,0,2,0,0,1,19,0,4,21,110.53
A Mishra,35,21,5,0,4,0,14,79,1,11,131,165.82
L Balaji,4,5,2,0,0,0,0,11,1,4,9,81.82
S Tyagi,0,0,1,0,0,0,0,1,0,1,2,200.0
R Ashwin,14,7,0,0,1,0,3,25,2,5,29,116.0
M Kartik,3,3,1,0,0,0,0,7,0,2,5,71.43
I Sharma,9,4,1,0,3,0,0,17,1,5,18,105.88
DE Bollinger,3,0,1,0,2,0,2,8,0,2,22,275.0
SK Trivedi,9,10,0,0,0,0,0,19,0,5,10,52.63
STR Binny,1,5,1,0,1,0,1,9,1,3,17,188.89
A Nehra,10,6,1,0,2,0,5,24,2,8,46,191.67
