,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
JD Unadkat,0,1,0,0,0,0,0,1,0,1,1,100.0
Iqbal Abdulla,1,0,0,0,0,0,0,1,1,1,0,0.0
PP Chawla,3,0,0,0,1,0,0,4,1,1,4,100.0
PC Valthaty,0,2,0,0,0,0,0,2,0,1,2,100.0
DJ Bravo,0,0,1,0,0,0,0,1,0,1,2,200.0
DP Nannes,2,1,1,0,0,0,0,4,0,1,3,75.0
JJ Bumrah,0,1,0,0,0,0,0,1,0,1,1,100.0
Harbhajan Singh,2,2,0,1,0,0,0,5,1,2,5,100.0
MG Johnson,3,1,0,0,1,0,0,5,0,1,5,100.0
JDP Oram,6,2,0,0,2,0,0,10,0,1,10,100.0
MM Patel,1,2,0,0,0,0,0,3,0,1,2,66.67
S Nadeem,0,1,0,0,0,0,0,1,0,1,1,100.0
M Morkel,1,2,1,0,0,0,0,4,0,1,4,100.0
SW Tait,0,2,0,0,0,0,0,2,0,1,2,100.0
SK Trivedi,2,1,0,0,0,0,0,3,0,1,1,33.33
DS Kulkarni,1,2,0,0,0,0,1,4,0,1,8,200.0
