,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
I Sharma,10,4,1,0,2,0,0,17,1,4,14,82.35
P Parameswaran,3,2,0,0,1,0,1,7,0,2,12,171.43
Yuvraj Singh,1,3,1,0,0,0,0,5,0,2,5,100.0
R Sharma,11,8,0,0,1,0,0,20,5,5,12,60.0
M Manhas,3,5,0,0,0,0,1,9,0,1,11,122.22
MR Marsh,11,6,0,0,5,0,0,22,0,3,26,118.18
JP Faulkner,3,0,0,0,1,0,0,4,1,1,4,100.0
AP Dole,1,1,0,0,0,0,0,2,0,1,1,50.0
YK Pathan,13,15,3,0,4,0,0,35,1,5,37,105.71
SK Trivedi,7,5,0,0,3,0,1,16,2,5,23,143.75
RG Sharma,4,7,3,1,4,0,0,19,1,4,32,168.42
Y Venugopal Rao,6,9,1,0,3,0,1,20,0,4,29,145.0
TL Suman,8,10,3,0,1,0,0,22,0,3,20,90.91
A Symonds,3,3,0,0,2,0,2,10,0,3,23,230.0
Shoaib Ahmed,1,0,2,0,0,0,0,3,1,1,4,133.33
A Singh,14,2,0,0,2,0,0,18,0,2,10,55.56
SM Harwood,2,0,0,0,0,0,0,2,0,1,0,0.0
Harbhajan Singh,26,29,2,0,6,0,1,64,3,8,63,98.44
JP Duminy,4,11,2,0,0,0,2,19,0,3,27,142.11
SR Tendulkar,2,1,0,0,0,0,0,3,0,1,1,33.33
ST Jayasuriya,0,3,0,0,0,0,0,3,0,1,3,100.0
SL Malinga,9,11,0,0,2,0,0,22,2,5,19,86.36
Z Khan,7,7,1,0,4,0,0,19,0,3,25,131.58
DJ Bravo,10,9,3,0,3,0,0,25,0,4,27,108.0
R McLaren,3,4,1,0,1,0,0,9,0,2,10,111.11
R Sathish,2,7,1,0,0,0,0,10,0,2,9,90.0
KA Pollard,6,11,1,0,4,0,0,22,0,3,29,131.82
S Randiv,1,1,1,0,1,0,0,4,0,1,7,175.0
SB Jakati,3,0,0,0,0,0,1,4,0,1,6,150.0
R Ashwin,9,9,1,0,1,0,0,20,3,4,15,75.0
DE Bollinger,3,2,0,0,1,0,0,6,1,2,6,100.0
IK Pathan,14,3,0,0,2,0,0,19,0,4,11,57.89
M Morkel,12,5,0,1,4,0,0,22,1,5,24,109.09
AB Dinda,11,4,0,0,3,0,0,18,1,4,16,88.89
JR Hopes,6,5,0,0,3,0,0,14,1,2,17,121.43
S Nadeem,6,5,1,0,2,0,1,15,0,3,21,140.0
Y Nagar,0,1,0,0,2,0,0,3,0,1,9,300.0
A Nehra,11,9,3,0,3,0,2,28,1,4,39,139.29
SM Pollock,3,3,1,1,4,0,0,12,0,1,24,200.0
DS Kulkarni,8,6,4,0,3,0,1,22,1,3,32,145.45
MA Khote,2,3,1,0,2,0,0,8,0,1,13,162.5
WPUJC Vaas,3,0,0,0,0,0,0,3,1,1,0,0.0
RJ Harris,1,5,1,0,1,0,1,9,0,3,17,188.89
PP Ojha,6,8,0,0,3,0,0,17,0,4,20,117.65
RP Singh,8,8,1,0,4,0,0,21,1,5,26,123.81
B Kumar,5,6,0,0,1,0,0,12,0,2,10,83.33
WD Parnell,4,2,2,0,2,0,0,10,0,1,14,140.0
M Kartik,6,11,1,0,1,0,0,19,1,3,17,89.47
SC Ganguly,1,10,2,0,2,0,0,15,0,2,22,146.67
MN Samuels,2,2,2,0,4,0,0,10,0,2,22,220.0
MC Henriques,1,1,0,0,0,0,0,2,0,1,1,50.0
LR Shukla,4,7,1,0,3,0,0,15,0,2,21,140.0
CH Gayle,2,4,0,0,1,0,0,7,1,3,8,114.29
AB Agarkar,7,9,3,0,2,0,0,21,0,4,23,109.52
Umar Gul,7,4,1,0,4,0,1,17,2,2,28,164.71
DJ Hussey,6,15,3,0,1,0,1,26,0,5,31,119.23
MM Patel,11,8,0,0,4,0,0,23,1,6,24,104.35
