,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
DJ Bravo,2,2,2,0,1,0,0,7,0,1,10,142.86
JP Faulkner,3,5,1,0,4,0,0,13,0,2,23,176.92
R Bhatia,1,2,0,0,0,0,0,3,1,1,2,66.67
BA Stokes,2,1,0,0,0,0,0,3,0,1,1,33.33
A Nehra,5,3,0,0,2,0,2,12,0,2,23,191.67
B Kumar,6,2,4,0,2,0,0,14,1,3,18,128.57
BB Sran,4,2,0,0,1,0,0,7,1,2,6,85.71
S Aravind,5,3,1,0,1,0,0,10,0,1,9,90.0
YS Chahal,2,2,1,0,0,0,1,6,0,1,10,166.67
TS Mills,3,3,0,0,2,0,0,8,0,1,11,137.5
STR Binny,1,2,1,0,0,0,0,4,0,1,4,100.0
P Negi,1,5,0,0,0,0,0,6,1,2,5,83.33
Basil Thampi,3,4,1,0,0,0,0,8,0,1,6,75.0
IK Pathan,0,2,1,0,0,0,1,4,0,1,10,250.0
A Mishra,6,4,0,0,3,0,4,17,1,3,40,235.29
Imran Tahir,1,6,2,1,4,0,2,16,0,2,41,256.25
S Nadeem,1,2,1,0,1,0,1,6,0,1,14,233.33
Z Khan,5,5,2,0,3,0,1,16,0,3,27,168.75
CH Morris,1,0,1,0,0,0,0,2,1,1,2,100.0
PP Chawla,2,2,1,0,3,0,0,8,0,1,16,200.0
SP Narine,10,3,0,0,3,0,0,16,1,3,15,93.75
NM Coulter-Nile,0,3,1,0,0,0,0,4,0,1,5,125.0
AS Rajpoot,2,2,0,0,3,0,0,7,1,2,14,200.0
UT Yadav,1,0,0,0,1,0,0,2,0,1,4,200.0
R Sathish,1,1,0,0,1,0,0,3,0,1,5,166.67
LH Ferguson,2,3,1,0,0,0,0,6,0,2,5,83.33
A Zampa,3,6,0,0,0,0,0,9,0,1,6,66.67
Washington Sundar,5,4,0,0,1,0,0,10,0,2,8,80.0
SN Thakur,1,1,0,0,0,0,0,2,1,2,1,50.0
DT Christian,5,5,2,0,4,0,1,17,1,2,31,182.35
JD Unadkat,4,3,1,0,0,0,1,9,0,1,11,122.22
Mohammed Shami,3,1,0,0,1,0,0,5,0,1,5,100.0
DR Smith,2,0,0,0,1,0,0,3,1,1,4,133.33
TA Boult,1,0,0,0,0,0,0,1,0,1,0,0.0
Rashid Khan,3,1,1,0,0,0,1,6,0,1,9,150.0
BCJ Cutting,2,1,0,0,2,0,1,6,0,1,15,250.0
PJ Cummins,2,1,2,0,0,0,0,5,0,1,5,100.0
K Rabada,1,1,2,0,0,0,0,4,0,1,5,125.0
Kuldeep Yadav,0,0,0,1,0,0,0,1,0,1,3,300.0
MP Stoinis,2,1,1,0,1,0,0,5,1,1,7,140.0
KC Cariappa,1,1,0,1,0,0,0,3,0,1,4,133.33
AR Patel,1,2,0,0,0,0,1,4,0,1,8,200.0
Bipul Sharma,0,3,0,0,0,0,3,6,0,1,21,350.0
MC Henriques,1,2,0,0,0,0,0,3,0,1,2,66.67
Mustafizur Rahman,1,3,1,0,1,0,0,6,0,1,9,150.0
