,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
AR Patel,1,0,1,0,0,0,0,2,1,1,2,100.0
PP Ojha,2,1,1,0,0,0,0,4,0,1,3,75.0
Harbhajan Singh,5,2,1,0,0,0,1,9,1,2,10,111.11
S Nadeem,0,4,0,0,0,0,2,6,0,1,16,266.67
Imran Tahir,4,2,0,0,2,0,0,8,0,1,10,125.0
JP Duminy,2,0,0,0,0,0,1,3,1,1,6,200.0
DL Vettori,2,0,0,0,0,0,0,2,0,1,0,0.0
Z Khan,2,0,0,0,2,0,0,4,1,1,8,200.0
SP Narine,2,0,0,0,0,0,0,2,1,1,0,0.0
JP Faulkner,0,1,0,0,1,0,1,3,0,1,11,366.67
MM Patel,1,0,0,0,0,0,1,2,1,1,6,300.0
KA Pollard,1,0,0,0,1,0,0,2,1,1,4,200.0
KV Sharma,1,0,1,0,0,0,0,2,0,1,2,100.0
DW Steyn,1,1,1,0,2,0,0,5,1,1,11,220.0
NLTC Perera,1,1,1,0,1,0,1,5,0,1,13,260.0
A Nehra,1,0,1,0,0,0,0,2,1,1,2,100.0
SL Malinga,2,1,0,0,0,0,1,4,0,1,7,175.0
B Lee,1,1,0,0,0,0,0,2,0,1,1,50.0
Iqbal Abdulla,0,2,1,0,0,0,0,3,0,1,4,133.33
