,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
RA Jadeja,6,5,0,0,1,0,0,12,1,3,9,75.0
R Ashwin,3,9,0,0,1,0,0,13,0,3,13,100.0
IC Pandey,0,2,0,0,0,0,0,2,0,1,2,100.0
S Badree,2,1,0,0,0,0,0,3,1,1,1,33.33
PJ Sangwan,5,3,0,0,3,0,0,11,1,2,15,136.36
Basil Thampi,3,0,1,0,0,0,1,5,0,2,8,160.0
AB Dinda,10,5,0,0,7,0,0,22,0,3,33,150.0
DL Chahar,1,0,1,0,1,0,0,3,0,1,6,200.0
NLTC Perera,6,2,0,0,0,0,0,8,0,1,2,25.0
IK Pathan,5,3,0,0,2,0,0,10,0,1,11,110.0
A Zampa,4,10,3,0,1,0,0,18,1,2,20,111.11
JW Hastings,5,0,0,0,0,0,0,5,1,1,0,0.0
AD Russell,9,7,4,0,3,0,0,23,0,4,27,117.39
BE Hendricks,1,0,0,1,1,0,0,3,0,1,7,233.33
L Balaji,2,0,0,0,1,0,0,3,1,1,4,133.33
YS Chahal,10,13,3,0,5,0,0,31,1,6,39,125.81
HV Patel,5,7,1,0,4,0,1,18,1,4,31,172.22
Iqbal Abdulla,2,2,0,0,0,0,1,5,0,1,8,160.0
D Wiese,11,10,1,0,4,0,0,26,0,3,28,107.69
V Kohli,0,1,0,0,0,0,0,1,0,1,1,100.0
KV Sharma,2,9,1,0,0,0,0,12,0,3,11,91.67
RS Bopara,3,0,0,0,0,0,0,3,1,1,0,0.0
JJ Bumrah,4,3,0,0,1,0,0,8,2,4,7,87.5
K Santokie,3,2,2,0,1,0,1,9,0,1,16,177.78
PP Ojha,3,3,2,0,4,0,2,14,0,2,35,250.0
KA Pollard,4,2,1,0,1,0,1,9,0,2,14,155.56
Harbhajan Singh,13,4,0,0,4,0,0,21,4,6,20,95.24
S Gopal,1,3,0,0,3,0,1,8,0,2,21,262.5
Sandeep Sharma,5,5,0,0,0,0,1,11,0,3,11,100.0
T Natarajan,1,1,0,0,0,0,0,2,0,1,1,50.0
MM Sharma,4,2,1,0,0,0,0,7,0,2,4,57.14
AR Patel,6,5,2,0,0,0,1,14,2,3,15,107.14
R Rampaul,4,3,0,0,0,0,0,7,0,1,3,42.86
MA Starc,8,2,3,1,1,0,0,15,1,2,15,100.0
JP Duminy,0,1,0,0,0,0,0,1,0,1,1,100.0
S Kaul,8,5,2,0,2,0,2,19,1,3,29,152.63
R Shukla,0,2,0,0,0,0,0,2,0,1,2,100.0
S Nadeem,2,5,0,0,0,0,0,7,1,2,5,71.43
R Vinay Kumar,5,3,0,0,1,0,0,9,0,3,7,77.78
MJ McClenaghan,5,6,0,0,2,0,1,14,1,4,20,142.86
UT Yadav,7,7,1,1,3,0,2,21,2,5,36,171.43
Shakib Al Hasan,5,5,0,0,2,0,0,12,1,1,13,108.33
