,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Nehra,12,6,2,0,4,0,0,24,1,3,26,108.33
B Kumar,2,2,1,0,3,0,0,8,0,1,16,200.0
Mustafizur Rahman,0,0,1,0,0,0,0,1,0,1,2,200.0
BB Sran,1,3,0,0,1,0,1,6,0,2,13,216.67
MC Henriques,1,6,1,0,1,0,0,9,1,2,12,133.33
R Bhatia,3,11,2,0,1,0,0,17,1,3,19,111.76
PV Tambe,6,8,0,0,0,0,0,14,0,3,8,57.14
DS Kulkarni,12,2,0,0,2,0,3,19,3,5,28,147.37
Z Khan,4,6,1,0,1,0,0,12,0,2,12,100.0
CH Morris,2,1,0,1,2,0,1,7,0,1,18,257.14
P Negi,2,4,0,0,0,0,0,6,0,1,4,66.67
A Mishra,1,5,2,0,2,0,1,11,0,2,23,209.09
J Yadav,0,1,0,0,0,0,0,1,0,1,1,100.0
CR Brathwaite,1,0,0,0,0,0,0,1,1,1,0,0.0
RA Jadeja,5,7,0,0,1,0,1,14,0,2,17,121.43
SB Jakati,2,4,0,0,0,0,1,7,0,1,10,142.86
DJ Bravo,3,5,0,0,1,0,0,9,0,1,9,100.0
P Kumar,0,1,0,0,2,0,0,3,0,1,9,300.0
Azhar Mahmood,2,0,0,0,2,0,0,4,1,1,8,200.0
JP Duminy,1,1,0,0,0,0,0,2,0,1,1,50.0
Imran Tahir,3,3,0,0,0,0,0,6,0,1,3,50.0
Yuvraj Singh,1,2,0,0,0,0,1,4,0,1,8,200.0
AD Mathews,2,0,1,0,0,0,0,3,1,1,2,66.67
Sandeep Sharma,1,3,1,0,2,0,0,7,0,3,13,185.71
Anureet Singh,3,5,2,0,0,0,1,11,0,2,15,136.36
MM Sharma,9,5,1,0,4,0,0,19,1,4,23,121.05
MP Stoinis,0,3,0,0,3,0,1,7,0,1,21,300.0
AR Patel,6,5,0,0,1,0,0,12,1,2,9,75.0
KC Cariappa,1,1,0,0,0,0,0,2,1,1,1,50.0
KJ Abbott,1,0,0,0,1,0,0,2,0,1,4,200.0
MA Starc,1,0,0,0,0,0,0,1,0,1,0,0.0
AB Dinda,5,4,4,0,2,0,0,15,1,2,20,133.33
I Sharma,4,2,0,0,1,0,0,7,0,1,6,85.71
NLTC Perera,3,5,0,0,0,0,1,9,1,2,11,122.22
Shakib Al Hasan,2,1,0,0,0,0,0,3,0,1,1,33.33
SP Narine,4,4,0,0,4,0,1,13,0,2,26,200.0
PP Chawla,4,5,0,0,2,0,1,12,2,2,19,158.33
M Morkel,1,4,0,0,1,0,0,6,0,3,8,133.33
YS Chahal,2,6,0,0,1,0,0,9,0,1,10,111.11
DJG Sammy,0,2,1,0,1,0,0,4,0,1,8,200.0
VR Aaron,1,3,0,0,1,0,1,6,0,1,13,216.67
SA Abbott,3,2,0,0,0,0,0,5,0,1,2,40.0
AN Ahmed,2,3,2,0,1,0,0,8,0,1,11,137.5
PP Ojha,5,6,1,0,1,0,0,13,0,2,12,92.31
Harbhajan Singh,8,14,2,1,0,0,0,25,1,5,21,84.0
JJ Bumrah,6,5,3,0,2,0,1,17,0,2,25,147.06
L Balaji,5,3,0,0,0,0,0,8,0,1,3,37.5
R Dhawan,0,4,1,0,1,0,0,6,0,1,10,166.67
GJ Maxwell,0,2,0,0,0,0,1,3,0,1,8,266.67
Bipul Sharma,0,3,0,0,1,0,0,4,0,1,7,175.0
BCJ Cutting,1,1,0,0,0,0,0,2,1,1,1,50.0
TG Southee,7,5,2,0,1,0,0,15,0,3,13,86.67
MJ McClenaghan,14,4,1,0,3,0,4,26,2,4,42,161.54
R Vinay Kumar,4,6,2,0,0,0,0,12,0,2,10,83.33
J Suchith,10,11,1,0,1,0,1,24,0,2,23,95.83
HH Pandya,4,1,2,0,1,0,0,8,0,1,9,112.5
BW Hilfenhaus,0,1,0,0,0,0,0,1,0,1,1,100.0
IC Pandey,1,2,0,0,0,0,0,3,0,1,2,66.67
R Ashwin,2,5,0,0,0,0,0,7,0,1,5,71.43
DR Smith,1,2,0,0,0,0,0,3,1,1,2,66.67
RP Singh,5,2,0,0,0,0,1,8,0,1,8,100.0
A Zampa,4,3,0,0,0,0,0,7,1,1,3,42.86
BE Hendricks,2,1,0,0,0,0,0,3,0,1,1,33.33
UT Yadav,5,3,0,0,1,0,0,9,0,2,7,77.78
KH Pandya,5,6,0,1,0,0,0,12,0,1,9,75.0
KA Pollard,2,7,1,0,1,0,1,12,0,2,19,158.33
AD Russell,4,4,1,0,0,0,0,9,0,1,6,66.67
SL Malinga,2,2,2,0,0,0,0,6,1,1,6,100.0
JP Faulkner,1,2,0,0,0,0,0,3,0,1,2,66.67
