,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
NM Coulter-Nile,4,0,0,0,2,0,0,6,1,1,8,133.33
UT Yadav,3,2,0,0,0,0,0,5,1,2,2,40.0
S Narwal,1,0,1,0,0,0,0,2,0,1,2,100.0
SK Warne,2,2,0,0,0,0,0,4,1,1,2,50.0
SK Trivedi,8,5,1,0,1,0,0,15,1,3,11,73.33
Mustafizur Rahman,4,4,2,0,0,0,1,11,0,2,14,127.27
B Kumar,8,15,3,0,4,0,0,30,0,6,37,123.33
PV Tambe,1,3,0,0,0,0,0,4,0,2,3,75.0
SR Watson,2,4,1,0,1,0,0,8,0,2,10,125.0
SW Tait,2,0,0,0,0,0,0,2,0,1,0,0.0
JP Faulkner,2,6,2,0,2,0,1,13,0,2,24,184.62
Sandeep Sharma,4,1,0,0,0,0,0,5,1,3,1,20.0
BB Sran,0,0,1,0,0,0,0,1,0,1,2,200.0
A Nehra,2,3,0,0,2,0,1,8,0,2,17,212.5
A Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
DJ Hooda,1,0,0,0,0,0,0,1,0,1,0,0.0
Rashid Khan,0,1,0,0,1,0,0,2,0,1,5,250.0
BCJ Cutting,2,2,0,0,0,0,1,5,0,1,8,160.0
MC Henriques,3,5,1,0,2,0,0,11,0,3,15,136.36
MM Sharma,8,4,0,0,1,0,2,15,2,4,20,133.33
JA Morkel,2,3,0,0,0,0,0,5,2,2,3,60.0
DJ Bravo,0,4,0,0,1,0,0,5,0,2,8,160.0
RA Jadeja,5,13,2,0,4,0,1,25,1,5,39,156.0
R Ashwin,7,13,2,0,2,0,0,24,0,4,25,104.17
SP Narine,5,8,0,0,3,0,1,17,0,4,26,152.94
CR Woakes,2,1,0,0,1,0,0,4,1,1,5,125.0
AS Rajpoot,0,2,0,0,0,0,0,2,0,1,2,100.0
VR Aaron,6,2,0,0,1,0,0,9,1,3,6,66.67
CK Langeveldt,0,0,0,0,1,0,0,1,0,1,4,400.0
PP Ojha,0,1,0,0,0,0,0,1,0,1,1,100.0
SL Malinga,2,5,1,0,0,0,0,8,1,4,7,87.5
AM Nayar,0,1,0,0,0,0,0,1,0,1,1,100.0
Yuvraj Singh,3,6,0,0,0,0,0,9,0,2,6,66.67
KW Richardson,2,6,0,0,1,0,2,11,0,2,22,200.0
AB Dinda,2,1,1,0,0,0,1,5,1,1,9,180.0
IK Pathan,1,2,0,0,0,0,0,3,0,1,2,66.67
DW Steyn,3,6,0,0,1,0,0,10,1,3,10,100.0
KP Appanna,2,4,0,0,0,0,0,6,0,1,4,66.67
A Mithun,1,3,0,0,0,0,0,4,0,1,3,75.0
Harbhajan Singh,3,2,0,1,0,0,0,6,1,1,5,83.33
J Suchith,4,2,1,0,0,0,1,8,0,1,10,125.0
Imran Tahir,3,10,1,0,0,0,0,14,0,2,12,85.71
BA Stokes,0,1,0,0,0,0,0,1,0,1,1,100.0
DT Christian,4,6,0,0,1,0,0,11,0,2,10,90.91
SN Thakur,0,1,0,0,0,0,0,1,0,1,1,100.0
JD Unadkat,4,1,1,0,0,0,0,6,2,2,3,50.0
BW Hilfenhaus,3,1,0,0,1,0,0,5,0,1,5,100.0
I Sharma,4,5,1,0,2,0,1,13,1,3,21,161.54
STR Binny,2,0,2,0,0,0,0,4,0,1,4,100.0
R Bhatia,1,2,0,0,0,0,1,4,0,2,8,200.0
DS Kulkarni,1,3,0,0,0,0,0,4,1,3,3,75.0
LH Ferguson,6,0,0,0,0,0,0,6,0,1,0,0.0
JJ Bumrah,2,8,3,0,2,0,0,15,0,4,22,146.67
YK Pathan,0,3,0,0,0,0,0,3,0,1,3,100.0
L Balaji,2,1,1,0,1,0,0,5,0,1,7,140.0
Shakib Al Hasan,1,2,0,0,0,0,0,3,1,1,2,66.67
YS Chahal,1,2,0,0,0,0,0,3,0,1,2,66.67
AN Ahmed,1,3,1,0,3,0,1,9,0,1,23,255.56
MA Starc,0,4,0,0,2,0,1,7,0,2,18,257.14
IC Pandey,2,3,0,0,1,0,0,6,0,1,7,116.67
Anureet Singh,1,2,0,0,0,0,0,3,0,1,2,66.67
AR Patel,1,1,0,0,0,0,0,2,1,1,1,50.0
AD Russell,0,1,0,0,0,0,0,1,0,1,1,100.0
M de Lange,1,0,1,0,0,0,0,2,0,1,2,100.0
AJ Tye,5,2,2,0,3,0,1,13,0,2,24,184.62
Basil Thampi,3,0,0,0,3,0,0,6,0,1,12,200.0
Ankit Soni,0,3,0,0,0,0,1,4,0,1,9,225.0
Mohammed Shami,5,3,0,0,0,0,0,8,0,2,3,37.5
CH Morris,3,3,0,0,1,0,0,7,0,1,7,100.0
MJ McClenaghan,1,6,0,0,0,0,0,7,1,2,6,85.71
KH Pandya,1,5,0,0,0,0,0,6,0,2,5,83.33
KV Sharma,1,5,0,0,1,0,0,7,1,3,9,128.57
Parvez Rasool,0,2,0,0,0,0,0,2,0,1,2,100.0
RS Bopara,1,1,0,0,3,0,0,5,0,1,13,260.0
P Kumar,2,3,3,0,2,0,3,13,0,3,35,269.23
R Vinay Kumar,2,6,0,0,2,0,2,12,0,3,26,216.67
JH Kallis,6,4,0,0,2,0,1,13,0,2,18,138.46
Iqbal Abdulla,5,7,1,0,1,0,0,14,0,2,13,92.86
HV Patel,5,2,0,0,1,0,0,8,2,2,6,75.0
D Wiese,1,3,1,0,0,0,0,5,0,1,5,100.0
J Botha,0,2,0,0,0,0,1,3,0,1,8,266.67
PP Chawla,1,0,0,0,0,0,0,1,1,1,0,0.0
DE Bollinger,0,1,0,0,0,0,0,1,0,1,1,100.0
Harmeet Singh,3,0,0,0,0,0,0,3,1,1,0,0.0
A Kumble,2,4,1,0,0,0,0,7,0,1,6,85.71
A Mishra,4,3,3,0,2,0,3,15,0,3,35,233.33
NLTC Perera,2,7,0,0,0,0,1,10,0,1,13,130.0
Anand Rajan,0,2,0,0,0,0,0,2,0,1,2,100.0
PJ Cummins,3,2,1,0,0,0,0,6,0,2,4,66.67
S Nadeem,2,5,0,0,0,0,0,7,0,1,5,71.43
Z Khan,7,8,1,0,3,0,1,20,1,3,28,140.0
CR Brathwaite,1,2,1,0,2,0,2,8,0,1,24,300.0
P Awana,4,0,0,0,0,0,0,4,1,1,0,0.0
A Ashish Reddy,2,1,0,0,0,0,0,3,0,1,1,33.33
AB Agarkar,0,1,0,0,0,0,0,1,0,1,1,100.0
BAW Mendis,2,0,1,0,0,0,0,3,1,1,2,66.67
M Kartik,0,3,0,0,0,0,0,3,0,1,3,100.0
