,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
SB Jakati,6,11,0,0,3,0,0,20,0,3,23,115.0
M Muralitharan,3,3,0,0,0,0,0,6,1,3,3,50.0
JA Morkel,0,3,2,0,2,0,0,7,0,1,15,214.29
T Thushara,1,1,0,0,0,0,1,3,0,1,7,233.33
KW Richardson,1,0,0,0,0,0,0,1,1,1,0,0.0
SJ Srivastava,0,4,0,0,2,0,0,6,0,1,12,200.0
PP Chawla,2,2,1,0,1,0,1,7,0,1,14,200.0
Bipul Sharma,3,5,0,1,0,0,0,9,0,1,8,88.89
Yuvraj Singh,6,3,2,0,1,0,1,13,0,2,17,130.77
IK Pathan,3,4,2,0,4,0,0,13,0,1,24,184.62
B Lee,0,4,0,0,0,0,0,4,0,1,4,100.0
Sandeep Sharma,7,6,1,0,1,0,0,15,0,2,12,80.0
BE Hendricks,2,1,2,0,3,0,1,9,0,1,23,255.56
AR Patel,9,4,1,0,6,0,0,20,1,3,30,150.0
R Dhawan,2,7,1,0,3,0,0,13,1,2,21,161.54
Shivam Sharma,0,1,1,0,0,0,0,2,0,1,3,150.0
AD Mascarenhas,9,2,2,0,1,0,0,14,0,1,10,71.43
Kamran Khan,4,4,2,0,4,0,1,15,0,2,30,200.0
MM Patel,2,3,0,0,1,0,0,6,0,1,7,116.67
T Henderson,2,1,0,0,1,0,0,4,1,1,5,125.0
A Mishra,12,8,0,0,1,0,3,24,1,5,30,125.0
DL Vettori,2,1,1,0,1,0,2,7,1,2,19,271.43
MF Maharoof,5,0,0,0,0,0,0,5,0,1,0,0.0
R Bhatia,7,9,0,0,1,0,0,17,1,3,13,76.47
PJ Sangwan,2,2,1,0,0,0,0,5,1,2,4,80.0
RP Singh,6,5,1,0,2,0,0,14,1,3,15,107.14
Harmeet Singh,2,4,0,0,0,0,0,6,0,2,4,66.67
PP Ojha,10,9,1,0,2,0,1,23,1,5,25,108.7
SB Styris,1,2,0,0,0,0,0,3,0,1,2,66.67
DE Bollinger,0,1,0,0,0,0,0,1,0,1,1,100.0
R Ashwin,0,5,0,0,0,0,1,6,0,1,11,183.33
RA Jadeja,4,6,1,0,1,0,1,13,0,2,18,138.46
DJ Bravo,3,4,0,1,0,0,1,9,1,2,13,144.44
DW Steyn,9,7,0,0,2,0,0,18,1,3,15,83.33
V Pratap Singh,3,4,0,0,0,0,1,8,0,1,10,125.0
DT Christian,5,5,0,0,2,0,1,13,0,1,19,146.15
JP Duminy,2,4,1,0,1,0,3,11,0,1,28,254.55
Ankit Sharma,5,3,0,0,1,0,1,10,0,1,13,130.0
RJ Peterson,6,3,0,0,2,0,2,13,0,1,23,176.92
R Shukla,2,1,0,0,2,0,1,6,0,1,15,250.0
Harbhajan Singh,13,9,3,0,3,0,3,31,3,5,45,145.16
SL Malinga,5,3,2,1,1,0,0,12,0,3,14,116.67
DP Nannes,0,1,1,0,0,1,0,3,0,1,8,266.67
A Nehra,7,6,0,0,2,0,2,17,0,3,26,152.94
B Kumar,3,2,0,0,2,0,0,7,0,1,10,142.86
KV Sharma,7,3,0,0,1,0,1,12,0,2,13,108.33
MC Henriques,0,1,0,0,1,0,1,3,0,1,11,366.67
AC Thomas,5,0,1,0,0,0,0,6,0,2,2,33.33
M Kartik,4,6,1,0,1,0,0,12,0,3,12,100.0
AD Mathews,1,1,0,0,0,0,3,5,0,1,19,380.0
R Sharma,6,9,0,0,2,0,2,19,1,3,29,152.63
JD Ryder,1,1,0,0,0,0,0,2,0,1,1,50.0
SC Ganguly,2,2,0,0,0,0,0,4,1,3,2,50.0
MM Sharma,3,2,0,0,0,0,0,5,1,2,2,40.0
R McLaren,0,1,1,0,0,0,0,2,0,1,3,150.0
KA Pollard,0,5,0,0,0,0,0,5,0,1,5,100.0
AA Chavan,7,5,0,0,1,0,0,13,1,2,9,69.23
Pankaj Singh,4,2,0,0,2,0,0,8,0,1,10,125.0
SR Watson,8,4,1,0,3,0,0,16,1,2,18,112.5
GB Hogg,2,2,4,0,0,0,1,9,0,1,16,177.78
MA Starc,3,2,0,0,0,0,0,5,0,1,2,40.0
AN Ahmed,2,5,0,0,0,0,0,7,0,1,5,71.43
YS Chahal,2,3,2,0,1,0,0,8,1,1,11,137.5
YA Abdulla,2,0,0,0,0,0,0,2,1,1,0,0.0
BJ Hodge,1,3,1,0,0,0,0,5,1,1,5,100.0
I Sharma,1,2,0,0,0,0,0,3,0,1,2,66.67
DJG Sammy,1,2,0,0,0,0,1,4,0,1,8,200.0
JP Faulkner,2,4,0,0,2,0,0,8,0,3,12,150.0
PV Tambe,5,8,2,0,1,0,0,16,1,3,16,100.0
JJ Bumrah,4,2,1,0,1,0,1,9,0,1,14,155.56
M de Lange,1,1,0,0,3,0,0,5,0,1,13,260.0
S Gopal,2,4,1,0,0,0,0,7,0,2,6,85.71
Shakib Al Hasan,6,1,0,0,0,0,0,7,0,1,1,14.29
SP Narine,3,1,0,0,1,0,0,5,0,1,5,100.0
DS Kulkarni,4,1,0,0,0,0,0,5,0,1,1,20.0
BCJ Cutting,0,3,0,0,0,0,0,3,0,1,3,100.0
KK Cooper,3,1,0,0,0,0,0,4,0,1,1,25.0
A Symonds,0,1,1,0,0,0,0,2,0,1,3,150.0
Z Khan,3,3,1,0,1,0,0,8,0,2,9,112.5
CRD Fernando,1,2,0,0,0,0,0,3,0,1,2,66.67
P Awana,7,2,0,0,2,0,0,11,0,1,10,90.91
MG Johnson,1,2,0,1,2,0,0,6,0,1,13,216.67
Karanveer Singh,0,6,1,0,0,0,0,7,0,1,8,114.29
AC Voges,1,1,0,0,3,0,0,5,0,1,13,260.0
SK Trivedi,0,2,0,0,0,0,0,2,0,1,2,100.0
SK Warne,2,1,0,0,2,0,1,6,0,1,15,250.0
P Sahu,1,0,0,0,0,0,0,1,0,1,0,0.0
KJ Abbott,1,0,0,0,0,0,0,1,1,1,0,0.0
RG Sharma,3,1,1,0,2,0,1,8,0,1,17,212.5
LJ Wright,2,3,0,0,0,0,0,5,0,1,3,60.0
