,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
IC Pandey,0,1,0,0,0,0,0,1,0,1,1,100.0
RA Jadeja,0,2,1,0,0,0,0,3,0,1,4,133.33
DJ Bravo,2,5,0,0,0,0,0,7,0,1,5,71.43
A Nehra,2,2,1,0,0,0,0,5,0,1,4,80.0
MM Sharma,0,4,2,0,3,0,1,10,0,2,26,260.0
KW Richardson,2,2,0,0,0,0,0,4,0,1,2,50.0
VR Aaron,5,3,0,1,3,0,0,12,0,1,18,150.0
T Shamsi,0,5,0,0,1,0,0,6,0,1,9,150.0
Parvez Rasool,2,6,0,0,1,0,0,9,0,1,10,111.11
SR Watson,2,3,0,0,2,0,0,7,1,1,11,157.14
BA Stokes,1,1,0,0,2,0,1,5,1,2,15,300.0
AR Patel,1,4,1,0,0,0,1,7,0,1,12,171.43
KC Cariappa,0,5,0,0,0,0,0,5,0,1,5,100.0
GJ Maxwell,0,3,0,0,0,0,0,3,0,1,3,100.0
I Sharma,0,0,3,0,2,0,1,6,0,1,20,333.33
J Yadav,5,6,1,0,0,0,1,13,0,3,14,107.69
JP Duminy,1,1,0,0,0,0,0,2,0,1,1,50.0
A Mishra,4,12,3,0,2,0,2,23,0,3,38,165.22
CH Morris,8,5,0,0,2,0,0,15,2,3,13,86.67
Mohammed Shami,5,4,0,0,1,1,0,11,1,2,13,118.18
NM Coulter-Nile,7,7,4,0,2,0,1,21,1,3,29,138.1
YS Chahal,1,3,0,0,0,0,0,4,1,1,3,75.0
HV Patel,3,2,0,0,0,0,0,5,0,1,2,40.0
Imran Tahir,2,3,0,0,0,0,0,5,0,1,3,60.0
DT Christian,2,1,3,0,0,0,0,6,1,1,7,116.67
Harbhajan Singh,3,0,0,0,0,0,0,3,1,1,0,0.0
KH Pandya,0,2,0,0,0,0,0,2,0,1,2,100.0
SP Narine,4,5,0,0,0,0,0,9,0,3,5,55.56
Kuldeep Yadav,3,4,0,0,0,0,0,7,1,2,4,57.14
Shakib Al Hasan,0,2,1,0,0,0,0,3,0,1,4,133.33
DS Kulkarni,3,1,0,0,1,0,0,5,0,1,5,100.0
P Kumar,3,1,0,0,0,0,0,4,1,1,1,25.0
Z Khan,3,6,0,0,2,0,0,11,0,1,14,127.27
PJ Cummins,6,4,3,0,1,0,1,15,0,1,20,133.33
AD Mathews,2,3,1,0,2,0,2,10,0,1,25,250.0
RP Singh,2,2,0,0,0,0,0,4,0,1,2,50.0
AB Dinda,3,1,0,0,0,0,0,4,0,1,1,25.0
R Ashwin,8,4,0,0,1,0,0,13,0,1,8,61.54
A Zampa,1,5,0,0,0,0,0,6,1,1,5,83.33
R Bhatia,2,3,1,0,1,0,0,7,0,1,9,128.57
NLTC Perera,1,3,0,0,1,0,0,5,0,1,7,140.0
UT Yadav,5,1,1,0,1,0,0,8,0,2,7,87.5
YK Pathan,1,2,0,0,1,0,0,4,0,1,6,150.0
PP Chawla,1,1,0,0,0,0,0,2,0,1,1,50.0
CR Woakes,2,1,2,0,3,0,0,8,0,1,17,212.5
